source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,LTH,Lithium Ionic Corp.,2026-02-12,NEWS_RELEASE_EN,not applicable,NewsRelease,Lithium Ionic working toward construction at Bandeira,https://www.stockwatch.com/News/Item/Z-C!LTH-3784585/C/LTH,3784585,https://www.stockwatch.com/News/Sedardoc/6123191.pdf,,0,0,no,,"2026-02-12 16:56 ET - News Release
Mr. Blake Hylands reports
LITHIUM IONIC REPORTS SIGNIFICANT ENGINEERING AND COMMERCIAL PROGRESS AT BANDEIRA
Lithium Ionic Corp. has provided a development update on its 100-per-cent-owned Bandeira lithium project, located in Minas Gerais, Brazil's globally significant Lithium Valley.
Bandeira is rapidly advancing to construction-ready status:
Overall engineering has advanced to 48-per-cent completion since the feasibility study press release from 
   
    Sept. 17, 2025;
Basic engineering complete on major design packages, including plant engineering and primary civil engineering;
Detailed engineering on raw water and drainage is in the final stage;
Infrastructure and long-lead tenders are being deployed as per the project schedule;
Commercial momentum is accelerating as the company has received multiple offtake and debt financing term sheets, and is advancing toward binding agreement(s).
Blake Hylands, PGeo, chief executive officer of Lithium Ionic, commented: ""Bandeira is now firmly in the execution phase. With a technically robust and optimized feasibility study in hand, our focus has shifted to disciplined delivery -- advancing engineering, securing the right commercial partnerships and preparing the project for construction. Importantly, this progress is unfolding in a materially stronger lithium market than when our feasibility study was completed, which reinforces our confidence in the project's long-term value. Our objective is clear: to bring Brazil's next high-quality, low-cost lithium operation into production with the right foundations in place.""
Site development and engineering continues to progress
Engineering activities at Bandeira continue to advance across multiple parallel work streams as the project advances toward construction. Total project engineering is currently 48 per cent complete. Basic plant engineering has been completed by Lycopodium, establishing key equipment selection, layout and design criteria for the processing facility. Primary civil engineering for roads, plant areas and buildings is complete with detailed engineering for raw water services and drainage at the final stages.
Mine access and site infrastructure engineering are progressing in an integrated manner. Basic engineering for the mine access, site infrastructure and supporting surface facilities is also substantially completed, supporting the launch of mine underground contractor and mine fleet tendering. Underground mine development planning is advancing, with NCL Ingenieria y Construccion SpA mobilized to complete the detailed underground mine plan and schedule, targeted for April, 2026.
Lithium Ionic expects to provide continuing updates as engineering advances and key tendering and execution milestones are reached.
Procurement and tendering activity is on schedule
As engineering advances, the project has entered a structured procurement and contractor engagement phase. Major tendering activities aligned with completed engineering packages are under way, including earthworks, drainage, mine access development and site infrastructure. To date, 23 per cent of infrastructure procurement packages have been tendered, supporting the project execution phase and confirming capital cost estimates.
Offtake and financing negotiations advance to the binding stage
Lithium Ionic is in advanced offtake discussions with parties across North America, Europe, China and Japan with lead parties having completed due diligence including concentrate testing and site visits. The company has received multiple term sheets from interested counterparties and is working toward reaching a binding agreement in the near future.
The company's strategic focus remains maximizing long-term value while securing a financing-ready offtake agreement that will support project debt. The offtake negotiations are taking place in parallel with project debt discussions, ensuring a cohesive project financing solution.
Strengthening the execution team
Lithium Ionic continues to strengthen its leadership and technical capacity, adding key personnel and specialist oversight to support construction readiness and long-term operating discipline.
Key additions and engagements include a director of environmental, social and governance and permitting to lead regulatory co-ordination and community engagement, and an Aracuai-based community relations manager to support local stakeholder interface. A director of finance has been recruited to support project cost control and financing readiness.
In addition, independent technical support has been expanded through the engagement of underground mining specialist Jon Treen (Fuse Advisors) and SRK Consulting, which is auditing geotechnical models and assumptions supporting underground mine design.
RTEK International DMCC, engaged as strategic adviser since April, 2025, has further expanded its technical support as the project advances through detailed engineering and execution planning, including additional capacity across key engineering disciplines such as electrical and instrumentation.
Permitting and ESG update
Lithium Ionic continues to integrate ESG principles directly into the engineering and regulatory advancement of the Bandeira project. Environmental performance considerations are embedded in mine layout, process design and infrastructure planning to minimize surface disturbance, optimize water use and support long-term operational resilience. Key design elements include dry-stacked tailings, maximized water recovery, utilization of low-carbon hydroelectric power and a compact operational footprint.
On Jan. 26, 2024, the company formally submitted its environmental licensing application for the Bandeira project to the State Foundation for the Environment, supported by comprehensive environmental studies and technical documentation prepared in accordance with the regulatory framework of the State of Minas Gerais.
FEAM conducted a site inspection in September, 2024, followed by a request for supplementary information in October, 2024, which was fully addressed by the company in November, 2024. In February, 2025, FEAM issued a favourable technical opinion confirming the project's environmental viability and recommending approval of the environmental licence based on the adequacy of the proposed mitigation and control measures.
Following the enactment of Brazil's new Environmental Permitting Law (law No. 15,590/2025 -- LGLA) in February, 2026, Lithium Ionic has continued to engage constructively with state authorities to ensure full alignment under the updated regulatory framework. The environmental permitting process remains active, and all requirements identified by the relevant authorities are being addressed under the new leadership of the company's director of ESG and permitting.
In parallel, complementary regulatory approvals continue to advance. Water rights for both the Piaui and Jequitinhonha rivers have been secured, and the required explosives purchasing authorization has been obtained from the Brazilian Army, further supporting overall project readiness.
Lithium market rebound significantly enhances project economics
Since the release of the company's updated feasibility study in September, 2025, lithium market conditions have strengthened materially. According to Fastmarkets, the assessed price for spodumene concentrate (6 per cent Li2O, delivered to Asia) has increased by more than 125 per cent, rising from approximately $800 (U.S.) per tonne in September, 2025, to greater than $1,800 (U.S.) per tonne in February, 2026. This current pricing environment is outperforming the near-term price scenario used in the project economic plan.
This sharp recovery in spodumene pricing reflects a meaningfully more supportive market backdrop as the company advances permitting, progresses advanced-stage offtake discussions and continues execution planning toward construction. Longer-term lithium fundamentals remain underpinned by sustained growth in electric vehicle adoption and energy storage deployment, reinforcing the strategic value of bringing a high-quality spodumene mine into production.
About Lithium Ionic Corp.
Lithium Ionic is a Canadian lithium development company focused on responsibly advancing its 100-per-cent-owned Bandeira lithium project in Minas Gerais, Brazil, a region coined the Lithium Valley that is emerging as a world-class hardrock lithium district. The company is executing on a focused development strategy centred on engineering derisking, permitting advancement, commercial planning and construction readiness, with the goal of becoming a near-term producer of high-quality spodumene concentrate for global battery supply chains.
Qualified person
The technical information in this news release has been reviewed and approved by Blake Hylands, chief executive officer and director of Lithium Ionic, who is a qualified person as defined in National Instrument 43-101. Mr. Hylands is not considered independent of the company.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LTH\news_html\2026-02-12.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LTH/news_html/2026-02-12.html,,NONE,Development update on Bandeira lithium project,,,2024-01-31,2024-04-02
stockwatch,LTH,Lithium Ionic Corp.,2025-11-27,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6071152.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LTH,Lithium Ionic Corp.,2025-11-27,INTERIM_MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6071156.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LTH\pdfs\MD&A\2025-11-27_LTH_MD&A_INTERIM_MDA_EN.pdf,0,0,exists,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LTH/2025-11-27_LTH_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LTH,Lithium Ionic Corp.,2025-11-27,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6071164.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LTH,Lithium Ionic Corp.,2025-11-27,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6071166.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LTH,Lithium Ionic Corp.,2025-11-03,REPORT_OF_DISTRIBUTIONS_OUTSIDE_CANADA_72503F,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6046216.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LTH,Lithium Ionic Corp.,2025-10-31,NEWS_RELEASE_EN,not applicable,NewsRelease,Lithium Ionic files technical report for Bandeira,https://www.stockwatch.com/News/Item/Z-C!LTH-3747924/C/LTH,3747924,https://www.stockwatch.com/News/Sedardoc/6045416.pdf,,0,0,no,,"2025-10-31 20:39 ET - News Release
Mr. Blake Hylands reports
LITHIUM IONIC FILES NI 43-101 TECHNICAL REPORT FOR THE UPDATED BANDEIRA LITHIUM PROJECT FEASIBILITY STUDY
Lithium Ionic Corp. has filed the independent National Instrument 43-101-compliant technical report for the Bandeira lithium project, titled ""Bandeira Lithium Project, National Instrument (NI) 43-101 Technical Report-Definitive Feasibility Study Update, Aracuai-Itinga, Minas Gerais, Brazil,"" with an effective date of Sept. 17, 2025, and dated Oct. 31, 2025.
The 2025 Bandeira technical report was prepared by representatives of experienced consulting groups: RTEK, GE21 and L&M, each a qualified person, in accordance with National Instrument 43-101, Standards of Disclosure for Mineral Projects, as reported in the company's news release dated Sept. 17, 2025.
The 2025 Bandeira technical report can be found on the company's website, as well as on SEDAR+.
Qualified persons
The qualified persons (QPs) noted in the attached table, as defined by NI 43-101, Standards of Disclosure for Mineral Projects, are independent of Lithium Ionic. The QPs have reviewed and approved the contents of this news release and confirm that it fairly and accurately reflects, in the form and context in which it appears, the information contained in the respective sections of the 2025 technical report for which they are responsible.
RTEK International DMCC compensation for completed feasibility study
The company confirms that, further to its Oct. 3, 2025, news release, it has issued 7,430,305 common shares to RTEK pursuant to a services agreement dated April 2, 2025. The shares were issued as consideration for RTEK's technical and strategic advisory services provided in connection with the completion of Lithium Ionic's NI 43-101 feasibility study for the Bandeira project (see the Sept. 17, 2025, news release). The issuance has been approved by the TSX Venture Exchange.
About Lithium Ionic Corp.
Lithium Ionic is a Canadian mining company exploring and developing its lithium properties in Brazil. Its flagship Itinga and Salinas projects cover 11,684 hectares in the northeastern part of Minas Gerais state, a mining-friendly jurisdiction that is quickly emerging as a world-class hard-rock lithium district. The Itinga project is situated in the same region as CBL's Cachoeira lithium mine, which has produced lithium for 30-plus years, as well as Sigma Lithium Corp.'s Grota do Cirilo project, which hosts the largest hard-rock lithium deposit in the Americas.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LTH\news_html\2025-10-31.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LTH/news_html/2025-10-31.html,,CHANGED,Filed NI 43-101 for updated feasibility study at Bandeira,Bandeira,,2024-01-31,2024-04-02
stockwatch,LTH,Lithium Ionic Corp.,2025-10-31,CONSENT_OF_QUALIFIED_PERSON_NI_43101_EN,not applicable,NI43-101,,,,https://www.stockwatch.com/News/Sedardoc/6045365.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LTH,Lithium Ionic Corp.,2025-10-31,CONSENT_OF_QUALIFIED_PERSON_NI_43101_EN,not applicable,NI43-101,,,,https://www.stockwatch.com/News/Sedardoc/6045366.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LTH,Lithium Ionic Corp.,2025-10-31,CONSENT_OF_QUALIFIED_PERSON_NI_43101_EN,not applicable,NI43-101,,,,https://www.stockwatch.com/News/Sedardoc/6045367.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
