source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,LIFT,Li-FT Power Ltd.,2025-03-21,ANNUAL_INFORMATION_FORM_EN,metals and minerals - mining,AIF,,,,https://www.stockwatch.com/News/Sedardoc/5865065.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LIFT\pdfs\AIF\2025-03-21_LIFT_AIF.pdf,61,827,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LIFT/2025-03-21_LIFT_AIF.pdf,,,,,,,,,2024-12-31,2025-03-21
stockwatch,LIFT,Li-FT Power Ltd.,2026-03-13,NOTICE_OF_THE_MEETING_AND_RECORD_DATE_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6147252.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-21
stockwatch,LIFT,Li-FT Power Ltd.,2026-03-09,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Li-FT Power closes Galinee property acquisition,https://www.stockwatch.com/News/Item/Z-C!LIFT-3793890/C/LIFT,3793890,https://www.stockwatch.com/News/Sedardoc/6143008.pdf,,0,0,no,,"2026-03-09 12:48 ET - News Release
Mr. Francis MacDonald  reports
LIFT CLOSES ACQUISITION WITH SOQUEM FOR AN ADDITIONAL 25% INTEREST IN THE GALINEE PROPERTY, QUEBEC
Further to its Dec. 15, 2025, and Feb. 24, 2026, press releases, Li-FT Power Ltd.  has closed its acquisition of an additional 25-per-cent interest in the exclusive exploration rights commonly known as the Galinee property from Soquem Inc. Following closing, Li-FT  now holds a 75-per-cent interest in the Galinee property, with the remaining 25-per-cent interest continuing to be held by Soquem. Li-FT  is the operator of the Galinee property under joint venture with Soquem.
Under the terms of the purchase agreement with Soquem, consideration for Soquem's 25-per-cent interest in the Galinee property consisted of one million common shares in the capital of the company. The common shares issued pursuant to the Soquem agreement are subject to a statutory hold period of four months and one day in accordance with applicable Canadian securities laws.
About Li-FT Power  Ltd.
Li-FT Power is a mineral exploration company engaged in the acquisition, exploration and development of lithium pegmatite projects located in Canada. The company's flagship project is the Yellowknife lithium project, located in Northwest Territories, Canada. Li-FT Power also holds three early-stage exploration properties in Quebec, Canada, with excellent potential for the discovery of buried lithium pegmatites, as well as the Cali project in Northwest Territories within the Little Nahanni pegmatite group.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LIFT\news_html\2026-03-09.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LIFT/news_html/2026-03-09.html,,NONE,Acquisition of additional interest in Galinee property,,,2024-12-31,2025-03-21
stockwatch,LIFT,Li-FT Power Ltd.,2026-03-05,MATERIAL_CHANGE_REPORT_EN,metals and minerals - mining,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6141021.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LIFT\pdfs\MaterialChange\2026-03-05_LIFT_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,1,127,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LIFT/2026-03-05_LIFT_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Jeff Reinson appointed Senior VP,,,,,2024-12-31,2025-03-21
stockwatch,LIFT,Li-FT Power Ltd.,2026-03-02,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,"Li-FT Power starts 30,000 tpa lithium converter study",https://www.stockwatch.com/News/Item/Z-C!LIFT-3791370/C/LIFT,3791370,https://www.stockwatch.com/News/Sedardoc/6137130.pdf,,0,0,no,,"2026-03-02 12:04 ET - News Release
Mr. Francis MacDonald reports
LI-FT COMMENCES LITHIUM CARBONATE CONVERTER SCOPING STUDY AS PART OF INTEGRATED DOWNSTREAM STRATEGY FOR THE YELLOWKNIFE LITHIUM PROJECT
Li-FT Power Ltd. has commenced a scoping study to build a lithium carbonate converter, to be integrated with its Yellowknife lithium project in the Northwest Territories. The converter project will have a planned production capacity of 30,000-tonne-per-annum lithium carbonate equivalent (LCE) of battery-grade lithium carbonate, sourcing future feedstock from the Yellowknife lithium project. The launch of the scoping study is co-ordinated with the emerging regional demand considerations, as the lithium battery value chain continues to evolve and develop in Canada and more broadly the North American market.
Highlights
Li-FT to launch scoping study for a lithium carbonate converter as part of advancing its integrated downstream strategy;
Scoping study to be based on a planned 30,000 tonnes per annum production capacity of battery grade lithium carbonate, taking spodumene concentrate feedstock supplied from the Yellowknife lithium project;
The exercise will also include a high-level site evaluation study to best ascertain the optimal location for the future lithium carbonate converter, based on a number of key factors and considerations, including proximity and logistics to the Yellowknife lithium project location in the Northwest Territories;
Li-FT's advancement of this integrated strategy, taking spodumene concentrate produced at Yellowknife and processing the raw materials through to lithium chemicals, will help support the continued buildout of a vertically integrated domestic supply chain in Canada.
Lithium carbonate is a key chemical input material used in the production of cathode active materials and electrolyte, which are both key components used in the manufacturing of lithium-ion batteries. The decision to focus the scoping study on the future production of lithium carbonate has taken into consideration of it being the preferred input material used in the production of LFP (lithium ferro phosphate or lithium iron phosphate) cathode materials. The LFP chemistry has continued its growth in not only electric vehicle (EV) applications, where LFP is growing in adoption particularly within the mass market vehicle segment, but more notably and significantly in recent years within the energy storage system (ESS) application sector. According to the International Energy Agency, LFP based technology in 2025 commanded a share in the global EV market of more than 50 per cent, while it dominates the global ESS market with a share of more than 90 per cent.
For the scoping study, Li-FT has elected to partner with SCT -- a globally leading engineering design, technology and equipment provider, focused on the lithium chemicals and battery materials sector. The company was established in 2002 and has offices in Australia, South Korea, China, Indonesia and Germany -- providing engineering and technology solutions for lithium minerals conversion, refinery and cathode active material projects. To date, SCT has built one of the strongest records of project execution in the lithium industry, participating in over 60 lithium conversion facility projects worldwide resulting in a total of one million tpa LCE of planned production capacity, of which 650,000 tpa LCE capacity has actually entered into operations and production at or above nameplate capacity, involving an aggregate capital investment of well over $7-billion (U.S.) to date. SCT is a specialist in the area of pyrometallurgy and has built up deep experience in handling the conversion and processing of a multitude of lithium minerals, including spodumene concentrate, lepidolite concentrate, clay et cetera, from various lithium resource projects around the world.
Anthony Tse, executive chairman of Li-FT Power, commenting on the commencement of the scoping study: ""I am excited to see Li-FT advancing its integrated downstream strategy with the commencement of this study. The converter project will allow the company to further add value by processing the mined spodumene concentrate from its Yellowknife lithium project and processing it all the way through to lithium chemicals, thus importantly capturing that value locally. This strategy also allows Li-FT to play an important role in supporting the buildout of a vertically integrated domestic supply chain in Canada, providing a key input for the future production of battery materials which in turn will support cell manufacturing in the region. I am also pleased to be establishing this relationship between Li-FT and SCT, a strong technology and engineering partner with an invaluable depth of experience to support the company's integrated downstream strategy going forward.""
About Li-FT
 Power Ltd.
Li-FT is a mineral exploration company engaged in the acquisition, exploration and development of lithium pegmatite projects located in Canada. The company's flagship project is the Yellowknife lithium project located in Northwest Territories, Canada. Li-FT also holds three early stage exploration properties in Quebec, Canada, with excellent potential for the discovery of buried lithium pegmatites, as well as the Cali project in Northwest Territories within the Little Nahanni pegmatite group.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LIFT\news_html\2026-03-02.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LIFT/news_html/2026-03-02.html,,NONE,Commencement of lithium carbonate converter study,,,2024-12-31,2025-03-21
stockwatch,LIFT,Li-FT Power Ltd.,2026-02-25,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6132265.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-21
stockwatch,LIFT,Li-FT Power Ltd.,2026-02-25,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Li-FT Power appoints Reinson as development SVP,https://www.stockwatch.com/News/Item/Z-C!LIFT-3789077/C/LIFT,3789077,https://www.stockwatch.com/News/Sedardoc/6131792.pdf,,0,0,no,,"2026-02-25 13:45 ET - News Release
Mr. Francis MacDonald   reports
LIFT APPOINTS JEFF REINSON AS SENIOR VICE PRESIDENT OF DEVELOPMENT
Li-FT Power Ltd. has appointed Jeff Reinson, a seasoned mining executive who brings over 25 years of project and engineering leadership experience to the role of senior vice-president of development.
Mr. Reinson previously served as vice-president of operations at Burgundy Diamond Mines, where he oversaw the 24-hour-a-day/seven-day-a-week operations of the Ekati diamond mine. Prior to his tenure at Burgundy, he was chief operating officer at First Mining Gold Corp. Throughout his career, he has held senior leadership and project director roles with internationally recognized mining companies, including Goldcorp, Newmont and Rio Tinto. Mr. Reinson holds a master of science (MSc) and a bachelor of science (BSc) in civil engineering from the University of Saskatchewan.
In connection with the appointment of Mr. Reinson, the company has granted a total of 175,000 stock options and 15,000 restricted share units pursuant to its omnibus share incentive plan. The options are exercisable at a price of $7.20 per share and will fully vest after two years, with one-quarter of the total options vesting at each six-month anniversary, subject to continued service, and will expire five years from the date of grant. In addition, the company has granted 15,000 RSUs, which will vest in equal annual instalments over a three-year period, subject to continued service, and will be settled in common shares upon vesting at a deemed price of $7.20 per share, in accordance with the terms of the plan.
Francis MacDonald, president and chief executive officer of Li-FT, commented: ""We're very pleased to welcome Jeff Reinson to Li-FT. Jeff brings more than 25 years of project development, engineering and operational leadership across a range of mining operations, and his experience will be a major asset as we advance our portfolio and strengthen our execution capabilities. We look forward to the leadership and discipline he will bring to the team as we continue progressing the company's next phase of growth.""
Investor relations engagement
Li-FT is pleased to announce that it has retained Rose & Co. to provide investor relations and institutional investor outreach services to the company. The services will include institutional investor outreach and continuing engagement, non-deal road show support, and advice regarding capital markets communications.
In consideration for the services, Rose & Co. will be paid $50,000 (U.S.) quarterly in advance, starting Feb. 23, 2026, with the first quarterly retainer being due within 30 days of commencement. The services have an initial term of one year ending Feb. 22, 2027, and may be extended on an annual basis thereafter. Rose & Co. does not have any direct or indirect interest in the company, or its securities, or any right or intent to acquire such an interest. The agreement with Rose & Co. is subject to the approval of the TSX Venture Exchange.
Founded in 2015, Rose & Co. is an independent capital markets advisory firm that provides strategic counsel and investor engagement support to public companies.
About Li-FT Power Ltd.
Li-FT is a mineral exploration company engaged in the acquisition, exploration and development of lithium pegmatite projects located in Canada. The company's flagship project is the Yellowknife lithium project, located in Northwest Territories, Canada. Li-FT also holds three early-stage exploration properties in Quebec, Canada, with excellent potential for the discovery of buried lithium pegmatites, as well as the Cali project in Northwest Territories within the Little Nahanni pegmatite group.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LIFT\news_html\2026-02-25.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LIFT/news_html/2026-02-25.html,,NONE,Appointment of new senior vice president,,,2024-12-31,2025-03-21
stockwatch,LIFT,Li-FT Power Ltd.,2026-02-24,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Li-FT Power firms up Galinee interest acquisition,https://www.stockwatch.com/News/Item/Z-C!LIFT-3788362/C/LIFT,3788362,https://www.stockwatch.com/News/Sedardoc/6130727.pdf,,0,0,no,,"2026-02-24 10:07 ET - News Release
Mr. Francis MacDonald           reports
LIFT SIGNS DEFINITIVE PURCHASE AGREEMENT WITH SOQUEM FOR A 25% INTEREST IN THE GALINEE PROPERTY, QUEBEC
Further to Li-FT Power Ltd.'s Dec. 15, 2025, press release regarding, among other things, Li-FT Power  entering into a non-binding letter of intent with Soquem Inc.  and Azimut Exploration Inc., Li-FT Power  has entered into a definitive purchase agreement dated Feb. 23, 2026,  with Soquem to acquire an additional 25-per-cent interest in the exclusive exploration rights commonly known as the Galinee property, which would bring its total aggregate interest in the Galinee property to a 75-per-cent interest, with the remainder of the interest in the Galinee property to remain held by Soquem, subject to the satisfaction of various conditions. Li-FT is the operator of the project on the Galinee property under a joint venture with Soquem.
Under the terms of the purchase agreement with Soquem, consideration for Soquem's 25-per-cent interest in the Galinee property will consist of one million common shares in the capital of the company. All common shares issued pursuant to the Soquem agreement will be subject to a statutory hold period of four months and one day in accordance with applicable Canadian securities laws. The Soquem transaction is subject to the receipt of TSX Venture Exchange approval and the satisfaction of other customary closing conditions.
About Li-FT Power Ltd.
Li-FT is a mineral exploration company engaged in the acquisition, exploration and development of lithium pegmatite projects located in Canada. The company's flagship project is the Yellowknife lithium project located in Northwest Territories, Canada. Li-FT also holds three early-stage exploration properties in Quebec, Canada, with excellent potential for the discovery of buried lithium pegmatites, as well as the Cali project in Northwest Territories within the Little Nahanni pegmatite group.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LIFT\news_html\2026-02-24.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LIFT/news_html/2026-02-24.html,,CHANGED,Acquired additional 25% interest in Galinee property,Galinee,,2024-12-31,2025-03-21
stockwatch,LIFT,Li-FT Power Ltd.,2026-02-18,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Azimut closes sale of 50% of Galinee property,https://www.stockwatch.com/News/Item/Z-C!LIFT-3786202/C/LIFT,3786202,https://www.stockwatch.com/News/Sedardoc/6126410.pdf,,0,0,no,,"2026-02-18 12:15 ET - News Release
See News Release (C-AZM) Azimut Exploration Inc
Mr. Jean-Marc Lulin of Azimut reports
AZIMUT COMPLETES GALINEE PROPERTY TRANSACTION WITH LIFT POWER, JAMES BAY REGION, QUEBEC
Azimut Exploration Inc. has closed the acquisition by Li-FT Power Ltd. of its 50-per-cent interest in the Galinee property located in the Eeyou Istchee James Bay region of Quebec.
Under the acquisition agreement announced on Dec. 24, 2025 (see news release), Li-FT acquired Azimut's interest by issuing two million common shares. Azimut was also granted a 1.4-per-cent NSR (net smelter return) royalty on the property, providing some long-term exposure to future developments. In addition, Azimut is entitled to a $1.5-million deferred payment, payable in cash or, subject to certain terms and conditions set out in the agreement, in common shares of Li-FT, at the earlier of 18 months or the public disclosure of a technical report with respect to the property that includes an economic analysis of one or more development scenarios. Based on the closing price of Li-FT's common shares on the TSX Venture Exchange on Feb. 17, 2026, the total consideration for Azimut in connection with this transaction amounts to $13.4-million.
Azimut now holds equity interests with a combined value of approximately $15-million in various companies. In addition, Azimut has generated royalty interests on three lithium properties located adjacent to development-stage assets, specifically a 2-per-cent NSR on the JBN-57 claim block and a 1-per-cent NSR on the Pikwa property, both of which have been incorporated into PMET Resources' Shaakichiuwaanaan project, and a 1.4-per-cent NSR on the Galinee property, adjacent to Winsome Resources' Adina project.
These transactions support Azimut's strategy to focus on its flagship properties, Elmer and Wabamisk. The company has announced significant drill programs totalling at least 17,000 metres for early 2026, including a program on the Fortin zone (Wabamisk), which is nearing completion, the commencement of follow-up drilling on the Rosa zone (Wabamisk) and an early March program at Elmer.
About Li-FT
 Power Ltd.
Li-FT is a mineral exploration company engaged in the acquisition, exploration and development of lithium pegmatite projects in Canada. Li-FT's flagship project is the Yellowknife lithium project located in the Northwest Territories, Canada. Li-FT also holds three early stage exploration properties in Quebec, Canada, with excellent potential for the discovery of buried lithium pegmatites, as well as the Cali project in the Northwest Territories within the Little Nahanni pegmatite group.
About Azimut Exploration Inc.
Azimut is a leading mineral company with a solid reputation for target generation and partnership development. The company holds the largest portfolio of mineral projects in Quebec, controlling strategic land positions for gold, copper, nickel and lithium. A
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LIFT\news_html\2026-02-18.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LIFT/news_html/2026-02-18.html,,CHANGED,Sold 50% interest in Galinee property for $13.4M,Galinee,,2024-12-31,2025-03-21
stockwatch,LIFT,Li-FT Power Ltd.,2026-02-17,OTHER_SECURITYHOLDERS_DOCUMENTS_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6125202.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-21
