source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,OCO,Oroco Resource Corp.,2026-01-07,ANNUAL_INFORMATION_FORM_EN,metals and minerals - mining,AIF,,,,https://www.stockwatch.com/News/Sedardoc/6097392.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\OCO\pdfs\AIF\2026-01-07_OCO_AIF.pdf,68,1148,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/OCO/2026-01-07_OCO_AIF.pdf,,,,,,,,,2025-10-31,2026-01-07
stockwatch,OCO,Oroco Resource Corp.,2026-02-24,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Oroco Resource to start phase 2 drilling at Santo Tomas,https://www.stockwatch.com/News/Item/Z-C!OCO-3788395/C/OCO,3788395,https://www.stockwatch.com/News/Sedardoc/6130904.pdf,,0,0,no,,"2026-02-24 12:28 ET - News Release
Mr. Craig Dalziel reports
OROCO COMMENCES PHASE 2 DRILLING
Oroco Resource Corp. has mobilized a diamond drill rig to its Santo Tomas copper project, located in northwestern Mexico, to commence drilling intended to support the upgrade of the mineral resource classifications in the project's South zone.
This mobilization represents the practical start of Oroco's phase 2 on-site work program following the company's recent financing led by Canaccord Genuity.  Initial work will prioritize both infill and confirmation drilling designed to refine the geological and grade model in areas where increased drilling density is expected to support improved confidence for future mine planning and engineering work. Additional drills will be added as required.
In parallel with the resource classification drilling, Oroco will undertake complementary prefeasibility study (PFS)
  programs intended to advance project engineering and reduce technical risk.  Those programs will include the following work:
Hydrogeological, including collection of baseline and operational water data, targeted hydrogeological testing where required, and integration of results into water management planning;
Geotechnical, including systematic geotechnical logging of drill core, core orientation and structural data where appropriate, and the collection of parameters relevant to pit slope and infrastructure design;
Metallurgical, including additional sample collection to support variability, comminution and process-response testing to a PFS standard.
Commenting on the mobilization, Oroco's chairman, Craig Dalziel, stated: ""The mobilization to the South zone at Santo Tomas marks the restart of a project that is not only of great value to the shareholders of Oroco but is also essential to the future of a local community that, along with the regional government, has been so supportive of the project.  We are so very thankful to be located in an area of Mexico where the potential benefits of the Santo Tomas project are so widely appreciated.  We look forward to the many contributions, both local and federal, that the success at Santo Tomas is likely to provide.""
About Oroco 
 Resource Corp.
Oroco's focus is the development of its Santo Tomas project in northwestern Mexico. The company holds a net 87.0-per-cent interest in the central concessions comprising 1,173 hectares (the core concessions) and an 80-per-cent interest in additional surrounding concessions. On a consolidated basis, the Santo Tomas land package has been the subject of an area rationalization process affecting one non-core concession, resulting in a reduced overall project area.
Santo Tomas hosts significant porphyry copper mineralization initially defined by extensive prior exploration (1968 to 1994), including over 100 diamond and reverse circulation drill holes totalling approximately 30,000 metres. Commencing in 2021, Oroco completed a phase 1 drill program at Santo Tomas totalling 48,481 metres in 76 diamond drill holes, which supported subsequent resource estimation and engineering work, including a revised mineral resource estimate and updated PEA (preliminary economic assessment) published and filed in August, 2024.
The Santo Tomas project is located within 170 kilometres of the Pacific deepwater port at Topolobampo and is serviced via highway and proximal rail (along corridors of trunk grid power and natural gas) through Los Mochis to the northern city of Choix.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\OCO\news_html\2026-02-24.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/OCO/news_html/2026-02-24.html,,NONE,Phase 2 drilling program commenced at Santo Tomas,,,2025-10-31,2026-01-07
stockwatch,OCO,Oroco Resource Corp.,2026-01-29,MATERIAL_CHANGE_REPORT_EN,metals and minerals - mining,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6114409.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\OCO\pdfs\MaterialChange\2026-01-29_OCO_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,2,111,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/OCO/2026-01-29_OCO_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Stock options granted to employees,,,,,2025-10-31,2026-01-07
stockwatch,OCO,Oroco Resource Corp.,2026-01-29,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6114403.pdf,,0,0,no,,,,,,,,,,2025-10-31,2026-01-07
stockwatch,OCO,Oroco Resource Corp.,2026-01-29,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6114404.pdf,,0,0,no,,,,,,,,,,2025-10-31,2026-01-07
stockwatch,OCO,Oroco Resource Corp.,2026-01-29,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6114395.pdf,,0,0,no,,,,,,,,,,2025-10-31,2026-01-07
stockwatch,OCO,Oroco Resource Corp.,2026-01-29,INTERIM_MDA_EN,metals and minerals - mining,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6114398.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\OCO\pdfs\MD&A\2026-01-29_OCO_MD&A_INTERIM_MDA_EN.pdf,26,1044,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/OCO/2026-01-29_OCO_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2025-10-31,2026-01-07
stockwatch,OCO,Oroco Resource Corp.,2026-01-29,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Oroco Resource grants options to buy 7.05M shares,https://www.stockwatch.com/News/Item/Z-C!OCO-3779859/C/OCO,3779859,https://www.stockwatch.com/News/Sedardoc/6114246.pdf,,0,0,no,,"2026-01-29 19:51 ET - News Release
Mr. Craig Dalziel reports
OROCO ISSUES INCENTIVE OPTIONS
Pursuant to a stock option plan and subject to approval by the TSX Venture Exchange, Oroco Resource Corp. has granted a total of 7.05 million incentive stock options to 25 directors, officers, employees and consultants of the company at an exercise price of 85 cents per share, with a term of three years.  Of that total option grant, 3,425,000 incentive options have been granted to officers, directors and senior management of the company.  All options will vest in four instalments, with one-quarter vesting on the grant and thereafter upon each of the four-, eight- and 12-month anniversaries of the grant.  The company has 14,185,000 incentive options outstanding, equating to 4.4 per cent of the currently issued and outstanding shares of Oroco.
Commented Oroco chairman Craig Dalziel: ""The closing of our recent financing led by Canaccord Genuity presents the opportunity to initiate our phase 2 drill program at Santo Tomas and to continue our work toward a completed prefeasibility study for the project.  It is, therefore, the appropriate time to provide the necessary financial incentives to every level of Oroco's organization.  We are sincerely grateful to the many members of our management and staff who, being so important to our future success, have maintained their commitment to our company and its assets over the recent period of site inactivity.  We look forward to continuing the development of Santo Tomas on its path to prominence as a major copper resource.""
About Oroco Resource Corp.
The company holds a net 87.0-per-cent interest in those central concessions that comprise 1,173 hectares, the core concessions of the Santo Tomas project, located in northwestern Mexico. The company also holds an 80-per-cent interest in an additional 7,861 hectares of mineral concessions surrounding and adjacent to the core concessions (for a total project area of 9,034 hectares, or 22,324 acres). Following an assessment of one of the non-core concession, the company filed an application to reduce the area of that concession, with the result that the additional concessions will total 4,948.24 hectares, for a total project area of 6,121.11 hectares or 15,124.47 acres. The project is situated within the Santo Tomas district, which extends up to the Jinchuan group's Bahuerachi project, approximately 14 kilometres to the northeast. The Santo Tomas project hosts significant copper porphyry mineralization initially defined by prior exploration spanning the period from 1968 to 1994. During that time, the Santo Tomas project area was tested by over 100 diamond and reverse circulation drill holes, totalling approximately 30,000 metres. Commencing in 2021, Oroco conducted a drill program (phase 1) at Santo Tomas, with a resulting total of 48,481 metres drilled in 76 diamond drill holes.
The drilling and subsequent resource estimates and engineering studies led to a revised mineral resource estimate and an updated preliminary economic assessment being published and filed in August of 2024, which studies are available at the company's website and by reviewing the company profile on SEDAR+.
The Santo Tomas project is located within 170 km of the Pacific deepwater port at Topolobampo, and is serviced by highway and proximal rail (and parallel corridors of trunk grid power lines and natural gas) through the city of Los Mochis to the northern city of Choix. The property is reached, in part, by a 32-kilometre access road originally built to service Goldcorp's El Sauzal mine in Chihuahua state.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\OCO\news_html\2026-01-29.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/OCO/news_html/2026-01-29.html,,NONE,Incentive options granted to directors and staff,,,2025-10-31,2026-01-07
stockwatch,OCO,Oroco Resource Corp.,2026-01-15,MATERIAL_CHANGE_REPORT_EN,metals and minerals - mining,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6102514.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\OCO\pdfs\MaterialChange\2026-01-15_OCO_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,2,140,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/OCO/2026-01-15_OCO_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,C$23 million bought deal financing,,,,,2025-10-31,2026-01-07
stockwatch,OCO,Oroco Resource Corp.,2026-01-15,MATERIAL_CHANGE_REPORT_EN,metals and minerals - mining,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6102509.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\OCO\pdfs\MaterialChange\2026-01-15_OCO_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,0,0,exists,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/OCO/2026-01-15_OCO_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,C$23 million bought deal financing,,,,,2025-10-31,2026-01-07
