source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,SLVR,Silver Tiger Metals Inc.,2025-08-25,ANNUAL_INFORMATION_FORM_EN,metals and minerals - mining,AIF,,,,https://www.stockwatch.com/News/Sedardoc/5994298.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SLVR\pdfs\AIF\2025-08-25_SLVR_AIF.pdf,44,1280,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SLVR/2025-08-25_SLVR_AIF.pdf,,,,,,,,,2025-05-31,2025-08-25
stockwatch,SLVR,Silver Tiger Metals Inc.,2026-02-26,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134145.pdf,,0,0,no,,,,,,,,,,2025-05-31,2025-08-25
stockwatch,SLVR,Silver Tiger Metals Inc.,2026-02-26,INTERIM_MDA_EN,metals and minerals - mining,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6134146.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SLVR\pdfs\MD&A\2026-02-26_SLVR_MD&A_INTERIM_MDA_EN.pdf,33,815,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SLVR/2026-02-26_SLVR_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2025-05-31,2025-08-25
stockwatch,SLVR,Silver Tiger Metals Inc.,2026-02-26,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134147.pdf,,0,0,no,,,,,,,,,,2025-05-31,2025-08-25
stockwatch,SLVR,Silver Tiger Metals Inc.,2026-02-26,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134148.pdf,,0,0,no,,,,,,,,,,2025-05-31,2025-08-25
stockwatch,SLVR,Silver Tiger Metals Inc.,2026-02-18,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,,,,https://www.stockwatch.com/News/Sedardoc/6126579.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SLVR\pdfs\NewsRelease\2026-02-18_SLVR_NewsRelease_fallback.pdf,0,0,no,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SLVR/2026-02-18_SLVR_NewsRelease_fallback.pdf,"Not for distribution to United States newswire services or for dissemination in the United States 
NEWS RELEASE 
Silver Tiger Announces Closing of C$57,501,288 Bought Deal Financing 
HALIFAX, NOVA SCOTIA  February 18, 2026 -- Silver Tiger Metals Inc. (TSXV:SLVR) (Silver 
Tiger or the Company) is pleased to announce that it has closed its previously announced bought deal 
offering (the Offering) of common shares of the Company (the Shares) with a syndicate of 
underwriters. An aggregate of 49,146,400 Shares at a price of C$1.17 per Share for gross proceeds to the 
Company of C$57,501,288 were sold, which includes the exercise in full of the Underwriters over-
allotment option. The Company intends to use the proceeds of the Offering to fund exploration and 
development expenditures at the Companys El Tigre Project in Mexico, as well as for working capital and 
general corporate purposes. 
The syndicate of underwriters was led by Stifel Canada and BMO Capital Markets (together, the Co-Lead 
Underwriters), as co-lead underwriters and joint bookrunners, and Desjardins Capital Markets and 
Canaccord Genuity Corp. (together with the Co-Lead Underwriters, the Underwriters). The 
Underwriters were paid a cash commission of 5.5% on the gross proceeds of the Offering. 
The Offering was completed by way of short form prospectus in each of the provinces of Canada, except 
Qubec, and outside of Canada in accordance with applicable securities laws.  
This press release shall not constitute an offer to sell or the solicitation of an offer to buy nor shall there be 
any sale of the securities in any state in which such offer, solicitation or sale would be unlawful. The 
securities being offered have not been, nor will they be, registered under the United States Securities Act 
of 1933, as amended (the U.S. Securities Act), or any U.S. state securities laws, and may not be offered 
or sold in the United States absent registration or an applicable exemption from the registration 
requirements of the U.S. Securities Act, and applicable state securities laws. 
About Silver Tiger and the El Tigre Historic Mine District 
Silver Tiger Metals Inc. is a Canadian company whose management has more than 25 years experience 
discovering, financing and building large hydrothermal silver projects in Mexico. Silver Tigers 100% 
owned 28,414 hectare Historic El Tigre Mining District is located in Sonora, Mexico. Principled 
environmental, social and governance practices are core priorities at Silver Tiger. The El Tigre historic 
mine district is located in Sonora, Mexico and lies at the northern end of the Sierra Madre silver and gold 
belt which hosts many epithermal silver and gold deposits, including Dolores, Santa Elena and Las Chispas 
at the northern end. 
For further information, please contact: 
Glenn Jessome  
President and CEO 
 

902 492 0298 
jessome@silvertigermetals.com 
CAUTIONARY STATEMENT: 
Neither TSX Venture Exchange nor its Regulation Services Provider (as that term is defined in the policies 
of the TSX Venture Exchange) accepts responsibility for the adequacy or accuracy of this release.  
This News Release includes certain forward-looking statements. All statements other than statements of 
historical fact included in this release, including, without limitation, statements regarding future plans and 
objectives of Silver Tiger, are forward-looking statements that involve various risks and uncertainties. 
Forward looking statements are frequently characterized by words such as may, is expected to, 
anticipates, estimates, intends, plans, projection, could, vision, goals, objective 
and outlook and other similar words. Although Silver Tiger believes the expectations expressed in such 
forward-looking statements are based on reasonable assumptions, there can be no assurance that such 
statements will prove to be accurate and actual results and future events could differ materially from those 
anticipated in such statements. Important factors that could cause actual results to differ materially from 
Silver Tigers expectations include risks and uncertainties related to exploration, development, operations, 
commodity prices and global financial volatility, risk and uncertainties of operating in a foreign jurisdiction 
as well as additional risks described from time to time in the filings made by Silver Tiger with securities 
regulators. 
",,,,NONE,Closed bought deal financing for El Tigre,,,2025-05-31,2025-08-25
stockwatch,SLVR,Silver Tiger Metals Inc.,2026-02-12,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Silver Tiger Metals files final prospectus,https://www.stockwatch.com/News/Item/Z-C!SLVR-3784791/C/SLVR,3784791,https://www.stockwatch.com/News/Sedardoc/6123557.pdf,,0,0,no,,"2026-02-12 21:49 ET - News Release
Mr. Glenn Jessome reports
SILVER TIGER ANNOUNCES FILING OF FINAL SHORT FORM PROSPECTUS
Silver Tiger Metals Inc., further to its news releases dated Jan. 27, 2026, and Jan. 28, 2026, has filed a final short form prospectus dated Feb. 12, 2026, with the securities commissions in each of the provinces of Canada, except Quebec, in connection with its bought deal public offering of common shares of the company at $1.17 per common share for aggregate gross proceeds of $50,001,120. The offering is being conducted through a syndicate of underwriters, including Stifel Canada and BMO Capital Markets, as co-lead underwriters and joint bookrunners, and Desjardins Capital Markets and Canaccord Genuity Corp.. The company has granted the underwriters an option to purchase an additional 6,410,400 common shares on the same terms and exercisable at any time up to 30 days following the closing of the offering, for market stabilization purposes and to cover overallotments, if any. If the overallotment option is exercised in full, additional gross proceeds of $7,500,168 will be raised pursuant to the offering and the aggregate gross proceeds of the offering will be $57,501,288.
The offering is being conducted in each of the provinces of Canada, except Quebec, and outside of Canada in accordance with applicable securities laws.
Closing of the offering is expected to occur on or about Feb. 18, 2026. The TSX Venture Exchange has conditionally approved the listing of the common shares to be issued pursuant to the offering (including any exercise of the overallotment option), subject to customary conditions.
Final short form prospectus is accessible through SEDAR+
Access to the final prospectus and any amendment to the documents is provided in accordance with securities legislation relating to procedures for providing access to a prospectus. The final prospectus is accessible on SEDAR+. An electronic or paper copy of the final prospectus and any amendment may be obtained, without charge, from Stifel Canada by e-mail at prospectuscanada@stifel.com by providing the contact with an e-mail address or address, as applicable. The final prospectus contains important detailed information about the company and the offering. Prospective investors should read the final prospectus and the other documents the company has filed on SEDAR+ before making an investment decision.
Approval of amendments to the company's omnibus incentive plan
Amendments to the company's omnibus incentive plan were approved by the company's disinterested shareholders at the annual and special meeting of shareholders held on Sept. 25,2025. As described in the company's management information circular dated Aug. 26, 2025, the amended omnibus incentive plan is substantially the same as the prior version, but includes two principal changes: (i) an increase in the maximum number of common shares that may be reserved for issuance pursuant to deferred share unit and restricted share unit awards from 10 million to 15 million; and (ii) inclusion of provisions allowing for the exercise of stock options on a cashless and net exercise basis. Further details regarding these amendments are provided in the circular, and a copy of the amended omnibus incentive plan, including a redlined version reflecting all amendments, is attached as Schedule D of the circular and is available under the company's profile on SEDAR+.
About Silver Tiger and the El Tigre historic mine district
Silver Tiger is a Canadian company, the management of which has more than 25 years of experience discovering, financing and building large hydrothermal silver projects in Mexico. Silver Tiger's 100-per-cent-owned 28,414 hectare historic El Tigre mining district is located in Sonora, Mexico. Principled environmental, social and governance practices are core priorities at Silver Tiger. The El Tigre historic mine district is located in Sonora, Mexico, and lies at the northern end of the Sierra Madre silver and gold belt, which hosts many epithermal silver and gold deposits, including Dolores, Santa Elena and Las Chispas at the northern end.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SLVR\news_html\2026-02-12.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SLVR/news_html/2026-02-12.html,,NONE,Final short form prospectus filed for financing,,,2025-05-31,2025-08-25
stockwatch,SLVR,Silver Tiger Metals Inc.,2026-01-29,MATERIAL_CHANGE_REPORT_EN,metals and minerals - mining,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6112822.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SLVR\pdfs\MaterialChange\2026-01-29_SLVR_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,6,507,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SLVR/2026-01-29_SLVR_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Bought deal financing increase announced,,,,,2025-05-31,2025-08-25
stockwatch,SLVR,Silver Tiger Metals Inc.,2026-01-28,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Silver Tiger increases bought deal to $50-million,https://www.stockwatch.com/News/Item/Z-C!SLVR-3779028/C/SLVR,3779028,https://www.stockwatch.com/News/Sedardoc/6110980.pdf,,0,0,no,,"2026-01-28 18:32 ET - News Release
Mr. Glenn Jessome reports
SILVER TIGER METALS INC. ANNOUNCES INCREASE IN BOUGHT DEAL FINANCING TO $50 MILLION
Due to strong investor demand, Silver Tiger Metals Inc. has entered into an amended agreement with Stifel Canada and BMO Capital Markets, on their own behalf and on behalf of a syndicate of underwriters, pursuant to which the underwriters have now agreed to purchase, on a bought deal basis, 42,736,000 common shares of the company at a price of $1.17 per common share for gross proceeds of $50,001,120.
The company will grant the underwriters an option, exercisable, in whole or in part, at any time until and including 30 days following the closing of the offering, to purchase up to an additional 15 per cent of the offering. If this option is exercised in full, an additional $7,500,168 in gross proceeds will be raised pursuant to the offering and the aggregate gross proceeds of the offering will be approximately $57.5-million.
The company plans to use the net proceeds from the offering to finance exploration and development expenditures at the company's El Tigre project in Mexico, as well as for working capital and general corporate purposes. The common shares will be offered by way of a short form prospectus to be filed in all provinces of Canada, except Quebec. The common shares will also be sold to U.S. buyers on a private placement basis pursuant to an exemption from the registration requirements in Rule 144A of the United States Securities Act of 1933, as amended, and other jurisdictions outside of Canada provided that no prospectus filing or comparable obligation arises.
The offering is scheduled to close on or about Feb. 18, 2026, and is subject to certain conditions including, but not limited to, the receipt of all necessary approvals including the approval of the TSX Venture Exchange and the securities regulatory authorities.
The company will pay the underwriters a cash commission of 5.50 per cent of the gross proceeds of the offering.
The preliminary short form prospectus and the final short form prospectus will be available on SEDAR+. Alternatively, the preliminary form prospectus and final short form prospectus may be obtained upon request by contacting the company or Stifel in Canada, attention: ProspectusCanada@stifel.com.
About Silver Tiger 
   
  
Metals Inc.
Silver Tiger Metals is a Canadian company whose management has more than 25 years of experience discovering, financing and building large hydrothermal silver projects in Mexico. Silver Tiger's 100-per-cent-owned 28,414-hectare historic El Tigre mining district is located in Sonora, Mexico. Principled environmental, social and governance practices are core priorities at Silver Tiger. The El Tigre historic mine district is located in Sonora, Mexico, and lies at the northern end of the Sierra Madre silver and gold belt which hosts many epithermal silver and gold deposits, including Dolores, Santa Elena and Las Chispas at the northern end.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SLVR\news_html\2026-01-28.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SLVR/news_html/2026-01-28.html,,NONE,Bought deal financing increased to $50 million,,,2025-05-31,2025-08-25
stockwatch,SLVR,Silver Tiger Metals Inc.,2026-01-27,MARKETING_MATERIALS_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6116996.pdf,,0,0,no,,,,,,,,,,2025-05-31,2025-08-25
