source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,UGD,Unigold Inc.,2026-03-10,NEWS_RELEASE_EN,not applicable,NewsRelease,Unigold has 53.43M warrants expiring on March 31,https://www.stockwatch.com/News/Item/Z-C!UGD-3794447/C/UGD,3794447,https://www.stockwatch.com/News/Sedardoc/6143939.pdf,,0,0,no,,"2026-03-10 17:40 ET - News Release
An anonymous director reports
UNIGOLD REMINDS HOLDERS OF UPCOMING WARRANT EXPIRY DATE
Unigold Inc. reminds holders that the following series of warrants are scheduled to expire on March 31, 2026:
12,596,175 warrants, including 375,850 warrants issued to insiders, issued pursuant to a private placement that closed on Aug. 10, 2021;
8.75 million warrants, including 1.85 million warrants issued to insiders, issued pursuant to a private placement that closed on Sept. 7, 2022;
1.15 million warrants issued pursuant to a private placement that closed on Sept. 12, 2022;
6,875,000 warrants issued pursuant to a private placement that closed on Nov. 1, 2022;
8,008,750 warrants, including 850,000 warrants issued to insiders, issued as part of a private placement that closed on May 10, 2023;
16,053,750 warrants, including 528,750 warrants issued to insiders, issued from a private placement that closed on May 16, 2023.
Each of these warrants entitles the holder thereof to acquire one common share of the company at a price of 30 cents per common share. Holders of warrants who wish to exercise their warrants must forward a copy of the original warrant certificate to the company's office (attention: Unigold corporate secretary).  Alternatively, an electronic scan or the electronic certificate may be sent via e-mail to unigold@grovecorp.ca.  In all cases, the warrant exercise form that is attached to the warrant must be included and the funds must be received before the close of business March 31, 2026, to ensure issuance of the shares.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\UGD\news_html\2026-03-10.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/UGD/news_html/2026-03-10.html,,NONE,Warrant expiry reminder for holders,,,2023-12-31,2024-03-30
stockwatch,UGD,Unigold Inc.,2026-03-04,MATERIAL_CHANGE_REPORT_EN,not applicable,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6140023.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\UGD\pdfs\MaterialChange\2026-03-04_UGD_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,5,190,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/UGD/2026-03-04_UGD_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Private placement closed for $1.47 million,,,,,2023-12-31,2024-03-30
stockwatch,UGD,Unigold Inc.,2026-03-04,REPORT_OF_DISTRIBUTIONS_OUTSIDE_CANADA_72503F,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6139901.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,UGD,Unigold Inc.,2026-02-27,NEWS_RELEASE_EN,not applicable,NewsRelease,Unigold gets community support for Candelones,https://www.stockwatch.com/News/Item/Z-C!UGD-3790641/C/UGD,3790641,https://www.stockwatch.com/News/Sedardoc/6135257.pdf,,0,0,no,,"2026-02-27 16:35 ET - News Release
Mr. Joseph Hamilton reports
UNIGOLD RECEIVES OVERWHELMING COMMUNITY SUPPORT - ACCELERATES DEVELOPMENT OF THE CANDELONES DEPOSITS IN THE DOMINICAN REPUBLIC
Unigold Inc. has provided an update on the status of the Candelones deposits in the Dominican Republic.  Unigold completed a bankable feasibility study in late 2022 on the oxide deposits at the Candelones site in northwestern Dominican Republic.  The study, done using a $1,650 (U.S.) gold price assumption, showed a 44-per-cent after-tax IRR (internal rate of return) and a 1.5-year payback (for complete results, please see PR2022-12 and National Instrument 43-101 technical report dated Oct. 7, 2022,  available on the company's website).  The oxide reserves comprise less than 10 per cent of the available M&I (measured and indicated) resources on the property.
Stakeholder engagement and community feedback shows overwhelming support for environmental studies
Unigold has maintained a fully staffed Community Information Office in the local communities for many years.  The company completed a stakeholder survey in 2020 prior to commencing the oxide project feasibility study.  A new outreach program was completed in February, 2026, to provide information prior to commencing a full environmental and social impact assessment (ESIA).  The survey asked a series of questions of stakeholders in order to gauge the degree of public support for the Candelones project.  Preliminary results show overwhelming support (greater than 70 per cent) for the acceleration of  environmental studies and full community consultations.  A similar portion of respondents indicated that they felt the project should proceed if the results of the environmental and social impact assessments are positive.  Most people in the remote local communities are interested in the employment and economic spinoff opportunities as well as potential infrastructure improvements in terms of transportation, utilities, health and education.  The communities expressed concerns regarding water quality, surface impacts and benefit sharing agreements.  This study gives the company the framework for future community engagement programs and helps the company design benefit sharing agreements that will provide the highest impact to local communities.
Unigold intends to immediately move forward with an ESIA
Unigold completed baseline environmental work in 2022 as part of the feasibility study and now has over five years of baseline data available to use in its consultation and design work.  The full environmental baseline report is substantially complete.  The company has been awaiting the granting of the terms of reference (ToR) by the Dominican government authorities prior to completing the ESIA report and schedulling further stakeholder consultations.  Unigold has been notified by the Ministry of the Environment and Natural Resources, the Approval Authority for all environmental reviews, that its has finished its project review and that a site visit with their teams will be held on March 3, 2026.  The site visit is the final step before the delivery of the ToR.   The company is confident that it will be able to table an initial ESIA study towards the end of Q2 2026 and will immediately start to schedule stakeholder meetings for consultation during this process.
Unigold estimates that the ESIA consultation and approval process will take approximately 12 months to complete.  In parallel with the stakeholder engagement process, the company will commence detailed engineering for the 100,000-ounce oxide project in order to be in a position to commence construction immediately following approval of the ESIA.  This work will ensure that long-lead time items are available and that supply-chain logistics are well understood prior to starting construction and development. The construction period is estimated to be eight to 14 months.
Joseph Hamilton, PGeo, chief executive officer of Unigold, has reviewed and approved the contents of this press release.
About Unigold Inc. -- discovering gold in the Caribbean
Unigold is a Canadian-based mineral exploration company traded on the TSX Venture Exchange under the symbol UGD and on the Frankfurt Stock Exchange under the symbol UGB1.  The multimillion-ounce Candelones gold deposits are within the 100-per-cent-owned Neita Sur  concession located in Dajabon province, in the northwest part of the Dominican Republic.  This 9,990-hectare concession has moved smoothly through various permitting stages and now awaits the granting of an exploitation concession.  The application rests with the president's office for final approval.   The company delivered a feasibility study for the oxide portion of the Candelones deposit in Q4 of 2022. The 10,902-hectare Neita Norte exploration concession was awarded to the company in Q2 2023.  In early 2024 Unigold completed an earn-in agreement with Barrick Gold which allows Barrick to earn up to a 60-per-cent interest in the Neita Norte concession by spending a minimum of $12-million over an eight-year period and delivering a prefeasibility study on an identified deposit.  Barrick can earn a further 20 per cent in the Neita Norte concession by electing to sole finance a feasibility study within the following four years.  The two concessions together form the largest single exposure of the volcanic rocks of the Cretaceous Tireo formation.  This island arc terrain is host to volcanogenic massive sulphide deposits, intermediate and high sulphidation epithermal systems and copper-gold porphyry systems.  Unigold has identified over 20 areas within the concession areas that host surface expressions of gold systems.  Unigold has been concentrating on the multimillion-ounce Candelones mineralization and is moving to bring these deposits into production. Unigold has been active in the Dominican Republic since 2002 and continues to receive strong support from the local communities for its exploration and development activities.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\UGD\news_html\2026-02-27.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/UGD/news_html/2026-02-27.html,,NONE,Community support for Candelones project development,,,2023-12-31,2024-03-30
stockwatch,UGD,Unigold Inc.,2026-02-25,NEWS_RELEASE_EN,not applicable,NewsRelease,Unigold closes $1.47-million private placement,https://www.stockwatch.com/News/Item/Z-C!UGD-3789337/C/UGD,3789337,https://www.stockwatch.com/News/Sedardoc/6132000.pdf,,0,0,no,,"2026-02-25 18:58 ET - News Release
Mr. Joseph Hamilton reports
UNIGOLD ANNOUNCES CLOSING OF NON-BROKERED PRIVATE PLACEMENT OF $1,470,060
Unigold Inc. has closed a non-brokered private placement of 8,167,000 units of the company at a price of 18 cents per unit for gross proceeds of $1,470,060. Each unit consists of one common share of the company and one-half of one common share purchase warrant. Each warrant will entitle the holder thereof to purchase one common share at an exercise price of 22 cents for two years following the date of issue.
No finders' fees were paid in connection with this closing of the offering. The proceeds from the offering will be used to finance the company's continued exploration and development on its Neita Sur concession in the Dominican Republic and for general working capital purposes. All securities issued under the offering are subject to a four-month hold period. The offering is subject to final acceptance of the TSX Venture Exchange.
Insiders of the company subscribed for units under the offering, as detailed in the attached table.
Each subscription by an insider is considered to be a related party transaction for purposes of Multilateral Instrument 61-101, Protection of Minority Security Holders in Special Transactions, and Policy 5.9, Protection of Minority Security Holders in Special Transactions, of the TSX Venture Exchange. Pursuant to MI 61-101, the company will file a material change report providing disclosure in relation to each related party transaction on SEDAR+ under the company's issuer profile. The company did not file the material change report more than 21 days before the expected closing date of the offering as the details of the offering and the participation therein by each related party of the company were not settled until shortly prior to the closing of the offering, and the company wished to close the offering on an expedited basis for sound business reasons. The company is relying on exemptions from the formal valuation and minority shareholder approval requirements available under MI 61-101. The company is exempt from the formal valuation requirement in Section 5.4 of MI 61-101 in reliance on sections 5.5(a) and (b) of MI 61-101 as the fair market value of the transaction, insofar as it involves interested parties, is not more than the 25 per cent of the company's market capitalization, and no securities of the company are listed or quoted for trading on prescribed stock exchanges or stock markets. Additionally, the company is exempt from minority shareholder approval requirement in Section 5.6 of MI 61-101 in reliance on Section 5.7(1)(a) as the fair market value of the transaction, insofar as it involves interested parties, is not more than the 25 per cent of the company's market capitalization.
About Unigold Inc.
Unigold is a Canadian-based mineral exploration company traded on the TSX Venture Exchange under the symbol UGD and on the Frankfurt Stock Exchange under the symbol UGB1.  The multimillion-ounce Candelones gold deposits are within the 100-per-cent-owned Neita Sur  concession located in Dajabon province, in the northwestern part of the Dominican Republic.  This 9,990-hectare concession has moved smoothly through various permitting stages and now awaits the granting of an exploitation concession.  The application rests with the President's office for final approval.   The company delivered a feasibility study for the oxide portion of the Candelones deposit in Q4 (fourth quarter) 2022. The 10,902-hectare Neita Norte exploration concession was awarded to the company in Q2 (second quartet) 2023.  In early 2024, Unigold completed an earn-in agreement with Barrick Gold, which allows Barrick to earn up to a 60-per-cent interest in the Neita Norte concession by spending a minimum of $12-million over an eight-year period and delivering a prefeasibility study on an identified deposit.  Barrick can earn a further 20 per cent in the Neita Norte concession by electing to sole-finance a feasibility study within the following four years.  The two concessions together form the largest single exposure of the volcanic rocks of the Cretaceous Tireo formation.  This island arc terrain is host to volcanogenic massive sulphide deposits, intermediate- and high-sulphidation epithermal systems, and copper-gold porphyry systems.  Unigold has identified over 20 areas within the concession areas that host surface expressions of gold systems.  Unigold has been concentrating on the multimillion ounce Candelones mineralization and is moving to bring these deposits into production. Unigold has been active in the Dominican Republic since 2002 and continues to receive strong support from the local communities for its exploration and development activities.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\UGD\news_html\2026-02-25.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/UGD/news_html/2026-02-25.html,,NONE,Private placement financing completed,,,2023-12-31,2024-03-30
stockwatch,UGD,Unigold Inc.,2026-02-24,MATERIAL_CHANGE_REPORT_EN,not applicable,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6130862.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\UGD\pdfs\MaterialChange\2026-02-24_UGD_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,1,79,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/UGD/2026-02-24_UGD_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Board member appointments and resignations,,,,,2023-12-31,2024-03-30
stockwatch,UGD,Unigold Inc.,2026-02-17,NEWS_RELEASE_EN,not applicable,NewsRelease,"Unigold appoints Barcelo, Marranzini as directors",https://www.stockwatch.com/News/Item/Z-C!UGD-3785803/C/UGD,3785803,https://www.stockwatch.com/News/Sedardoc/6125366.pdf,,0,0,no,,"2026-02-17 18:07 ET - News Release
Mr. Joseph Hamilton reports
UNIGOLD ANNOUNCES THE APPOINTMENT OF MS. JUANA BARCELO AND MR. ANDRÉS MARRANZINI TO THE BOARD OF DIRECTORS
Unigold Inc. has appointed Juana Barcelo and Andres Marranzini to the board of directors of the company.
Ms. Barcelo is an experienced business and legal executive with over 15 years of leadership in mining and corporate affairs across Latin America and the Caribbean.  Most recently Ms. Barcelo was the president/country manager of Barrick Pueblo Viejo, a joint venture between Newmont and Barrick and one of the top gold mines in the world.  Ms. Barcelo supervised the permitting process for the Pueblo Viejo mine's expansion project in the Dominican Republic.  In addition, Ms. Barcelo occupied the role of executive director of government affairs, Central America and the Caribbean for Barrick Gold. Ms. Barcelo has been listed twice among the Top 100 Global Inspirational Women in Mining.
Mr. Marranzini is a lawyer and currently the chief executive officer of Punta Bergantin Development.  In this role he is leading one of the most significant tourism and real estate developments in the Caribbean.  Early in his career, Mr. Marranzini  worked as the legal counsel and chief of staff for the Ministry of the Environment and Natural Resources before serving as a deputy minister of youth, deputy minister of labour and finally as the administrative deputy minister to the president.  Over the past 15 years, Mr. Marranzini has practiced private law and served as the executive director of the National Hotel & Restaurant Association in the Dominican Republic.  Mr. Marranzini's focus is on sustainable growth, investment structuring and strategic public-private partnerships within the Dominican Republic.
Joe Hamilton, chairman of the board, said: ""I would like to welcome Juana and Andres  to the board of Unigold.  They bring unique skills and perspectives to the board that will be required as Unigold moves to bring the Candelones deposits into production.  Most importantly, their experience with the environmental and social aspects of development and permitting in the Dominican Republic are unequalled.  I look forward to working with both Juana and Andres in the future.""
Jose Francisco Arata, Charles Page and Normand Tremblay have announced their resignation from the board of directors concurrent with these appointments.  Management and the board of directors of Unigold would like to extend their sincere appreciation for the many years of dedicated service and guidance provided by these directors.  They have helped to steer the company through some of its most challenging moments and have helped position the company for future success as it moves to develop the Candelones deposits in the Dominican republic.
About Unigold Inc. --  discovering gold in the Caribbean
Unigold is a Canadian-based mineral exploration company traded on the TSX Venture Exchange under the symbol UGD.  The multimillion-ounce Candelones gold deposits are within the 100-per-cent-owned Neita Sur concession located in Dajabon province, in the northwest part of the Dominican Republic.  The company delivered a feasibility study for the oxide portion of the Candelones deposit in Q4 of 2022.  The 10,902-hectare Neita Norte exploration concession was awarded to the company in Q2 2023.  In early 2024 Unigold completed an earn-in agreement with Barrick Gold which allows Barrick to earn up to a 60-per-cent interest in the Neita Norte concession by spending a minimum of $12-million over an eight-year period and delivering a prefeasibility study on an identified deposit.  Barrick can earn a further 20 per cent in the Neita Norte concession by electing to sole finance a feasibility study within the following four years.  The two concessions together form the largest single exposure of the volcanic rocks of the Cretaceous Tireo formation.  This island arc terrain is host to volcanogenic massive sulphide deposits, intermediate and high sulphidation epithermal systems and copper-gold porphyry systems.  Unigold has identified over 20 areas within the concession areas that host surface expressions of gold systems.  Unigold has been concentrating on the multimillion-ounce Candelones mineralization and is moving to bring these deposits into production. Unigold has been active in the Dominican Republic since 2002 and continues to receive strong support from the local communities for its exploration and development activities.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\UGD\news_html\2026-02-17.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/UGD/news_html/2026-02-17.html,,NONE,Board appointments announced for Unigold,,,2023-12-31,2024-03-30
stockwatch,UGD,Unigold Inc.,2026-01-19,NEWS_RELEASE_EN,not applicable,NewsRelease,Unigold changes transfer agent to Endeavor Trust,https://www.stockwatch.com/News/Item/Z-C!UGD-3775180/C/UGD,3775180,https://www.stockwatch.com/News/Sedardoc/6103634.pdf,,0,0,no,,"2026-01-19 03:28 ET - News Release
Mr. Joseph Hamilton reports
UNIGOLD ANNOUNCES CHANGE OF TRANSFER AGENT TO ENDEAVOR TRUST CORPORATION
Endeavor Trust Corp. has replaced Computershare Trust Company as the transfer agent of Unigold Inc., effective Jan. 5, 2026.   Shareholders do not need to take any action in respect to the change in transfer agent.
All inquiries and correspondence relating to shareholders' records, transfer of shares, lost certificates, changes of addresses or other inquiries related to shares should now be directed to Endeavor Trust as follows.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\UGD\news_html\2026-01-19.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/UGD/news_html/2026-01-19.html,,NONE,Change of transfer agent announced,,,2023-12-31,2024-03-30
stockwatch,UGD,Unigold Inc.,2026-01-05,MATERIAL_CHANGE_REPORT_EN,not applicable,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6096447.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\UGD\pdfs\MaterialChange\2026-01-05_UGD_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,3,154,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/UGD/2026-01-05_UGD_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,DSUs and stock options granted,,,,,2023-12-31,2024-03-30
stockwatch,UGD,Unigold Inc.,2025-12-31,NEWS_RELEASE_EN,not applicable,NewsRelease,"Unigold grants DSUs, options",https://www.stockwatch.com/News/Item/Z-C!UGD-3770591/C/UGD,3770591,https://www.stockwatch.com/News/Sedardoc/6095701.pdf,,0,0,no,,"2025-12-31 19:19 ET - News Release
Mr. Joseph Hamilton reports
UNIGOLD ANNOUNCES ISSUANCES OF DSUS TO INDEPENDENT DIRECTORS AND INCENTIVE STOCK OPTIONS TO EMPLOYEES
Unigold Inc. has granted deferred share units (DSUs) to independent directors on account of certain director fees in lieu of cash. In addition, the company has granted incentive DSUs to independent directors. All DSUs will be priced at 20 cents.
Unigold also announces that the board of directors has approved the grant of incentive stock options to officers, employees and consultants of the company, allowing for the acquisition of an aggregate of up to 4.8 million common shares of the company, with an exercise price of 20 cents per share and an expiry date of Dec. 31, 2030.
The grants of options and DSUs were conducted pursuant and subject to the terms and conditions of the company's share incentive plans and TSX Venture Exchange policies. The DSUs will vest in accordance with the deferred share unit plan of the corporation, a copy of which is available on SEDAR+ under the Unigold issuer profile (see management information circular of Unigold dated as of June 3, 2022).
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\UGD\news_html\2025-12-31.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/UGD/news_html/2025-12-31.html,,NONE,Grant of DSUs and stock options,,,2023-12-31,2024-03-30
