source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,RCK,Rock Tech Lithium Inc.,2026-03-05,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6141275.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,RCK,Rock Tech Lithium Inc.,2026-03-04,MATERIAL_CHANGE_REPORT_EN,metals and minerals - mining,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6140720.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\RCK\pdfs\MaterialChange\2026-03-04_RCK_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,5,560,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/RCK/2026-03-04_RCK_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Private placement offering closed,,,,,2024-01-31,2024-04-02
stockwatch,RCK,Rock Tech Lithium Inc.,2026-03-02,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,From Guben to Red Rock: Rock Tech and Siemens Form Strategic Partnership to Transfer Proven German Lithium Conversion Expertise to Canada's Next Strategic Lithium Conversion Project Supporting G7 Critical Minerals Cooperation,https://www.stockwatch.com/News/Item/Z-C!RCK-3791400/C/RCK,3791400,https://www.stockwatch.com/News/Sedardoc/6137610.pdf,,0,0,no,,"2026-03-02 12:52 ET - News Release
From Guben to Red Rock: Rock Tech and Siemens Form Strategic Partnership to Transfer Proven German Lithium Conversion Expertise to Canada's Next Strategic Lithium Conversion Project Supporting G7 Critical Minerals Cooperation
PR Newswire
TORONTO, March 2, 2026
German lithium converter expertise for Canada
:
Building on the blueprint developed in Guben and in collaboration with Siemens, the Red Rock Converter will define the future of digitally enabled lithium conversion facilities.
Multi-phase strategic partnership:
The cooperation includes the integration of Siemens Digital Twin technology, as well as evaluation of additional Siemens solutions, services and engineering support, with the goal of positioning Red Rock as a blueprint for future converters in Canada and allied markets.
Red Rock as a Strategic Contributor to G7 Critical Minerals Supply Chain Cooperation
:
The partnership strengthens German-Canadian cooperation within the G7 Critical Minerals Production Alliance and positions Red Rock as a reference project for resilient, sustainable, and scalable lithium conversion.
TORONTO
,
March 2, 2026
/PRNewswire/ - Rock Tech Lithium Inc. (TSXV: RCK) (OTCQX: RCKTF) (FWB: RJIB) (WKN: A1XF0V) (the ""Company"" or ""Rock Tech"") and Siemens Canada Ltd. (Siemens) are pleased to announce that they have signed a non-binding Memorandum of Understanding (MoU) laying the foundation for a long-term, multi-phase strategic partnership to develop state-of-the-art lithium conversion capacity. The signing took place at the Canadian Critical Minerals Forum hosted by Natural Resources Canada (NRCan) during Prospectors and Developers Association of Canada Trade Show and Convention (PDAC) - the world's leading conference for the mining and minerals industry. At the core of the partnership is the application of Siemens' cutting-edge digitalization technology - in particular Digital Twin solutions - for the development, construction, and operation of Rock Tech's planned lithium converter in Red Rock, Ontario.
The partnership translates the strategic critical raw material cooperation between Canada and Germany into concrete, on-the-ground collaboration. Siemens brings German industrial and digitalization expertise to a Canadian flagship project built on the blueprint of the fully permitted, shovel-ready Guben converter in Germany. The public signing underscores the strategic importance of Red Rock for Canada's efforts to build resilient and sovereign midstream capacity for critical minerals - and reinforces broader Canada-Germany cooperation aligned within the G7 critical minerals supply chain priorities. The parties intend to explore available funding opportunities to support deployment of Digital-Twin technology.
Proven Blueprint Enables Accelerated Execution
The Red Rock converter will be developed based on the fully permitted and engineered facility in Guben, Germany. By transferring this blueprint to Canada, development timelines can be shortened, technical risks minimized, and capital efficiency increased. Leveraging the engineering and permitting work completed in Guben materially reduces execution risk and supports a more efficient path toward final investment decision in Canada. The planned production capacity of up to 32,000 tonnes of LCE per year would be sufficient to supply up to 900,000 electric vehicles annually.
""Red Rock will be Ontario's first lithium conversion facility and is a key project in Canada's efforts to rapidly establish domestic critical minerals processing capacity,"" says Mirco Wojnarowicz, CEO of Rock Tech Lithium. ""Together with our Georgia Lake mining project, we are creating a fully vertically integrated supply chain from rock to battery-grade lithium. A critical minerals corridor, entirely in Ontario.""
Parliamentary State Secretary Stefan Rouenhoff emphasizes: „The Federal Ministry for Economic Affairs and Energy strongly welcomes the deepening of business relations between Rock Tech Lithium and Siemens Canada. At a time when secure and sustainable supply chains for critical raw materials are of strategic importance, this partnership sends a powerful signal for the continued expansion of German-Canadian cooperation.""
Digital Twin Optimizes Efficiency and Sustainability
The collaboration with Siemens provides for the deployment of Digital Twin technology across the entire project lifecycle: from the feasibility study through engineering and construction to operation. Through the virtual, data-driven modeling of processes, energy flows, and material streams, Rock Tech can optimize and validate design, efficiency, emissions, and operational reliability before committing capital. ""Our partnership with Rock Tech is built on a shared commitment to developing stronger and more resilient domestic critical minerals processing capacity,"" says Faisal Kazi, CEO of Siemens Canada. ""By leveraging our digital twin and industrial digitalization technologies, we are supporting the development of lithium conversion in Ontario that could ultimately help support stronger battery supply chains within the G7. This collaboration between our two organizations - both at home in Canada and in Germany - underscores our shared vision for energy security, industrial competitiveness, clean growth, and creating a blueprint for next-generation facilities worldwide.""
Strategic Relevance for Canada and the G7
With midstream lithium processing, the project closes a critical gap in the North American battery value chain. Rock Tech and Siemens share the goal of establishing Red Rock as a strategic project within the G7 Critical Minerals Production Alliance. The partnership is intended to serve as a reference model for further industrial ventures in the critical minerals space, thereby helping to strengthen supply security across the G7 nations.
""This second round of partnerships and strategic investments under the Critical Minerals Production Alliance illustrates how Canada and our G7 allies are moving from ambition to action. Canada, our industry, and our partners are putting real capital behind the secure and sustainable critical mineral supply chains that our economies and defence industries rely on,"" said the Honourable Tim Hodgson, Minister of Energy and Natural Resources. ""By working with companies like Rock Tech Lithium and Siemens, we are helping deliver the minerals the world needs and the prosperity and security Canadians deserve.""
Long-Term Partnership with Growth Potential
The cooperation is structured in multiple phases, initially focusing on the deployment of Digital Twin technology during engineering and in the feasibility study. In the medium term, the parties are evaluating additional Siemens solutions, services and engineering support for the Red Rock converter, as well as the potential expansion of the cooperation to further projects in G7 member countries. Joint applications for public funding will be pursued with NRCan, the Government of Ontario, and through Canadian-German cooperation programs.
On behalf of the Management
Mirco Wojnarowicz
CEO, Rock Tech Lithium Inc.
ABOUT ROCK TECH
Rock Tech is enabling the battery age by making the battery industries in Europe and North America more independent and competitive. The Company's goal is to ensure the supply of high-quality, locally produced lithium - supporting a resilient, sustainable, and transparent value chain from mine to battery-grade material.
Rock Tech relies on responsible sourcing, state-of-the-art and proven technologies, and a clear focus on circular economy principles. The Company's lithium hydroxide converter projects in Guben, Germany (24,000 tonnes LHM per year) and Ontario, Canada (up to 32,000 tonnes LCE per year) form the foundation for a stable and regional supply to the battery and automotive industries. The Guben converter has been recognized as a strategic project under the EU Critical Raw Materials Act.
The raw materials for Rock Tech's converter projects are sourced exclusively from verifiably ESG-compliant suppliers. In Canada, Rock Tech relies, among other sources, on its wholly owned Georgia Lake Project, which ensures a stable and sustainable supply for the North American market and is being developed in close partnership with local Indigenous communities. By integrating recycled materials, the company aims to close the local battery loop.
With its facilities, Rock Tech makes a central contribution to battery-grade material sovereignty and the achievement of climate targets. The company works in partnership with industry, policymakers, and community groups, and is committed to open communication and the highest environmental standards.
CAUTIONARY NOTE CONCERNING FORWARD-LOOKING INFORMATION
Certain statements contained in this news release constitute „forward-looking information"" under applicable securities laws and are referred to herein as „forward-looking statements"". All statements, other than statements of historical fact, which address events, results, outcomes or developments that the Company expects to occur are forward-looking statements. When used in this news release, words such as „expects"", „anticipates"", „plans"", „predicts"", „believes"", „estimates"", „intends"", „targets"", „projects"", „forecasts"", „may"", „will"", „should"", „would"", „could"" or negative versions thereof and other similar expressions are intended to identify forward-looking statements. In particular, this news release contains forward-looking information pertaining to: the Company's and Siemens commitment to strengthen the western battery supply chains; the development of the multi-phase pathway; the parties' strategic, technical, and commercial alignment on the use of Siemens digital twin technology; the implementation of the digital twin technology; the benefit of leveraging the engineering and permitting work completed in Guben converter;  the costs, schedules and completion dates for developing the digital twin technology;  Rock Tech's opinions, beliefs and expectations regarding the outcome of the MoU and benefits of the use of Siemens digital twin technology; the replicability of the digital converter model for the development of future lithium conversion facilities in Canada and allied jurisdictions; the inclusion of additional Siemens' technology related to the Red Rock converter; the Company's own business strategy, development and exploration opportunities and projects, and plans and objectives of management for the Company's operations and properties; Siemens' ability to deliver the digital twin; the pending development and infrastructure of the Red Rock area; the accuracy and reliability of technical data, forecasts, estimates and studies; the Company's ability to secure funding to finance the multi-phase pathway; the role and potential involvement of provincial and federal authorities, and German public-sector stakeholders in supporting the objectives of the parties collaboration; the supply and demand for, deliveries of, and the level and volatility of prices of, intermediate and final Lithium products; future exchange and interest rates; general business and economic conditions; the costs and results of development, exploration and operating activities, to procure supplies and other equipment necessary for its business; and the accuracy and reliability of technical data, forecasts, estimates and studies;.
Forward-looking information is based on certain assumptions, estimates, expectations and opinions of the Company and, in certain cases, third party experts, that are believed by management of Rock Tech to be reasonable at the time they were made. Forward-looking information is derived utilizing numerous assumptions regarding, among other things the parties' strategic, technical, and commercial alignment on the use of Siemens digital twin technology; the implementation of the digital twin technology; the replicability of the digital converter model for the development of future lithium conversion facilities in Canada and allied jurisdictions; Siemens' decision to strategic invest into Red Rock project; the inclusion of additional Siemens' technology related to the Red Rock converter; Siemens' ability to deliver the digital twin; the pending development and infrastructure of the Red Rock area; the accuracy and reliability of technical data, forecasts, estimates and studies; the Company's ability to secure funding to finance the multi-phase pathway; the role and potential involvement of provincial and federal authorities, and German public-sector stakeholders in supporting the objectives of the parties collaboration. The foregoing list is not exhaustive of all assumptions which may have been used in developing the forward-looking information. While Rock Tech considers these assumptions to be reasonable based on information currently available, they may prove to be incorrect and should not be read as a guarantee of future performance or results.
Forward-looking information is subject to known and unknown risks, uncertainties, and other factors that may cause actual results to differ materially from those expressed or implied by such statements, including but not limited to technical challenges in providing the digital twin technology; geopolitical risks; changes in applicable laws and regulations; regulatory risks; changes in market conditions, including lithium prices, demand for conversion and digital twin technology and availability of financing; volatility; reliance on third-party contractors and suppliers for critical project components. Except as may be required by law, Rock Tech undertakes no obligation and expressly disclaims any responsibility, obligation or undertaking to update or to revise any forward-looking information, whether as a result of new information, future events or otherwise, to reflect any change in Rock Tech's expectations or any change in events, conditions or circumstances on which any such information is based. The forward-looking information contained herein is presented for the purposes of assisting readers in understanding Rock Tech's plans, objectives and goals and is not appropriate for any other purposes.
NEITHER THE TSX VENTURE EXCHANGE NOR ITS REGULATION SERVICES PROVIDER (AS THAT TERM IS DEFINED IN POLICIES OF THE TSX VENTURE EXCHANGE) ACCEPTS RESPONSIBILITY FOR THE ADEQUACY OR ACCURACY OF THIS RELEASE.
View original content to download multimedia:
https://www.prnewswire.com/news-releases/from-guben-to-red-rock-rock-tech-and-siemens-form-strategic-partnership-to-transfer-proven-german-lithium-conversion-expertise-to-canadas-next-strategic-lithium-conversion-project-supporting-g7-critical-minerals-cooperation-302701351.html
SOURCE Rock Tech Lithium Inc.
Contact:
For further information: Kerstin Wedemann, Chief Legal & Corporate Officer, press@rocktechlithium.com, +49 2102 894 1122, Rock Tech Lithium Inc., 2700-40 Temperance Street, Toronto ON M5H 0B4 CAN.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\RCK\news_html\2026-03-02.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/RCK/news_html/2026-03-02.html,,NONE,Strategic partnership with Siemens for lithium conversion,,,2024-01-31,2024-04-02
stockwatch,RCK,Rock Tech Lithium Inc.,2026-02-25,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,"Rock Tech closes $4.67M financing, grants options",https://www.stockwatch.com/News/Item/Z-C!RCK-3789327/C/RCK,3789327,https://www.stockwatch.com/News/Sedardoc/6132001.pdf,,0,0,no,,"2026-02-25 18:46 ET - News Release
Mr. Mirco Wojnarowicz reports
ROCK TECH LITHIUM CLOSES NON-BROKERED PRIVATE PLACEMENT FOR AGGREGATE GROSS PROCEEDS OF APPROXIMATELY $4.7 MILLION
Rock Tech Lithium Inc. has closed a non-brokered private placement offering of units. Pursuant to the offering, the company issued an aggregate of 4,671,827 units based on the market price at $1 per unit for aggregate gross proceeds of $4,671,827.
The units were subscribed by two existing institutional shareholders. The company intends to use the net proceeds raised from the offering to finance the continued development of the company's integrated conversion strategy and for general corporate and working capital purposes.
Each unit consists of one common share in the capital of Rock Tech and one common share purchase warrant. Each warrant entitles the holder thereof to purchase one common share at an exercise price of $1.15 per warrant share for a period of 36 months following the date of issuance of such warrant, subject to and in accordance with the terms and conditions of the certificate evidencing such warrant, including adjustment in certain circumstances.
Closing of the offering remains subject to receipt of final approval of the TSX Venture Exchange.
The company also announces that it has granted 2.51 million stock options to certain directors, officers and employees of the company. All options were granted in accordance with the company's stock option plan. One million three hundred thousands of the options were issued to directors and officers of the company. The options were granted at an exercise price of $1.15. The options will vest immediately and are exercisable for a five-year term, expiring Feb. 23, 2031.
About Rock Tech Lithium Inc.
Rock Tech is enabling the battery age by making the battery industries in Europe and North America more independent and competitive. The company's goal is to ensure the supply of high-quality, locally produced lithium -- supporting a resilient, sustainable and transparent value chain from mine to battery-grade material.
Rock Tech relies on responsible sourcing, state-of-the-art and proven technologies, and a clear focus on circular economy principles. The company's lithium hydroxide converter projects in Guben, Germany (24,000 tonnes LHM per year), and Ontario, Canada (up to 36,000 tonnes LCE per year), form the foundation for a stable and regional supply to the battery and automotive industries. The Guben converter has been recognized as a strategic project under the EU Critical Raw Materials Act.
The raw materials for Rock Tech's converter projects are sourced exclusively from verifiably ESG-compliant (environmental, social and governance) suppliers. In Canada, Rock Tech relies, among other sources, on its wholly owned Georgia Lake project, which ensures a stable and sustainable supply for the North American market and is being developed in close partnership with local Indigenous communities. By integrating recycled materials, the company aims to close the local battery loop.
With its facilities, Rock Tech makes a central contribution to battery-grade material sovereignty and the achievement of climate targets. The company works in partnership with industry, policymakers and community groups, and is committed to open communication and the highest environmental standards.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\RCK\news_html\2026-02-25.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/RCK/news_html/2026-02-25.html,,NONE,Closed financing for corporate purposes,,,2024-01-31,2024-04-02
stockwatch,RCK,Rock Tech Lithium Inc.,2025-12-15,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Rock Tech cheers launch of Ont. critical minerals fund,https://www.stockwatch.com/News/Item/Z-C!RCK-3765896/C/RCK,3765896,https://www.stockwatch.com/News/Sedardoc/6084879.pdf,,0,0,no,,"2025-12-15 23:04 ET - News Release
Mr. Mirco Wojnarowicz reports
STATEMENT BY THE CEO OF ROCK TECH LITHIUM ON THE LAUNCH OF ONTARIO'S $500 MILLION CRITICAL MINERALS PROCESSING FUND (CMPF)
Rock Tech Lithium Inc. has welcomed the Province of Ontario's approval and launch of the $500-million Critical Minerals Processing Fund (CMPF), a milestone initiative designed to accelerate the province's critical minerals processing capacity and strengthen Ontario's position in the global battery materials supply chain.
Rock Tech's proposed lithium conversion facility (the converter) in Red Rock, Ont., directly aligns with the CMPF's mandate to support mid-stream critical minerals processing projects in the province. The converter is designed to deliver domestic lithium conversion capacity for battery-grade products, reduce reliance on offshore processing, and anchor downstream investment in Ontario's electric vehicle and energy storage supply chain.
The CMPF represents a clear signal to global markets that Ontario is committed to scaling up processing capacity needed to support the energy transition. By enabling new critical mineral projects and mid-stream processing facilities, the fund will help catalyze investment, create jobs and anchor long-term economic benefits across the province.
As a technology company advancing its Georgia Lake lithium mining project and a lithium conversion facility in Ontario, located only about 60 kilometres apart, Rock Tech sees the CMPF as an important building block in establishing a regional and integrated lithium battery supply chain. The planned design of the converter in Red Rock is directly based on Rock Tech's fully permitted, shovel-ready converter in Guben, Germany, which was recently designated a European Union strategic project under the European Critical Raw Materials Act (CRMA). This foundation gives the converter a uniquely advanced and derisked design -- positioning it as one of the most technically mature lithium conversion projects in North America.
""We applaud the government of Ontario for taking bold action to support critical minerals development,"" said Mirco Wojnarowicz, chief executive officer of Rock Tech Lithium. ""With the CMPF now approved, Ontario is sending a clear signal that it intends to lead in battery materials. Our converter in Red Rock, built on the engineering and experience behind our EU CRMA strategic project in Germany, is exceptionally well positioned to help deliver the processing capacity the province needs to compete globally.""
Rock Tech has invested more than 350,000 engineering hours and $65-million into the design of its lithium conversion facilities. The company will continue to work closely with provincial partners, indigenous communities and industry stakeholders to support the development of an integrated, competitive and resilient lithium supply chain in Ontario.
About Rock Tech
Lithium Inc.
Rock Tech is enabling the battery age by making the battery industries in Europe and North America more independent and competitive. The company's goal is to ensure the supply of high-quality, locally produced lithium -- supporting a resilient, sustainable and transparent value chain from mine to battery-grade material.
Rock Tech relies on responsible sourcing, state-of-the-art and proven technologies, and a clear focus on circular economy principles. The company's lithium hydroxide converter projects in Guben, Germany (24,000 tonnes LHM (lithium hydroxide monohydrate) per year),  and Ontario, Canada (up to 36,000 tonnes LCE (lithium carbonate equivalent) per year), form the foundation for a stable and regional supply to the battery and automotive industries. The Guben converter has been recognized as a strategic project under the European Union Critical Raw Materials Act.
The raw materials for Rock Tech's converter projects are sourced exclusively from verifiably ESG-compliant (environmental, social and governance) suppliers. In Canada, Rock Tech relies, among other sources, on its wholly owned Georgia Lake project, which ensures a stable and sustainable supply for the North American market and is being developed in close partnership with local first nations communities. By integrating recycled materials, the company aims to close the local battery loop.
With its facilities, Rock Tech makes a central contribution to battery-grade material sovereignty and the achievement of climate targets. The company works in partnership with industry, policymakers and community groups and is committed to open communication and the highest environmental standards.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\RCK\news_html\2025-12-15.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/RCK/news_html/2025-12-15.html,,NONE,Launch of Ontario's critical minerals fund,,,2024-01-31,2024-04-02
stockwatch,RCK,Rock Tech Lithium Inc.,2025-12-12,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Rock Tech Lithium hires ICP Securities as market-maker,https://www.stockwatch.com/News/Item/Z-C!RCK-3765159/C/RCK,3765159,https://www.stockwatch.com/News/Sedardoc/6083668.pdf,,0,0,no,,"2025-12-12 14:43 ET - News Release
Dr. Christina Ruta reports
ROCK TECH LITHIUM ENGAGES ICP SECURITIES INC. FOR AUTOMATED MARKET MAKING SERVICES
Rock Tech Lithium Inc. has engaged the services of ICP Securities Inc. to provide automated market-making services, including use of its proprietary algorithm, ICP Premium, in compliance with the policies and guidelines of the TSX Venture Exchange and other applicable legislation.
The agreement between the company and ICP was signed with a start date of Dec. 11, 2025, and is for four months and shall be automatically renewed for subsequent one-month terms (each such month, an additional term) unless either party provides at least 30 days of written notice prior to the end of the initial term or an additional term, as applicable. ICP will be paid a cash monthly fee of $7,500, plus applicable taxes from the company's general working capital. There are no performance factors contained in the agreement and no stock options or other compensation in connection with the engagement.
ICP does not currently have any direct or indirect interest in the company or its securities. ICP and its clients may acquire an interest in the securities of the company in the future.
ICP is an arm's-length party to the company. ICP's market-making activity will be primarily to correct temporary imbalances in the supply and demand of the company's shares. ICP will be responsible for the costs it incurs in buying and selling the company's shares, and no third party will be providing funds or securities for the market-making activities.
About Rock Tech
Lithium Inc.
Rock Tech is enabling the battery age by making the battery industries in Europe and North America more independent and competitive. The company's goal is to ensure the supply of high-quality, locally produced lithium -- supporting a resilient, sustainable and transparent value chain from mine to battery-grade material.
Rock Tech relies on responsible sourcing, state-of-the-art and proven technologies, and a clear focus on circular economy principles. The company's lithium hydroxide converter projects in Guben, Germany (24,000 tonnes LHM (lithium hydroxide monohydrate) per year),  and Ontario, Canada (up to 36,000 tonnes LCE (lithium carbonate equivalent) per year), form the foundation for a stable and regional supply to the battery and automotive industries. The Guben converter has been recognized as a strategic project under the European Union Critical Raw Materials Act.
The raw materials for Rock Tech's converter projects are sourced exclusively from verifiably ESG-compliant (environmental, social and governance) suppliers. In Canada, Rock Tech relies, among other sources, on its wholly owned Georgia Lake project, which ensures a stable and sustainable supply for the North American market and is being developed in close partnership with local first nations communities. By integrating recycled materials, the company aims to close the local battery loop.
With its facilities, Rock Tech makes a central contribution to battery-grade material sovereignty and the achievement of climate targets. The company works in partnership with industry, policymakers and community groups and is committed to open communication and the highest environmental standards.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\RCK\news_html\2025-12-12.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/RCK/news_html/2025-12-12.html,,NONE,Engaged market-making services with ICP Securities,,,2024-01-31,2024-04-02
stockwatch,RCK,Rock Tech Lithium Inc.,2025-12-03,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Rock Tech CEO issues statement on Resource EU plan,https://www.stockwatch.com/News/Item/Z-C!RCK-3762292/C/RCK,3762292,https://www.stockwatch.com/News/Sedardoc/6077826.pdf,,0,0,no,,"2025-12-03 20:24 ET - News Release
Mr. Mirco Wojnarowicz reports
STATEMENT BY THE CEO OF ROCK TECH LITHIUM ON THE RESOURCEEU PLAN
Mirco Wojnarowicz, the chief executive officer of Rock Tech Lithium Inc., has issued the following statement:
""The ResourceEU plan is a clear signal from Brussels: Europe wants control over its raw materials supply back -- and now. Particularly important is that the commission recognizes lithium for what it is: a strategic critical raw material, not only for e-mobility, but equally for large-scale battery storage and data centres, as well as the defence industry.
""For Rock Tech, the plan is clear tailwind. We are listed as a strategic raw materials project of the EU, permits are in place, strategic offtakers are ready and the technology is established with clear ESG standards -- we can quickly deliver a substantial contribution to European supply. Moreover, particularly in recent months, we have laid an important foundation for the final investment decision (FID) as the last building block through the revision of our cost structures.
""Europe now needs projects that deliver impact in the short term -- and that is exactly what we can do. The ResourceEU plan brings together financing, co-ordination and political will with unprecedented clarity for the first time. What is crucial now is that the next step follows. We stand ready to build lithium value creation in Europe and thereby make an important contribution to strategic sovereignty.""
""Background: ResourceEU action plan
""With the ResourceEU action plan presented today, the European Commission has further sharpened its raw materials strategy. The document complements the already existing Critical Raw Materials Act (CRMA), which sets binding targets for European raw materials security by 2030 -- including 40 per cent processing and 25 per cent recycling of strategic materials within the EU. The new plan now underpins these goals with concrete instruments, accelerated procedures, and closer co-ordination between Brussels, member states and industry.
""Striking is the strong emphasis on the battery value chain, where Europe currently has significant dependencies on third countries. The commission explicitly names lithium, cobalt, graphite, manganese and nickel as particularly critical raw materials for battery production and the energy transition. The fact that the commission classifies battery and defence raw materials as particularly urgent underscores the strategic nature of the plan.
""To accelerate the development of a European processing chain, the EU is pooling funding from existing programs through a newly structured 'CRM bank.' Up to three billion euros are to be mobilized over the next 12 months for strategic projects -- particularly for initiatives in lithium and battery materials production. The Innovation Fund is also placing its own focus on cleantech manufacturing and battery raw materials, while the 'battery booster' provides additional targeted support instruments.
""International raw materials policy is also being realigned in the ResourceEU plan. The EU points to the growing importance of reliable partner countries and explicitly highlights Canada as a country from which European imports of critical raw materials have increased significantly in recent years. The commission intends to make these partnerships more project-oriented in the future and underpin them with European financing instruments.
""Furthermore, the plan focuses on faster implementation of industrial projects in Europe. Accelerated permitting procedures, the expansion of central contact points in member states, and regulatory adjustments -- for example in REACH or the Water Framework Directive -- are intended to help make projects with high maturity realizable in the short to medium term.
""About the Guben converter
""The Guben lithium converter is a pioneering facility in Guben, Brandenburg, Germany, by the German-Canadian company Rock Tech Lithium Inc. This plant is set to become Europe's first commercial lithium hydroxide refinery aiming to produce 24,000 tonnes of battery grade lithium hydroxide annually (equivalent to approximately 30 gigawatt-hours of battery capacity) -- enough, based on an average consumption of 0.8 kilogram per kilowatt-hour (kWh) and 60 kWh per EV, to supply batteries for approximately 500,000 electric vehicles per year.
""Strategically located near major automotive and battery manufacturing hubs the Guben converter is designed to strengthen Europe's battery supply chain by processing spodumene concentrate secured via leading trading partner C&D Logistics (Qingdao) Co. Ltd. The converter will utilize advanced crystallization technologies, supplied by GEA Group AG, to ensure high-purity lithium production with minimal environmental impact. The leading international engineering firm, Worley Ltd., has been selected as construction partner (EPCM) for the plant.
""Recognized as a strategic project under the EU's Critical Raw Materials Act, the Guben converter underscores Europe's commitment to securing essential materials for the energy transition. The project is expected to create approximately 200 jobs and represents a significant step toward regionalizing and decarbonizing the lithium supply chain in Europe.""
About Rock Tech
Lithium Inc.
Rock Tech is enabling the battery age by making the battery industries in Europe and North America more independent and competitive. The company's goal is to ensure the supply of high-quality, locally produced lithium -0 supporting a resilient, sustainable and transparent value chain from mine to battery-grade material.
Rock Tech relies on responsible sourcing, state-of-the-art and proven technologies, and a clear focus on circular economy principles. The company's lithium hydroxide converter projects in Guben, Germany (24,000 tonnes LHM per year), and Ontario, Canada (up to 36,000 tonnes LCE per year), form the foundation for a stable and regional supply to the battery and automotive industries. The Guben converter has been recognized as a strategic project under the EU Critical Raw Materials Act.
The raw materials for Rock Tech's converter projects are sourced exclusively from verifiably ESG-compliant (environmental, social and governance) suppliers. In Canada, Rock Tech relies, among other sources, on its wholly owned Georgia Lake project, which ensures a stable and sustainable supply for the North American market and is being developed in close partnership with local first nations communities. By integrating recycled materials, the company aims to close the local battery loop.
With its facilities, Rock Tech makes a central contribution to battery-grade material sovereignty and the achievement of climate targets. The company works in partnership with industry, policymakers and community groups, and is committed to open communication and the highest environmental standards.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\RCK\news_html\2025-12-03.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/RCK/news_html/2025-12-03.html,,NONE,CEO statement on ResourceEU plan,,,2024-01-31,2024-04-02
stockwatch,RCK,Rock Tech Lithium Inc.,2025-11-27,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6070879.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,RCK,Rock Tech Lithium Inc.,2025-11-27,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6070874.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,RCK,Rock Tech Lithium Inc.,2025-11-27,INTERIM_MDA_EN,metals and minerals - mining,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6070857.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\RCK\pdfs\MD&A\2025-11-27_RCK_MD&A_INTERIM_MDA_EN.pdf,33,544,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/RCK/2025-11-27_RCK_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2024-01-31,2024-04-02
