source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,STLR,STLLR Gold Inc.,2026-02-26,ANNUAL_INFORMATION_FORM_EN,gold and precious metals,AIF,,,,https://www.stockwatch.com/News/Sedardoc/6134226.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\STLR\pdfs\AIF\2026-02-26_STLR_AIF.pdf,70,1125,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/STLR/2026-02-26_STLR_AIF.pdf,,,,,,,,,2025-11-30,2026-02-26
stockwatch,STLR,STLLR Gold Inc.,2026-03-13,NOTICE_OF_THE_MEETING_AND_RECORD_DATE_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6147088.pdf,,0,0,no,,,,,,,,,,2025-11-30,2026-02-26
stockwatch,STLR,STLLR Gold Inc.,2026-03-12,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,STLLR Gold signs exploration agreement with local bands,https://www.stockwatch.com/News/Item/Z-C!STLR-3795419/C/STLR,3795419,https://www.stockwatch.com/News/Sedardoc/6146030.pdf,,0,0,no,,"2026-03-12 17:52 ET - News Release
Mr. Keyvan Salehi reports
STLLR GOLD SIGNS EXPLORATION AGREEMENT WITH MATACHEWAN FIRST NATION, MATTAGAMI FIRST NATION AND FLYING POST FIRST NATION
STLLR Gold Inc. has signed an exploration agreement with three Wabun Tribal Council member first nations -- Matachewan First Nation, Mattagami First Nation and Flying Post First Nation -- in relation to the company's properties in the province of Ontario, including the Tower gold project located in the Timmins mining camp, establishing a framework for a respectful, collaborative and mutually beneficial relationship.
The agreement outlines shared commitments to environmental stewardship, open communication and responsible development regarding exploration activities that occur within the Nation's traditional territories. It also formalizes processes for ongoing engagement, ensuring that community interests, cultural values and economic opportunities are central to exploration planning and decision-making.
""We are proud to finalize this agreement with Matachewan, Mattagami and Flying Post first nations,"" Keyvan Salehi, PEng, MBA, president, chief executive officer and director of STLLR, ""This agreement reflects the strong relationships we have built through open dialogue, transparency and mutual respect. We are committed to working collaboratively with Matachewan, Mattagami and Flying Post first nations to ensure that exploration activities are conducted responsibly and in a manner that supports shared economic and community benefits. We look forward to continuing to build a strong, lasting relationship and partnership with the nations.""
The agreement underscores STLLR's commitment to early and continuing engagement with indigenous communities and recognizes the importance of incorporating community perspectives into exploration planning and implementation. Through continued communication and collaboration, STLLR and the three Wabun Tribal Council member first nations aim to advance exploration activities in a way that respects the land, protects the environment and fosters long-term partnership.
About STLLR Gold Inc.
STLLR Gold is a Canadian gold development company actively advancing high-potential gold projects in Canada: The Tower gold project and the Hollinger tailings project in the Timmins mining camp in Ontario and the Colomac gold project located north of Yellowknife.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\STLR\news_html\2026-03-12.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/STLR/news_html/2026-03-12.html,,NONE,Exploration agreement with local first nations,,,2025-11-30,2026-02-26
stockwatch,STLR,STLLR Gold Inc.,2026-02-26,ANNUAL_INFORMATION_FORM_EN,gold and precious metals,AIF,,,,https://www.stockwatch.com/News/Sedardoc/6134226.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\STLR\pdfs\AIF\2026-02-26_STLR_AIF_ANNUAL_INFORMATION_FORM_EN.pdf,70,1125,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/STLR/2026-02-26_STLR_AIF_ANNUAL_INFORMATION_FORM_EN.pdf,,,,,,,,,2025-11-30,2026-02-26
stockwatch,STLR,STLLR Gold Inc.,2026-02-26,AB_FORMF1,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134214.pdf,,0,0,no,,,,,,,,,,2025-11-30,2026-02-26
stockwatch,STLR,STLLR Gold Inc.,2026-02-26,ON_FORMF1,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134215.pdf,,0,0,no,,,,,,,,,,2025-11-30,2026-02-26
stockwatch,STLR,STLLR Gold Inc.,2026-02-26,MDA_EN,gold and precious metals,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6134218.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\STLR\pdfs\MD&A\2026-02-26_STLR_MD&A_MDA_EN.pdf,34,1073,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/STLR/2026-02-26_STLR_MD&A_MDA_EN.pdf,,,,,,,,,2025-11-30,2026-02-26
stockwatch,STLR,STLLR Gold Inc.,2026-02-26,52109F1_CERTIFICATION_OF_ANNUAL_FILINGS_CEO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134228.pdf,,0,0,no,,,,,,,,,,2025-11-30,2026-02-26
stockwatch,STLR,STLLR Gold Inc.,2026-02-26,52109F1_CERTIFICATION_OF_ANNUAL_FILINGS_CFO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134229.pdf,,0,0,no,,,,,,,,,,2025-11-30,2026-02-26
stockwatch,STLR,STLLR Gold Inc.,2026-02-26,AUDITED_ANNUAL_FINANCIAL_STATEMENTS_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134209.pdf,,0,0,no,,,,,,,,,,2025-11-30,2026-02-26
