source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,RM,"Roxmore Resources Inc., formerly Axcap Ventures Inc.",2026-01-29,ANNUAL_INFORMATION_FORM_EN,not applicable,AIF,,,,https://www.stockwatch.com/News/Sedardoc/6114225.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\RM\pdfs\AIF\2026-01-29_RM_AIF.pdf,88,1340,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/RM/2026-01-29_RM_AIF.pdf,,,,,,,,,2025-10-31,2026-01-29
stockwatch,RM,"Roxmore Resources Inc., formerly Axcap Ventures Inc.",2026-03-10,MATERIAL_CHANGE_REPORT_EN,not applicable,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6144446.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\RM\pdfs\MaterialChange\2026-03-10_RM_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,2,10,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/RM/2026-03-10_RM_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Private placement completion announcement,,,,,2025-10-31,2026-01-29
stockwatch,RM,"Roxmore Resources Inc., formerly Axcap Ventures Inc.",2026-03-06,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6142143.pdf,,0,0,no,,,,,,,,,,2025-10-31,2026-01-29
stockwatch,RM,"Roxmore Resources Inc., formerly Axcap Ventures Inc.",2026-03-02,NEWS_RELEASE_EN,not applicable,NewsRelease,Roxmore closes $32.64-million private placement,https://www.stockwatch.com/News/Item/Z-C!RM-3793692/C/RM,3793692,https://www.stockwatch.com/News/Sedardoc/6138538.pdf,,0,0,no,,"2026-03-02 21:34 ET - News Release
Mr. John Dorward reports
ROXMORE ANNOUNCES CLOSE OF C$32,640,000 NON-BROKERED PRIVATE PLACEMENT
Roxmore Resources Inc. has completed its previously announced non-brokered private placement for aggregate gross proceeds of $32.64-million. As previously announced on Feb. 18, 2026, the company increased the size of the offering by an additional $2.64-million due to strong investor interest. Under the offering, the company issued an aggregate of 13.6 million common shares of the company at an issue price of $2.40 per common share.
The proceeds of the offering will be used primarily to accelerate the advancement of the Converse gold project and general corporate purposes, as approved by management of the company from time to time. Key items of the accelerated PFS (prefeasibility study) work plan include:
Committing to approximately 30,000 metres of core and RC (reverse circulation) drilling for resource infill and extension drilling;
Reassay program to enable the inclusion of silver grades in future, post-PEA (preliminary economic assessment), resource estimates;
Initiate comprehensive baseline studies and preliminary permitting activities;
Hydrogeology and geotechnical drilling;
Further detailed metallurgical test work to support later studies.
""These funds will enable an active work program over the next 18 months. The Converse gold project is emerging as a significant development project, and we are particularly pleased to welcome three cornerstone institutions to the Roxmore shareholder register, including L1 Capital, a leading Australian investor,"" commented John Dorward, chief executive officer and executive chairman of the company.
In connection with the offering, the company paid cash advisory fees of $974,000 to the company's financial advisers and cash finders' fees of $360,000 to eligible finders. All common shares issued pursuant to the offering are subject to a statutory hold period expiring on July 3, 2026.
3L Capital acted as Roxmore's financial adviser and Euroz Hartleys Ltd. acted as the Australian broker to the company pursuant to the offering.
About Roxmore Resources Inc.
Roxmore is focused on developing its flagship Converse gold project, one of the largest undeveloped gold deposits not owned by a major mining company in Nevada, United States. The Converse gold project is located within the prolific Battle Mountain trend containing 5.57 million ounces gold in measured and indicated mineral resources and 420,000 ounces gold in inferred mineral resources (238 million tonnes at 0.539 gram per tonne gold for 4.13 million ounces of measured mineral resources, 92 million tonnes  at 0.487 g/t Au for 1.44M million ounces  of indicated mineral resources  and 25 million tonnes  at 0.528 g/t Au for 420,000 ounces inferred mineral resources). With decades of expertise in Nevada and globally, Roxmore's board of directors and management are focused on unlocking the potential of this project. For further details, please refer to the company's technical report entitled ""Amended and Restated NI 43-101 Technical Report and Mineral Resource Update, Converse Property, Humboldt County, Nevada, USA,"" dated effective Feb. 13, 2025, which is available on Roxmore's website and on the company's SEDAR+ profile.
Qualified person
The scientific and technical information contained in this news release has been reviewed and approved by Vance Spalding, CPG, executive vice-president, exploration, for Roxmore, who is a qualified person within the meaning of National Instrument 43-101, Standards of Disclosure for Mineral Projects.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\RM\news_html\2026-03-02.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/RM/news_html/2026-03-02.html,,NONE,Private placement completed for Converse project advancement,,,2025-10-31,2026-01-29
stockwatch,RM,"Roxmore Resources Inc., formerly Axcap Ventures Inc.",2026-02-18,NEWS_RELEASE_EN,not applicable,NewsRelease,Roxmore Resources increases financing to $32.64-million,https://www.stockwatch.com/News/Item/Z-C!RM-3786272/C/RM,3786272,https://www.stockwatch.com/News/Sedardoc/6126541.pdf,,0,0,no,,"2026-02-18 16:33 ET - News Release
Mr. John Dorward reports
ROXMORE ANNOUNCES UPSIZE OF ITS PREVIOUSLY ANNOUNCED NON-BROKERED PRIVATE PLACEMENT TO C$32,640,000
Due to a high level of interest, Roxmore Resources Inc. has increased the size of its previously announced non-brokered private placement to now raise aggregate gross proceeds of $32.64-million through the sale of 13.6 million common shares of the company at a price of $2.40 per common share.
The proceeds of the upsized offering will be used primarily to accelerate the advancement of the Converse gold project and general corporate purposes, as approved by management of the company from time to time. The securities issued pursuant to the upsized offering are subject to a statutory hold period of four months and one day from the date of issuance.
The upsized offering is expected to close on or about Feb. 27, 2026, or such other date or dates as the company may determine. The closing of the upsized offering is subject to customary closing conditions, including receipt of all required regulatory approvals, including the conditional acceptance of the Toronto Stock Exchange. In connection with the upsized offering, the company may pay finders' fees to eligible finders in accordance with the rules and policies of the TSX.
About Roxmore Resources Inc.
Roxmore is focused on developing its flagship Converse gold project, one of the largest undeveloped gold deposits not owned by a major mining company in Nevada, United States. The Converse gold project is located within the prolific Battle Mountain trend containing 5.57 million ounces gold measured and indicated mineral resources and 420,000 ounces gold  inferred mineral resources (238 million tonnes  at 0.539 gram per tonne gold for 4.13 million ounces measured mineral resources, 92 million tonnes  at 0.487 gram per tonne gold  for 1.44 million ounces indicated and 25 million tonnes  at 0.528 gram per tonne gold for 420,000 ounces  inferred mineral resources). With decades of expertise in Nevada and globally, the company's board of directors and management are focused on unlocking the potential of this project. For further details, please refer to the company's technical report entitled ""Amended and Restated NI 43-101 Technical Report and Mineral Resource Update, Converse Property, Humboldt County, Nevada, USA,"" dated effective Feb. 13, 2025, which is available on Roxmore's website and on the company's SEDAR+ profile.
Qualified person
The scientific and technical information contained in this news release has been reviewed and approved by Vance Spalding, CPG, executive vice-president, exploration, for Roxmore, who is a qualified person within the meaning of National Instrument 43-101, Standards of Disclosure for Mineral Projects.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\RM\news_html\2026-02-18.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/RM/news_html/2026-02-18.html,,NONE,Financing increase for Converse gold project,,,2025-10-31,2026-01-29
stockwatch,RM,"Roxmore Resources Inc., formerly Axcap Ventures Inc.",2026-02-17,NEWS_RELEASE_EN,not applicable,NewsRelease,Roxmore arranges $30-million private placement,https://www.stockwatch.com/News/Item/Z-C!RM-3785898/C/RM,3785898,https://www.stockwatch.com/News/Sedardoc/6125931.pdf,,0,0,no,,"2026-02-17 20:54 ET - News Release
Mr. John Dorward reports
ROXMORE ANNOUNCES A C$30,000,000 NON-BROKERED PRIVATE PLACEMENT TO ADVANCE THE CONVERSE GOLD PROJECT
Roxmore Resources Inc. (formerly Axcap Ventures Inc.) has arranged a non-brokered private placement of common shares of the company for aggregate gross proceeds of $30-million. Pursuant to the offering, the company intends to issue an aggregate of 12.5 million common shares at an issue price of $2.40 per common share.
""This financing will be completed at a significant premium to the price of our recent financings and adds three leading cornerstone investors to our register. It is designed to provide us with a strong and durable capital foundation as we advance the preliminary economic assessment at our flagship Converse gold project in Nevada, USA, which remains on track to be released in the second quarter of this year. Importantly, this financing allows us to accelerate the commencement of the prefeasibility study and start making commitments for key work streams. The structure and scale of the offering reflect growing alignment with long-term investors who understand the development pathway at the Converse gold project. We are particularly encouraged by the addition of L1 Capital, a leading Australian investor,"" said John Dorward, chief executive officer of the company.
The proceeds of the offering will be used primarily to accelerate the advancement of the Converse gold project and for general corporate purposes, as approved by management of the company from time to time. Key items of the accelerated PFS work plan include:
Committing to approximately 30,000 metres of core and reverse circulation drilling for resource infill and extension drilling;
Reassay program to enable the inclusion of silver grades in future, post-PEA, resource estimates;
Initiate comprehensive baseline studies and preliminary permitting activities;
Hydrogeology and geotechnical drilling; and
Further detailed metallurgical testwork to support later studies.
The securities issued pursuant to the offering are subject to a statutory hold period of four months and a day from the date of issuance.
The offering is expected to close on or about Feb. 27, 2026, or such other date or dates as the company may determine.
The closing of the offering is subject to customary closing conditions, including receipt of all required regulatory approvals, including the conditional acceptance of the Toronto Stock Exchange. In connection with the offering, the company may pay finders' fees to eligible finders in accordance with the rules and policies of the Toronto Stock Exchange.
3L Capital acted as Roxmore's financial adviser, and Euroz Hartleys Ltd. was Australian broker to the company.
About Roxmore Resources Inc.
Roxmore is focused on developing its flagship Converse gold project, one of the largest undeveloped gold deposits not owned by a major mining company in Nevada, United States. The Converse gold project is located within the prolific Battle Mountain trend containing 5.57 million ounces gold of measured and indicated mineral resources and 420,000 oz Au inferred mineral resources (238 million tonnes at 0.539 gram per tonne Au for 4.13 Moz measured mineral resources, 92 Mt at 0.487 g/t Au for 1.44 Moz indicated and 25 Mt at 0.528 g/t Au for 420,000 oz inferred mineral resources). With decades of expertise in Nevada and globally, its board of directors and management are focused on unlocking the potential of this project. For further details, please refer to the technical report entitled ""Amended and Restated NI 43-101 Technical Report and Mineral Resource Update, Converse Property, Humboldt County, Nevada, USA,"" dated effective Feb. 13, 2025, which is available on the company website and on the company's SEDAR+ profile.
Qualified person
The scientific and technical information contained in this news release has been reviewed and approved by Vance Spalding, CPG, executive vice-president, exploration, for Roxmore, who is a qualified person within the meaning of National Instrument 43-101 (Standards of Disclosure for Mineral Projects).
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\RM\news_html\2026-02-17.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/RM/news_html/2026-02-17.html,,NONE,Private placement to advance Converse gold project,,,2025-10-31,2026-01-29
stockwatch,RM,"Roxmore Resources Inc., formerly Axcap Ventures Inc.",2026-02-13,NOTICE,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6124916.pdf,,0,0,no,,,,,,,,,,2025-10-31,2026-01-29
stockwatch,RM,"Roxmore Resources Inc., formerly Axcap Ventures Inc.",2026-02-03,NEWS_RELEASE_EN,not applicable,NewsRelease,ROXMORE RESOURCES ANNOUNCES UPLISTING TO TORONTO STOCK EXCHANGE,,,https://www.stockwatch.com/News/Sedardoc/6117632.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\RM\pdfs\NewsRelease\2026-02-03_RM_NewsRelease_fallback.pdf,0,0,no,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/RM/2026-02-03_RM_NewsRelease_fallback.pdf," 
ROXMORE RESOURCES ANNOUNCES UPLISTING TO TORONTO STOCK EXCHANGE 
 
Vancouver, British Columbia  February 3, 2026  Roxmore Resources Inc. (formerly, Axcap Ventures Inc.) (CSE: RM, 
OTCQX: GARLF) (Roxmore or the Company) is pleased to announce that the Company will be uplisting to the 
Toronto Stock Exchange (the TSX). The common shares of the Company (the Common Shares) will be voluntarily 
delisted from the Canadian Securities Exchange (the CSE) effective as of close of market on Wednesday, February 
4, 2026, and will commence trading on the TSX effective at the opening of the market on Thursday, February 5, 2026 
under its current ticker symbol, RM. 
 
John Dorward, Executive Chairman of Roxmore, commented: Graduating to the TSX is a significant milestone for 
Roxmore. The uplisting will enhance our visibility in the capital markets and enable us to continue to attract key 
institutional and retail investors as we continue to develop our flagship Converse Gold Project. The Preliminary 
Economic Assessment (PEA) remains on track for completion in Q2 and we look forward to sharing its results. 
 
Roxmore will continue to remain a reporting issuer under applicable Canadian securities laws, and the Common 
Shares will also remain listed on the OTCQX Best Market under the symbol GARLF.  Shareholders are not required 
to take any action in connection with the TSX uplisting. 
 
About Roxmore Resources Inc. 
 
Roxmore is focused on developing its flagship, Converse Gold Project, one of the largest undeveloped gold deposits 
not owned by a major mining company in Nevada, USA. The Converse Gold Project is located within the prolific 
Battle Mountain trend containing 5.57Moz Au of Measured and Indicated Mineral Resources and 0.42Moz Au 
Inferred Mineral Resources (238mt at 0.539g/t Au for 4.13Moz Measured Mineral Resources; 92mt at 0.487g/t Au 
for 1.44Moz Indicated, 25mt at 0.528g/t Au for 0.42Moz Inferred Mineral Resources). With decades of expertise in 
Nevada and globally, our Board and management are focused on unlocking the potential of this project. For further 
details please refer to our technical report entitled Amended and Restated NI 43-101 Technical Report and Mineral 
Resource Update, Converse Property, Humboldt County, Nevada, USA dated effective February 13, 2025 which is 
available on our website at www.roxmoreresources.com and on our SEDAR+ profile at www.sedarplus.ca.  
 
Qualified Person 
 
The scientific and technical information contained in this news release has been reviewed and approved by Vance 
Spalding, CPG, Executive VP Exploration for Roxmore, who is a qualified person within the meaning of National 
Instrument 43-101 - Standards of Disclosure for Mineral Projects.   
 
For further information please contact: 
 
John Dorward 
Executive Chairman 
contact@roxmoreresources.com  
Tel: + 1 905-961-4727  
 
 
Cautionary Statements 
 
This news release contains forward-looking statements and forward-looking information (collectively, forward- 
looking statements) within the meaning of applicable securities laws. Any statements that are contained in this 
news release that are not statements of historical fact may be deemed to be forward-looking statements. Forward- 
looking statements are often identified by terms such as may, should, anticipate, will, estimates, 
believes, intends expects and similar expressions which are intended to identify forward-looking statements. 

 
More particularly and without limitation, this news release contains forward-looking statements concerning the 
Converse Gold Project (including the mineral resource estimates contained herein and the development thereof), 
the uplisting to the TSX and the delisting from the CSE, and the timing for the completion of the PEA. Forward-looking 
statements are inherently uncertain, and the actual performance may be affected by a number of material factors, 
assumptions and expectations, many of which are beyond the control of Roxmore, including expectations and 
assumptions concerning Roxmore. Readers are cautioned that assumptions used in the preparation of any forward-
looking statements may prove to be incorrect. Events or circumstances may cause actual results to differ materially 
from those predicted as a result of numerous known and unknown risks, uncertainties, and other factors, many of 
which are beyond the control of Roxmore. Please refer to Roxmores public disclosure record on SEDAR+ at 
www.sedarplus.ca for further details on risks and assumptions inherent in the forward-looking statements contained 
herein. Readers are further cautioned not to place undue reliance on any forward-looking statements, as such 
information, although considered reasonable by the management of Roxmore at the time of preparation, may prove 
to be incorrect and actual results may differ materially from those anticipated.  
 
The forward-looking statements contained in this news release are made as of the date of this news release and are 
expressly qualified by the foregoing cautionary statement. Except as expressly required by securities law, Roxmore 
does not undertake any obligation to update publicly or to revise any of the included forward-looking statements, 
whether as a result of new information, future events or otherwise. 
 
Neither the Canadian Securities Exchange nor its Market Regulator (as that term is defined in the policies of the 
Canadian Securities Exchange) accepts responsibility for the adequacy or accuracy of this release. 
 
 
 
",,,,NONE,Uplisting to Toronto Stock Exchange announced,,,2025-10-31,2026-01-29
stockwatch,RM,"Roxmore Resources Inc., formerly Axcap Ventures Inc.",2026-01-29,52109F1AIF_CERTIFICATION_OF_FILINGS_WITH_VOLUNTARILY_FILED_AIF_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6114231.pdf,,0,0,no,,,,,,,,,,2025-10-31,2026-01-29
stockwatch,RM,"Roxmore Resources Inc., formerly Axcap Ventures Inc.",2026-01-29,52109F1AIF_CERTIFICATION_OF_FILINGS_WITH_VOLUNTARILY_FILED_AIF_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6114232.pdf,,0,0,no,,,,,,,,,,2025-10-31,2026-01-29
