source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,OM,Osisko Metals Incorporated,2026-03-04,ANNUAL_INFORMATION_FORM_EN,metals and minerals - mining,AIF,,,,https://www.stockwatch.com/News/Sedardoc/6140707.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\OM\pdfs\AIF\2026-03-04_OM_AIF.pdf,63,1462,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/OM/2026-03-04_OM_AIF.pdf,,,,,,,,,2025-12-31,2026-03-04
stockwatch,OM,Osisko Metals Incorporated,2026-03-13,NOTICE_OF_THE_MEETING_AND_RECORD_DATE_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6147119.pdf,,0,0,no,,,,,,,,,,2025-12-31,2026-03-04
stockwatch,OM,Osisko Metals Incorporated,2026-03-05,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Osisko Metals appoints Vargas as director,https://www.stockwatch.com/News/Item/Z-C!OM-3793189/C/OM,3793189,https://www.stockwatch.com/News/Sedardoc/6141139.pdf,,0,0,no,,"2026-03-05 17:49 ET - News Release
Mr. Don Njegovan reports
OSISKO METALS WELCOMES VICTORIA VARGAS TO THE BOARD OF DIRECTORS
Osisko Metals Inc. has appointed Victoria Vargas to its board of directors, effective immediately.
Ms. Vargas brings over 25 years of extensive knowledge of the mining industry and North American capital markets, and a wealth of expertise in environmental, social and governance. She has a bachelor of arts (honours in economics) from Lima (Peru) University and an MBA, finance, from Simon Bolivar University in Venezuela.
Ms. Vargas currently serves as the chief financial officer of VMS Mining and is a director and chair of the corporate government relations committee of Lithium Universe Canada. She previously served as vice-president, investor relations, for Minera Alamos Inc., and as a director, chair of the corporate governance and nominating committee, and a member of the audit committee of Silver Mountain Resources Inc.
About Osisko Metals
  
 Inc.
Osisko Metals is a Canadian exploration and development company creating value in the critical metals sector, with a focus on copper and zinc. The company acquired a 100-per-cent interest in the past-producing Gaspe copper mine from Glencore Canada Corp. in July, 2023. The Gaspe copper mine is located near Murdochville in Quebec's Gaspe Peninsula. The company is currently focused on resource expansion of the Gaspe copper system, with current 
  
   indicated mineral resources of
  
  
  
  
   824 Mt (million tonnes) averaging 0.34 per cent CuEq (copper equivalent) and inferred mineral resources of 670 Mt averaging 0.38 per cent CuEq
  
   (in compliance with National Instrument 43-101). For more information, see Osisko Metals' Nov. 14, 2024, news release entitled ""Osisko Metals Announces Significant Increase in Mineral Resource at Gaspe Copper."" Gaspe copper hosts the largest undeveloped copper resource in eastern North America, strategically located near existing infrastructure in the mining-friendly province of Quebec.
In addition to the Gaspe copper project, the company is working with Appian Capital Advisory LLP through the Pine Point Mining Ltd. joint venture to advance one of Canada's largest past-producing zinc mining camps, the Pine Point project, located in the Northwest Territories. The current mineral resource estimate for the Pine Point project consists of 
  
   indicated mineral resources of 49.5 Mt averaging 5.52 per cent ZnEq (zinc equivalent) and inferred mineral resources of 8.3 Mt averaging 5.64 per cent ZnEq 
  
  (in compliance with NI 43-101).
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\OM\news_html\2026-03-05.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/OM/news_html/2026-03-05.html,,NONE,Board appointment of Victoria Vargas,,,2025-12-31,2026-03-04
stockwatch,OM,Osisko Metals Incorporated,2026-03-04,AB_FORMF1,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6140721.pdf,,0,0,no,,,,,,,,,,2025-12-31,2026-03-04
stockwatch,OM,Osisko Metals Incorporated,2026-03-04,ON_FORMF1,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6140722.pdf,,0,0,no,,,,,,,,,,2025-12-31,2026-03-04
stockwatch,OM,Osisko Metals Incorporated,2026-03-04,52109F1_CERTIFICATION_OF_ANNUAL_FILINGS_CEO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6140731.pdf,,0,0,no,,,,,,,,,,2025-12-31,2026-03-04
stockwatch,OM,Osisko Metals Incorporated,2026-03-04,52109F1_CERTIFICATION_OF_ANNUAL_FILINGS_CFO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6140732.pdf,,0,0,no,,,,,,,,,,2025-12-31,2026-03-04
stockwatch,OM,Osisko Metals Incorporated,2026-03-04,ANNUAL_INFORMATION_FORM_EN,metals and minerals - mining,AIF,,,,https://www.stockwatch.com/News/Sedardoc/6140707.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\OM\pdfs\AIF\2026-03-04_OM_AIF_ANNUAL_INFORMATION_FORM_EN.pdf,63,1462,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/OM/2026-03-04_OM_AIF_ANNUAL_INFORMATION_FORM_EN.pdf,,,,,,,,,2025-12-31,2026-03-04
stockwatch,OM,Osisko Metals Incorporated,2026-03-04,MDA_EN,metals and minerals - mining,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6140698.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\OM\pdfs\MD&A\2026-03-04_OM_MD&A_MDA_EN.pdf,20,476,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/OM/2026-03-04_OM_MD&A_MDA_EN.pdf,,,,,,,,,2025-12-31,2026-03-04
stockwatch,OM,Osisko Metals Incorporated,2026-03-04,AUDITED_ANNUAL_FINANCIAL_STATEMENTS_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6140692.pdf,,0,0,no,,,,,,,,,,2025-12-31,2026-03-04
