source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,BSX,Belo Sun Mining Corp.,2025-03-19,ANNUAL_INFORMATION_FORM_EN,not applicable,AIF,,,,https://www.stockwatch.com/News/Sedardoc/5863283.pdf,,0,0,no,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BSX/2025-03-19_BSX_AIF.pdf,,,,,,,,,2024-12-31,2025-03-19
stockwatch,BSX,Belo Sun Mining Corp.,2026-03-06,MATERIAL_CHANGE_REPORT_EN,not applicable,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6142823.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BSX\pdfs\MaterialChange\2026-03-06_BSX_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,0,0,exists,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BSX/2026-03-06_BSX_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Director appointment and resignation,,,,,2024-12-31,2025-03-19
stockwatch,BSX,Belo Sun Mining Corp.,2026-03-05,NEWS_RELEASE_EN,not applicable,NewsRelease,Belo Sun appoints Buckingham to board,https://www.stockwatch.com/News/Item/Z-C!BSX-3793298/C/BSX,3793298,https://www.stockwatch.com/News/Sedardoc/6141805.pdf,,0,0,no,,"2026-03-05 20:02 ET - News Release
Mr. Clovis Torres reports
BELO SUN ANNOUNCES APPOINTMENT OF DIRECTOR
Benjamin Buckingham has been nominated by La Mancha Investments S.a.r.l. to serve as its representative on the board of Belo Sun Mining Corp., pursuant to the investor rights agreement between the company and La Mancha.
Mr. Buckingham replaces Jack Lunnon, who has stepped down as a director of the company effective March 5, 2026, in connection with La Mancha's internal transition of its board representation.
The company thanks Mr. Lunnon for his service and contribution during his tenure as a director. Mr. Lunnon will continue in his role as chief technical officer of the La Mancha group and will remain engaged in supporting Belo Sun through La Mancha's continuing involvement.
Mr. Buckingham has over 10 years of experience in metals and mining investment and finance. He has been with La Mancha since 2020 and currently serves as vice-president, investments, where he is responsible for sourcing and evaluating investment opportunities, conducting due diligence and valuations, executing transactions, and providing portfolio oversight and strategic support. Mr. Buckingham has been closely involved in La Mancha's investment in Belo Sun and has been responsible for executing several investments, primarily in Brazil and Latin America. He has experience supporting portfolio companies through mergers and acquisitions (M&As), corporate development, and project financing initiatives.
Prior to joining La Mancha, Mr. Buckingham was an investment analyst at CD Capital, a mining-focused private equity firm. He holds an MSc in metals and energy finance from Imperial College London and a BA (honours) in economics from the University of Newcastle.
Clovis Torres, chairman and chief executive officer of Belo Sun, commented: ""We would like to thank Jack for his valuable contribution to the board and for his continued support of Belo Sun through La Mancha's ongoing involvement. We are pleased to welcome Ben Buckingham as La Mancha's nominee and look forward to working with him as we advance the Volta Grande project. Ben's experience in corporate development and project financing will be a valuable addition to the board as we continue progressing the development of the project.""
About Belo Sun Mining Corp.
Belo Sun is a mineral exploration and development company with gold-focused properties in Brazil. Belo Sun's primary focus is advancing and expanding its 100-per-cent-owned Volta Grande gold project in Para state, Brazil. Belo Sun trades on the Toronto Stock Exchange under the symbol BSX and on the OTCQB under the symbol BSXGF.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BSX\news_html\2026-03-05.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BSX/news_html/2026-03-05.html,,NONE,Appointment of director to the board,,,2024-12-31,2025-03-19
stockwatch,BSX,Belo Sun Mining Corp.,2026-03-03,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6139367.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-19
stockwatch,BSX,Belo Sun Mining Corp.,2026-02-25,MATERIAL_CHANGE_REPORT_EN,not applicable,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6132781.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BSX\pdfs\MaterialChange\2026-02-25_BSX_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,0,0,exists,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BSX/2026-02-25_BSX_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Private placement financing closed,,,,,2024-12-31,2025-03-19
stockwatch,BSX,Belo Sun Mining Corp.,2026-02-24,NEWS_RELEASE_EN,not applicable,NewsRelease,Belo Sun Announces Closing of Private Placement Financing,https://www.stockwatch.com/News/Item/Z-C!BSX-3788589/C/BSX,3788589,https://www.stockwatch.com/News/Sedardoc/6131635.pdf,,0,0,no,,"2026-02-24 18:00 ET - News Release
NOT FOR DISTRIBUTION TO UNITED STATES NEWSWIRE SERVICES OR FOR DISSEMINATION IN THE UNITED STATES
TORONTO, Feb.  24, 2026  (GLOBE NEWSWIRE) --
Belo Sun Mining Corp.
(“
Belo Sun
” or “
Company
”) (TSX: BSX, OTCQB:BSXGF) is pleased to announce that it has closed its non-brokered private placement financing for gross proceeds of US$30 million (C$41.3 million) (the “
Private Placement
”), as previously announced on December 22, 2025.
Pursuant to the closing of the Private Placement, the Company issued a total of 96,146,512 common shares of the Company (“
Common Shares
”) at a price of C$0.43 per Common Share. La Mancha Investments S. à r. l. (“
La Mancha
”) (a subsidiary of La Mancha Resource Fund SCSp), subscribed for 50,587,226 Common Shares, and as a result, is now a Control Person (as defined below) of the Company.
The use of proceeds will be for working capital and for other general corporate purposes, including existing commitments to local communities and stakeholders associated with the Volta Grande Project. All Common Shares issued in connection with the Private Placement are subject to a statutory hold period until June 25, 2026.
None of the securities issued in the Private Placement were registered under the United States Securities Act of 1933, as amended (the ""
1933 Act
""), and none of them may be offered or sold in the United States absent registration or an applicable exemption from the registration requirements of the 1933 Act. This press release does not constitute an offer to sell or a solicitation of an offer to buy nor shall there be any sale of the securities in any state where such an offer, solicitation, or sale would be unlawful.
Creation of New Control Person
The Toronto Stock Exchange requires shareholder approval where a transaction creates a shareholder that holds or controls 20% or more of an issuer's shares (a ""
Control Person
""). La Mancha’s participation in the Private Placement resulted in a new Control Person pursuant to the rules and policies of the Toronto Stock Exchange. To fulfil the requirements of the Toronto Stock Exchange, the Company received the approval of a majority of disinterested shareholders to approve the creation of the new Control Person.
Related Party Transaction
La Mancha’s participation in the Private Placement constituted a ""related party transaction"" within the meaning of Multilateral Instrument 61-101 - Protection of Minority Security Holders in Special Transactions (""
MI 61-101
""). The Company relies on exemptions from the formal valuation and minority shareholder approval requirements of MI 61-101 on the basis that the fair market value of such participation is less than 25% of Belo Sun’s current market capitalization.
About the Company
Belo Sun is a Canadian-incorporated mining company focused on the development of the Volta Grande Gold Project in Pará State, Brazil. Belo Sun trades on the Toronto Stock Exchange under the symbol “BSX” and on the OTCQB under the symbol “BSXGF”.
For more information, please visit www.belosun.com or contact Investor Relations at
info@belosun.com
or +1 416 861-2267.
Caution regarding forward-looking information:
This press release contains ""forward-looking information"" within the meaning of applicable Canadian securities legislation. Forward-looking information includes, without limitation, statements regarding the Private Placement; use of proceeds of the Private Placement; anticipated timing of closing or approvals of the Private Placement. Forward-looking information is subject to known and unknown risks, uncertainties and other factors that may cause the actual results, level of activity, performance or achievements of the Company to be materially different from those expressed or implied by such forward-looking information, including risks inherent in the mining industry and risks described in the public disclosure of the Company which is available under the profile of the Company on SEDAR+ at www.sedarplus.ca and on the Company's website at www.belosun.com. Although the Company has attempted to identify important factors that could cause actual results to differ materially from those contained in forward-looking information, there may be other factors that cause results not to be as anticipated, estimated or intended. There can be no assurance that such information will prove to be accurate, as actual results and future events could differ materially from those anticipated in such statements. Accordingly, readers should not place undue reliance on forward-looking information. The Company does not undertake to update any forward-looking information, except in accordance with applicable securities laws.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BSX\news_html\2026-02-24.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BSX/news_html/2026-02-24.html,,NONE,Private placement financing closed for $30 million,,,2024-12-31,2025-03-19
stockwatch,BSX,Belo Sun Mining Corp.,2026-02-23,MATERIAL_CHANGE_REPORT_EN,not applicable,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6130657.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BSX\pdfs\MaterialChange\2026-02-23_BSX_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,0,0,exists,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BSX/2026-02-23_BSX_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Installation license reinstated for project,,,,,2024-12-31,2025-03-19
stockwatch,BSX,Belo Sun Mining Corp.,2026-02-23,NEWS_RELEASE_EN,not applicable,NewsRelease,Belo Sun Announces Special Meeting of Shareholders Voting Results,https://www.stockwatch.com/News/Item/Z-C!BSX-3787990/C/BSX,3787990,https://www.stockwatch.com/News/Sedardoc/6130492.pdf,,0,0,no,,"2026-02-23 18:00 ET - News Release
TORONTO, Feb.  23, 2026  (GLOBE NEWSWIRE) --
Belo Sun Mining Corp.
(“
Belo Sun
” or the “
Company
”) (TSX:BSX, OTCQB:BSXGF) is pleased to report that all meeting matters put forth to the shareholders (the “
Shareholders
”), as voted on by the disinterested shareholders, were duly approved at its special meeting of shareholders held today (the “
Meeting
”).
At the Meeting, the 91.99% of the disinterested Shareholders approved the issuance of up to 56,565,697 common shares of the Company to La Mancha Investments S. à r. l. (“
La Mancha
”) pursuant to the private placement previously announced by the Company on December 22, 2025 (the “
Private Placement
”).
A total of 260,820,988 common shares were voted in connection at the Meeting, representing approximately 55.4% of the issued and outstanding common shares of the Company.
Belo Sun would like to express its gratitude to its Shareholders for their high levels of participation and support.
Clovis Torres, Chairman and Chief Executive Officer of Belo Sun, commented: “We are pleased our Shareholders recognize the value of La Mancha’s support, and we look forward to continued mutual success as we responsibly advance the Volta Grande Gold Project. With Shareholder approval now in place, we expect to close the Private Placement in the coming days.”
About the Company
Belo Sun Mining Corp. is a mineral exploration and development company with gold-focused properties in Brazil. Belo Sun’s primary focus is advancing and expanding its 100% owned Volta Grande Gold Project in Pará State, Brazil. Belo Sun trades on the TSX under the symbol “BSX” and on the OTCQB under the symbol “BSXGF.” For more information about Belo Sun, please visit
www.belosun.com
.
For inquiries, please contact Belo Sun Mining Corp, +1 (416) 861-2262 or
info@belosun.com
.
Caution regarding forward-looking information:
This press release contains ""forward-looking information"" within the meaning of applicable Canadian securities legislation. Forward-looking information includes, without limitation, statements regarding the Meeting; voting results; and the completion of the Private Placement. Forward-looking information is subject to known and unknown risks, uncertainties and other factors that may cause the actual results, level of activity, performance or achievements of the Company to be materially different from those expressed or implied by such forward-looking information, including risks inherent in the mining industry and risks described in the public disclosure of the Company which is available under the profile of the Company on SEDAR+ at
www.sedarplus.ca
and on the Company's website at
www.belosun.com
. Although the Company has attempted to identify important factors that could cause actual results to differ materially from those contained in forward-looking information, there may be other factors that cause results not to be as anticipated, estimated or intended. There can be no assurance that such information will prove to be accurate, as actual results and future events could differ materially from those anticipated in such statements. Accordingly, readers should not place undue reliance on forward-looking information. The Company does not undertake to update any forward-looking information, except in accordance with applicable securities laws.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BSX\news_html\2026-02-23.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BSX/news_html/2026-02-23.html,,NONE,Special meeting of shareholders voting results,,,2024-12-31,2025-03-19
stockwatch,BSX,Belo Sun Mining Corp.,2026-02-14,NEWS_RELEASE_EN,not applicable,NewsRelease,Belo Sun Announces Reinstatement of Installation License for the Volta Grande Gold Project,https://www.stockwatch.com/News/Item/Z-C!BSX-3785225/C/BSX,3785225,https://www.stockwatch.com/News/Sedardoc/6125129.pdf,,0,0,no,,"2026-02-14 14:00 ET - News Release
TORONTO, Feb.  14, 2026  (GLOBE NEWSWIRE) --
Belo Sun Mining Corp.
(“Belo Sun” or the “Company”) (TSX: BSX, OTCQB: BSXGF) is pleased to announce that the Federal Regional Court has accepted our appeal to reinstate the Installation License, which was suspended in 2017 for the Company’s Volta Grande Gold Project (the “Project”) located in Pará State, Brazil.
Background
As previously disclosed, the Federal Court of Altamira had recently maintained the suspension of the Installation License, in force since 2017. The Company adopted appropriate legal measures to challenge that decision.
Court of Appeal Decision
On February 13, 2026, Desembargador Federal Flávio Jardim of TRF-1’s 6th Panel granted interim relief, suspending the lower court decision and fully restoring the effectiveness of the Installation License. The ruling authorizes Belo Sun to resume and continue regular installation activities for the Project.
In his ruling, the Court found that the Company had fully complied with the conditions previously imposed by TRF-1, including that: (i) the Indigenous Component Study (“ECI”) had been prepared based on primary data, as required; (ii) prior, free and informed consultation had been conducted in accordance with the Juruna Protocol, with adequate information, internal deliberation and culturally appropriate participation; and (iii) the Juruna (Yudjá) and Arara of the Volta Grande do Xingu communities had participated in all stages of the consultation process, with formal statements of support. The Court found the consultation had been carried out in good faith, in a participatory and transparent manner, consistent with International Labour Organization Convention No. 169.
The Court further held that FUNAI’s subsequent reversal of its earlier position, which had confirmed the sufficiency of the ECI and the regularity of the consultation process, was not supported by any formal administrative procedure as required under applicable regulations. The ruling determined that any new requirements by FUNAI, including any request to expand the scope of the consultation, must be preceded by a formal administrative process with proper technical justification.
Construction Activities
As a result of the ruling, the Installation License is now fully effective and the Company is authorized to proceed with construction and installation activities for the Project.
Next Steps
The respondents to the appeal have been given the opportunity to file a response, and the interlocutory appeal will proceed to review by the 6th Panel of TRF-1. The Company will provide further updates as appropriate.
Clovis Torres, Chairman and Chief Executive Officer of Belo Sun commented: ""We welcome this major milestone, which is all the more meaningful given that the project’s suspension in 2017 marked a challenging period for our team and shareholders. Today, we would like to congratulate everyone whose determination and professionalism have made this new phase possible.
We also wish to express our sincere gratitude for the steadfast support we have received over the years from the local communities and Federal, State and Municipal authorities. Their trust and engagement have been essential throughout this journey.
This project will be developed in accordance with best international mining practices to protect the environment, while also applying the highest social standards. Our ambition is clear: to contribute sustainably to the economic development of the region by creating tangible opportunities for local residents and generating long-term positive results.”
About the Company
Belo Sun Mining Corp. is a mineral exploration and development company with gold-focused properties in Brazil. Belo Sun’s primary focus is advancing and expanding its 100% owned Volta Grande Gold Project in Pará State, Brazil. Belo Sun trades on the TSX under the symbol “BSX” and on the OTCQB under the symbol “BSXGF.” For more information about Belo Sun, please visit
www.belosun.com
.
For inquiries, please contact Belo Sun Mining Corp, +1 (416) 861-2262 or
info@belosun.com
.
Caution regarding forward-looking information:
This press release contains ""forward-looking information"" within the meaning of applicable Canadian securities legislation. Forward-looking information includes, without limitation, statements regarding the reinstatement and continued effectiveness of the Installation License; the continuation of installation and construction activities for the Project; the outcome of the review by the 6th Panel of TRF-1; and the advancement of the Volta Grande Project. Forward-looking information is subject to known and unknown risks, uncertainties and other factors that may cause the actual results, level of activity, performance or achievements of the Company to be materially different from those expressed or implied by such forward-looking information, including, without limitation, risks related to the outcome of the 6th Panel review and the possibility that the interim relief may be reversed; risks related to further legal challenges or regulatory proceedings; risks inherent in the mining industry and risks described in the public disclosure of the Company which is available under the profile of the Company on SEDAR+ at
www.sedarplus.ca
and on the Company's website at
www.belosun.com
. Although the Company has attempted to identify important factors that could cause actual results to differ materially from those contained in forward-looking information, there may be other factors that cause results not to be as anticipated, estimated or intended. There can be no assurance that such information will prove to be accurate, as actual results and future events could differ materially from those anticipated in such statements. Accordingly, readers should not place undue reliance on forward-looking information. The Company does not undertake to update any forward-looking information, except in accordance with applicable securities laws.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BSX\news_html\2026-02-14.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BSX/news_html/2026-02-14.html,,NONE,Reinstatement of Installation License for Volta Grande,,,2024-12-31,2025-03-19
stockwatch,BSX,Belo Sun Mining Corp.,2026-01-22,NOTICE_OF_MEETING_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6107060.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-19
