source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,NOAL,NOA Lithium Brines Inc.,2026-03-10,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,NOA Lithium receives $4.35M from warrant exercise,https://www.stockwatch.com/News/Item/Z-C!NOAL-3794342/C/NOAL,3794342,https://www.stockwatch.com/News/Sedardoc/6143929.pdf,,0,0,no,,"2026-03-10 15:44 ET - News Release
Mr. Gabriel Rubacha reports
NOA LITHIUM ANNOUNCES ADDITIONAL WARRANT EXERCISES FOR $4,355,603
Further to its Jan. 7, 2026, and Feb. 10, 2026, new releases regarding certain warrant exercises,  management and certain founding shareholders of NOA Lithium Brines Inc. who  hold common share purchase warrants exercisable at 20 cents per common share of the company have exercised 21,778,014 warrants for gross proceeds of $4,355,603 in cash. The proceeds from the warrants exercise will be used to advance the company's projects and for general corporate working capital.
During the past 60 days, more than 29,430,014 warrants exercisable at 20 cents have been exercised, providing the company with approximately $5,886,003 in cash. Approximately 50 per cent ($2,912,400) of these warrants have been exercised by management of the company.
NOA's chief executive officer and director, Gabriel Rubacha, stated: ""These warrant exercises reflect strong internal alignment and continued support for NOA's strategy, and it reflects a strong commitment from the founding shareholders and management. These proceeds strengthen our treasury and provide cost-effective capital to advance Rio Grande into prefeasibility within our planned time frame.""
About NOA Lithium Brines Inc.
NOA is a lithium exploration and development company formed to acquire assets with significant resource potential. All of NOA's projects are located in the heart of the prolific Lithium Triangle in the mining-friendly province of Salta, Argentina, near a multitude of projects and operations owned by some of the largest players in the lithium industry. NOA has rapidly consolidated one of the largest lithium brine claim portfolios in this region that is not owned by a producing company, with key positions on three prospective salars, being Rio Grande, Arizaro and Salinas Grandes, and totalling over 140,000 hectares.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\NOAL\news_html\2026-03-10.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/NOAL/news_html/2026-03-10.html,,NONE,Warrant exercise announcement for funding,,,2024-01-31,2024-04-02
stockwatch,NOAL,NOA Lithium Brines Inc.,2026-02-24,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,NOA Lithium hosts visit from Salta mining secretary,https://www.stockwatch.com/News/Item/Z-C!NOAL-3788452/C/NOAL,3788452,https://www.stockwatch.com/News/Sedardoc/6130754.pdf,,0,0,no,,"2026-02-24 16:24 ET - News Release
Mr. Gabriel Rubacha reports
NOA WELCOMES SITE VISIT BY SALTA'S SECRETARY OF MINING TO REVIEW PROJECT PROGRESS AND 2026 WORK PROGRAM
On Saturday, Feb. 21, 2026, NOA Lithium Brines Inc. hosted a site visit by the secretaria de mineria de Salta (secretary of mining of the Salta province) at NOA's flagship Rio Grande project.
During the site visit, Salta's secretary of mining, Gustavo Carrizo, met with the company's site leadership and technical team to review recent progress, tour key work areas and discuss the company's planned activities for 2026. These activities include, among other things, NOA's planned drilling and exploration campaign, which is expected to commence shortly. The parties also reviewed the project's near-term priorities and the schedule for field campaigns and supporting studies planned for this year, with the goal of completing Rio Grande's preliminary feasibility study before year-end.
NOA's chief executive officer and director, Gabriel Rubacha, stated: ""We appreciate the opportunity to host the secretary on site and share the progress our team has achieved. The visit reflects the importance of ongoing collaboration with provincial authorities as we execute our 2026 program. This year, we are focused on advancing the Rio Grande project to PFS -- a major milestone for the project and the company -- while continuing to prioritize safety, environmental stewardship and engagement with local communities.""
About NOA Lithium Brines Inc.
NOA is a lithium exploration and development company formed to acquire assets with significant resource potential. All NOA's projects are located in the heart of the prolific Lithium Triangle, in the mining-friendly province of Salta, Argentina, near a multitude of projects and operations owned by some of the largest players in the lithium industry. NOA has rapidly consolidated one of the largest lithium brine claim portfolios in this region that is not owned by a producing company, with key positions on three prospective salars, being Rio Grande, Arizaro and Salinas Grandes, and totalling over 140,000 hectares.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\NOAL\news_html\2026-02-24.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/NOAL/news_html/2026-02-24.html,,NONE,Site visit to discuss 2026 work program,,,2024-01-31,2024-04-02
stockwatch,NOAL,NOA Lithium Brines Inc.,2026-02-10,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,"NOA Lithium receives $818,000 from warrant exercise",https://www.stockwatch.com/News/Item/Z-C!NOAL-3783512/C/NOAL,3783512,https://www.stockwatch.com/News/Sedardoc/6121221.pdf,,0,0,no,,"2026-02-10 16:02 ET - News Release
Mr. Gabriel Rubacha reports
NOA LITHIUM ANNOUNCES ADDITIONAL WARRANT EXERCISES FOR $818,000
Further to NOA Lithium Brines Inc.'s Jan. 7, 2026, press release disclosing certain warrant exercises, certain founding shareholders of the company who hold common share purchase warrants exercisable at  20 cents per common share of the company have exercised 4.09 million warrants to provide the company with $818,000 in cash, and this cash has been and is being used to continue the progress and development of the company and for general corporate working capital.
This additional participation by existing founding shareholders underscores their continuing commitment to and confidence in the company.
NOA's chief executive officer and director, Gabriel Rubacha, stated: ""Our founding shareholders continue to support NOA's plan, and this provides cost-effective capital to continue to develop our Rio Grande project and fund key activities associated with the preliminary feasibility study. We continue to remain disciplined on capital allocation and the execution of the company's 2026 milestones.""
About NOA Lithium Brines Inc.
NOA is a lithium exploration and development company formed to acquire assets with significant resource potential. All NOA's projects are located in the heart of the prolific Lithium Triangle, in the mining-friendly province of Salta, Argentina, near a multitude of projects and operations owned by some of the largest players in the lithium industry. NOA has rapidly consolidated one of the largest lithium brine claim portfolios in this region that is not owned by a producing company, with key positions on three prospective salars, being Rio Grande, Arizaro and Salinas Grandes, and totalling over 140,000 hectares.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\NOAL\news_html\2026-02-10.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/NOAL/news_html/2026-02-10.html,,NONE,Warrant exercise for funding development,,,2024-01-31,2024-04-02
stockwatch,NOAL,NOA Lithium Brines Inc.,2026-01-26,MANAGEMENT_INFORMATION_CIRCULAR_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6108841.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,NOAL,NOA Lithium Brines Inc.,2026-01-26,FORM_OF_PROXY_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6108842.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,NOAL,NOA Lithium Brines Inc.,2026-01-26,CERTIFICATE_RE_DISSEMINATION_TO_SHAREHOLDERS,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6108843.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,NOAL,NOA Lithium Brines Inc.,2026-01-21,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,NOA Lithium hires Montgomery to begin Rio Grande work,https://www.stockwatch.com/News/Item/Z-C!NOAL-3776376/C/NOAL,3776376,https://www.stockwatch.com/News/Sedardoc/6105337.pdf,,0,0,no,,"2026-01-21 15:41 ET - News Release
Mr. Gabriel Rubacha reports
NOA LITHIUM ANNOUNCES LAUNCH OF 2026 ACTIVITIES AT RIO GRANDE PROJECT LEADING TO PRELIMINARY FEASIBILITY ASSESSMENT
NOA Lithium Brines Inc.  has engaged Montgomery & Associates (M&A) to start key activities for the hydrogeological model of the Rio Grande salar to support the preliminary feasibility study (PFS) for NOA's Rio Grande project. The PFS is planned to be completed before the end of 2026.
M&A has been working on NOA's Rio Grande project since 2023 and it has extensive experience in Argentina and in the region. It has also worked on many of the projects in operation and under development in Argentina, including multiple producing and development-stage lithium brine projects.
One of the initial preliminary tasks for the PFS is the preparation of a basin water balance report, scheduled to be completed before the end of Q1 2026. A water balance report is a foundational engineering report for the project that quantifies the total inflows, outflows and storage changes of water within the project's site.
NOA's chief executive officer, Gabriel Rubacha, stated: ""This is another milestone in Rio Grande's journey to feasibility. Our goal this year remains to complete the PFS and this event marks the initiation of the activities necessary to achieve this.""
About NOA Lithium Brines Inc.
NOA is a lithium exploration and development company formed to acquire assets with significant resource potential. All of NOA's projects are located in the heart of the prolific Lithium Triangle in the mining-friendly province of Salta, Argentina, near a multitude of projects and operations owned by some of the largest players in the lithium industry. NOA has rapidly consolidated one of the largest lithium brine claim portfolios in this region that is not owned by a producing company, with key positions on three prospective salars, being Rio Grande, Arizaro and Salinas Grandes, and totalling over 140,000 hectares.
Qualified person
Michael Rosko, MSc, CPG, of E.L. Montgomery and Associates (M&A) is a registered geologist (CPG) in Arizona, California and Texas;  a registered member of the Society for Mining, Metallurgy and Exploration; and  a qualified person as defined by National Instrument 43-101. Mr. Rosko and hydrogeologists from M&A have been on site multiple times during the various phases of drilling and sampling operations and Mr. Rosko has extensive experience in salar environments and has been a qualified person on many lithium brine projects. Mr. Rosko and M&A are completely independent of NOA, as defined in and required by NI 43-101, and Mr. Rosko has reviewed and approved the content of this news release.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\NOAL\news_html\2026-01-21.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/NOAL/news_html/2026-01-21.html,,NONE,Launch of 2026 activities at Rio Grande,,,2024-01-31,2024-04-02
stockwatch,NOAL,NOA Lithium Brines Inc.,2026-01-07,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,"NOA Lithium receives $712,400 from warrant exercise",https://www.stockwatch.com/News/Item/Z-C!NOAL-3771931/C/NOAL,3771931,https://www.stockwatch.com/News/Sedardoc/6097406.pdf,,0,0,no,,"2026-01-07 15:01 ET - News Release
Mr. Gabriel Rubacha reports
NOA LITHIUM ANNOUNCES WARRANT EXERCISES FOR $712,400
Senior management members of NOA Lithium Brines Inc. who hold common share purchase warrants of the company exercisable at a price of 20 cents per common share have exercised 3,562,000 warrants to provide the company with $712,400. Funds from this warrant exercise will be used to continue the progress and development of the company's assets and for general corporate working capital.
This warrant exercise by the senior management members of the company is indicative of their continued commitment and endorsement of the company.
Gabriel Rubacha, NOA's chief executive officer and a director, stated: ""We believe Rio Grande is one of the few remaining brine projects with potential for development. The recently completed preliminary economic assessment demonstrated Rio Grande's potential and the next phase of prefeasibility will add more value to the project and the company. Management of the company is fully committed to NOA and this warrant exercise is a clear demonstration that we believe in the potential of our projects and the company.""
About NOA Lithium Brines Inc.
NOA is a lithium exploration and development company formed to acquire assets with significant resource potential. All NOA's projects are located in the heart of the prolific Lithium Triangle in the mining-friendly province of Salta, Argentina, near a multitude of projects and operations owned by some of the largest players in the lithium industry. NOA has rapidly consolidated one of the largest lithium brine claim portfolios in this region that is not owned by a producing company, with key positions on three prospective salars, being Rio Grande, Arizaro and Salinas Grandes, and totalling over 140,000 hectares.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\NOAL\news_html\2026-01-07.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/NOAL/news_html/2026-01-07.html,,NONE,"Warrant exercise announcement for $712,400",,,2024-01-31,2024-04-02
stockwatch,NOAL,NOA Lithium Brines Inc.,2025-12-30,NOTICE_OF_THE_MEETING_AND_RECORD_DATE_AMENDED_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6094706.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,NOAL,NOA Lithium Brines Inc.,2025-12-30,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,NOA Lithium grants options to buy 3.2 million shares,https://www.stockwatch.com/News/Item/Z-C!NOAL-3770051/C/NOAL,3770051,https://www.stockwatch.com/News/Sedardoc/6094551.pdf,,0,0,no,,"2025-12-30 17:03 ET - News Release
Mr. Gabriel Rubacha reports
NOA LITHIUM ANNOUNCES ISSUANCE OF STOCK OPTIONS
NOA Lithium Brines Inc. has granted an aggregate of 3.2 million stock options pursuant to its stock option plan to directors, officers, employees, advisers and consultants of the company, subject to approval by the TSX Venture Exchange. The options issued entitle the holder to acquire the same number of common shares of the company and will be exercisable at a price of 27 cents per common share for a period of five years from the date of grant. The options were granted under and are subject to the terms and conditions of the company's stock option plan.
About NOA Lithium Brines Inc.
NOA is a lithium exploration and development company formed to acquire assets with significant resource potential. All NOA's projects are located in the heart of the prolific Lithium Triangle, in the mining-friendly province of Salta, Argentina, near a multitude of projects and operations owned by some of the largest players in the lithium industry. NOA has rapidly consolidated one of the largest lithium brine claim portfolios in this region that is not owned by a producing company, with key positions on three prospective salars, being Rio Grande, Arizaro and Salinas Grandes, and totalling over 140,000 hectares.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\NOAL\news_html\2025-12-30.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/NOAL/news_html/2025-12-30.html,,NONE,Stock options granted to company personnel,,,2024-01-31,2024-04-02
