source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,PMET,"PMET Resources Inc. (formerly,  Patriot Battery Metals Inc.)",2025-06-20,ANNUAL_INFORMATION_FORM_EN,metals and minerals - mining,AIF,,,,https://www.stockwatch.com/News/Sedardoc/5947773.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\PMET\pdfs\AIF\2025-06-20_PMET_AIF.pdf,77,4428,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/PMET/2025-06-20_PMET_AIF.pdf,,,,,,,,,2025-03-31,2025-06-20
stockwatch,PMET,"PMET Resources Inc. (formerly,  Patriot Battery Metals Inc.)",2026-02-27,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6136807.pdf,,0,0,no,,,,,,,,,,2025-03-31,2025-06-20
stockwatch,PMET,"PMET Resources Inc. (formerly,  Patriot Battery Metals Inc.)",2026-02-23,MATERIAL_CHANGE_REPORT_EN,metals and minerals - mining,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6130341.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\PMET\pdfs\MaterialChange\2026-02-23_PMET_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,10,311,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/PMET/2026-02-23_PMET_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Successful financing completion for PMET,,,,,2025-03-31,2025-06-20
stockwatch,PMET,"PMET Resources Inc. (formerly,  Patriot Battery Metals Inc.)",2026-02-19,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Closing of Flow-Through Private Placement and Public Offering of Common Shares for Gross Proceeds of Approximately C$138 Million,https://www.stockwatch.com/News/Item/Z-C!PMET-3786772/C/PMET,3786772,https://www.stockwatch.com/News/Sedardoc/6127875.pdf,,0,0,no,,"2026-02-19 12:30 ET - News Release
Closing of Flow-Through Private Placement and Public Offering of Common Shares for Gross Proceeds of Approximately C$138 Million
Canada NewsWire
MONTREAL, Feb. 19, 2026
/NOT FOR RELEASE TO U.S. NEWS WIRE SERVICES OR DISTRIBUTION IN THE UNITED STATES/
MONTREAL
,
