source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,ABX,Barrick Mining Corporation,2026-02-27,ANNUAL_INFORMATION_FORM_EN,gold and precious metals,AIF,,,,https://www.stockwatch.com/News/Sedardoc/6135087.pdf,,0,0,no,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ABX/2026-02-27_ABX_AIF.pdf,,,,,,,,,2025-11-30,2026-02-27
stockwatch,ABX,Barrick Mining Corporation,2026-02-27,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Barrick's 2025 Annual Information Form and Other Documents Now Available,https://www.stockwatch.com/News/Item/Z-C!ABX-3790338/C/ABX,3790338,https://www.stockwatch.com/News/Sedardoc/6135195.pdf,,0,0,no,,"2026-02-27 07:22 ET - News Release
TORONTO, Feb.  27, 2026  (GLOBE NEWSWIRE) -- Barrick Mining Corporation (NYSE:B) (TSX:ABX) (“Barrick”) today announced that its 2025 Annual Report, Annual Information Form and Form 40-F are now available on SEDAR+ (
www.sedarplus.ca
), EDGAR (
www.sec.gov
) and on Barrick’s website.
In addition, Barrick has filed technical reports for each of the Pueblo Viejo Mine and the Kibali Gold Mine, in accordance with National Instrument 43-101 -
Standards of Disclosure for Mineral Projects
. The technical reports are available on SEDAR+, EDGAR and on Barrick’s website.
To access the above-mentioned documents, please visit
www.barrick.com
. Shareholders may also receive a copy of Barrick’s audited financial statements without charge upon request to Barrick’s Investor Relations Department, 161 Bay Street, Suite 3700, Toronto, Ontario M5J 2S1 or to
investor@barrick.com
.
About Barrick Mining Corporation
Barrick is a leading global mining, exploration and development company. With one of the largest portfolios of world-class and long-life gold and copper assets in the industry, Barrick’s operations and projects span 17 countries and five continents. Barrick is also the largest gold producer in the United States. We create real, long-term value for all stakeholders through responsible mining, strong partnerships and a disciplined approach to growth. Barrick shares trade on the New York Stock Exchange under the symbol ‘B’ and on the Toronto Stock Exchange under the symbol ‘ABX’.
Investor Relations Contact
Media Contact
Barrick Mining Corporation
Brunswick Group
Cleve Rueckert, +1 775 397 5443
Carole Cable, +44 (0) 20 7404 5959
cleveland.rueckert@barrick.com
barrick@brunswickgroup.com
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ABX\news_html\2026-02-27.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ABX/news_html/2026-02-27.html,,CHANGED,Filed NI 43-101 technical reports for Pueblo Viejo and Kibali Gold Mine,Group,,2025-11-30,2026-02-27
stockwatch,ABX,Barrick Mining Corporation,2026-02-27,52109F1_CERTIFICATION_OF_ANNUAL_FILINGS_CEO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6135130.pdf,,0,0,no,,,,,,,,,,2025-11-30,2026-02-27
stockwatch,ABX,Barrick Mining Corporation,2026-02-27,52109F1_CERTIFICATION_OF_ANNUAL_FILINGS_CFO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6135132.pdf,,0,0,no,,,,,,,,,,2025-11-30,2026-02-27
stockwatch,ABX,Barrick Mining Corporation,2026-02-27,ANNUAL_REPORT_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6135112.pdf,,0,0,no,,,,,,,,,,2025-11-30,2026-02-27
stockwatch,ABX,Barrick Mining Corporation,2026-02-27,CONSENT_OF_QUALIFIED_PERSON_NI_43101_EN,gold and precious metals,NI43-101,,,,https://www.stockwatch.com/News/Sedardoc/6135117.pdf,,0,0,no,,,,,,,,,,2025-11-30,2026-02-27
stockwatch,ABX,Barrick Mining Corporation,2026-02-27,CONSENT_OF_QUALIFIED_PERSON_NI_43101_EN,gold and precious metals,NI43-101,,,,https://www.stockwatch.com/News/Sedardoc/6135118.pdf,,0,0,no,,,,,,,,,,2025-11-30,2026-02-27
stockwatch,ABX,Barrick Mining Corporation,2026-02-27,CONSENT_OF_QUALIFIED_PERSON_NI_43101_EN,gold and precious metals,NI43-101,,,,https://www.stockwatch.com/News/Sedardoc/6135120.pdf,,0,0,no,,,,,,,,,,2025-11-30,2026-02-27
stockwatch,ABX,Barrick Mining Corporation,2026-02-27,CONSENT_OF_QUALIFIED_PERSON_NI_43101_EN,gold and precious metals,NI43-101,,,,https://www.stockwatch.com/News/Sedardoc/6135121.pdf,,0,0,no,,,,,,,,,,2025-11-30,2026-02-27
stockwatch,ABX,Barrick Mining Corporation,2026-02-27,TECHNICAL_REPORT_NI_43101_EN,gold and precious metals,NI43-101,,,,https://www.stockwatch.com/News/Sedardoc/6135098.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ABX\pdfs\NI43-101\2026-02-27_ABX_NI43-101_TECHNICAL_REPORT_NI_43101_EN.pdf,0,0,exists,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ABX/2026-02-27_ABX_NI43-101_TECHNICAL_REPORT_NI_43101_EN.pdf,,,,,,,,,2025-11-30,2026-02-27
