source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,MD,Midland Exploration Inc.,2026-02-26,NEWS_RELEASE_EN,other,NewsRelease,Midland begins IP geophysical survey at Caniapisc,https://www.stockwatch.com/News/Item/Z-C!MD-3789990/C/MD,3789990,https://www.stockwatch.com/News/Sedardoc/6133278.pdf,,0,0,no,,"2026-02-26 17:39 ET - News Release
Mr. Gino Roger reports
MIDLAND COMMENCES AN INDUCED POLARIZATION GEOPHYSICAL SURVEY ON ITS CANIAPISC AU PROJECT
Midland Exploration Inc. has started an induced polarization ground (IP) geophysical survey on its Caniapisc Au (gold) project in the Eeyou Istchee James Bay and Caniapiscau regions. The Caniapisc Au project is wholly owned by Midland and consists of 315 exclusive exploration rights (EERs) covering an area of 159 square kilometres (km).
Highlights:
The 2025 exploration programs successfully identified several gold-bearing boulders, with a maximum value of 24.5 grams per tonne (g/t)  Au on a selected boulder grab sample 
   
   (see news release by Midland dated Oct. 28, 2025);
Start of a 24-line-kilometre ground IP geophysical survey covering part of the southern part of the project where several mineralized boulders were identified in 2025.
The 24-line-kilometre IP geophysical survey will cover the lake north of the gold-in-till anomalies (see news release by Midland dated 
  May
  20, 2025) in the southern part of the project and extend northward to cover gold-bearing mineralized boulders identified in 2025 (see news releases by Midland dated 
  Sept. 9, 2025, and Oct. 28, 2025). The objectives of this first IP survey by Midland are to generate exploration targets and gather bedrock information for the upcoming summer exploration program. The upcoming programs in preparation include a follow-up prospecting and geological mapping program, a soil sampling program to complete the coverage of the project, and an airborne lidar (light detection and ranging) survey. Summer mechanical trenching is also currently being evaluated.
Caniapisc Au project
The Caniapisc Au project lies south of the Caniapiscau reservoir and is geologically located within the Ashuanipi subprovince, a lesser known and explored portion of the Archean Superior province. The project is more specifically located in the Raynouard complex, characterized by a 50-kilometre-long volcanosedimentary belt comprising bimodal volcanic sequences, metasedimentary rocks and iron formations. Historical exploration work, to the south of the Caniapisc Au project, highlights the potential of the Raynouard complex with the presence of volcanogenic Cu-Zn-Ag-Au (copper-zinc-silver-gold) and porphyry Cu-Au-Ag-Mo (copper-gold-silver-molybdenum) mineralization. The Caniapisc Au project is strategically located north of these showings, where a historical 2014 till sampling survey identified gold anomalies. Results from five till samples in 2025 confirm the historical gold-in-till anomalies (see news release by Midland dated 
  May
  20, 2025).
The 2025 exploration programs on the Caniapisc Au project included geological mapping, prospecting, soil sampling, and a magnetic and electromagnetic geophysical survey. These programs successfully identified several Au-Zn-Mn-Ag (gold-zinc-manganese-silver) and Au-Zn-Ag-(Pb)-bearing (gold-zinc-silver-(lead)) boulders within a two-kilometre radius up-ice from gold-in-till anomalies where 16 selected grab samples yielded values greater than 2.0 g/t Au, including a sample returning 24.5 g/t Au (see news releases by Midland dated 
  Sept. 9, 2025, and Oct. 28, 2025). While boulders are mostly observed until now in the project area, an amphibolite outcrop in the southwestern part of the project returned a value of 0.56 g/t Au from a selected grab sample (see news release by Midland dated Oct. 28, 2025). A 2,001-kilometre magnetic and electromagnetic geophysical survey covering the Caniapisc Au project was completed and the final data are being evaluated to further understand the geological and structural context of the project.
Cautionary statements
Grab samples are selective by nature and reported values are not necessarily indicative of mineralized zones.
Mineralization occurring at deposits and former mines mentioned in this news release is not necessarily indicative of mineralization that may be intersected on projects held by Midland described in this news release.
About Midland Exploration Inc.
Midland targets the excellent mineral potential of Quebec to make the discovery of new world-class deposits of gold and critical metals. Midland is proud to count on reputable partners such as Rio Tinto Exploration Canada Inc., BHP Canada Inc., Centerra Gold Inc., Barrick Mining Corp., Agnico Eagle Mines Ltd., Wallbridge Mining Company Ltd., Fresnillo PLC, Electric Elements Mining Corp., SOQUEM Inc., Nunavik Mineral Exploration Fund and Abcourt Mines Inc. Midland prefers to work in partnership and intends to quickly conclude additional agreements in regard to newly acquired properties. Management is currently reviewing other opportunities and projects to build up Midland's portfolio and generate shareholder value.
Qualified person and chief geologist Jean-Francois Lariviere, PGeo, PhD, prepared, reviewed and approved this news release and verified the project data as Midland's qualified person (QP) within the meaning of National Instrument 43-101.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\MD\news_html\2026-02-26.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/MD/news_html/2026-02-26.html,,NONE,Commenced IP geophysical survey at Caniapisc,,,2024-01-31,2024-04-02
stockwatch,MD,Midland Exploration Inc.,2026-02-12,NEWS_RELEASE_EN,other,NewsRelease,"Midland grants options to buy 870,000 shares",https://www.stockwatch.com/News/Item/Z-C!MD-3784798/C/MD,3784798,https://www.stockwatch.com/News/Sedardoc/6123786.pdf,,0,0,no,,"2026-02-12 22:07 ET - News Release
Mr. Gino Roger reports
MIDLAND EXPLORATION ANNOUNCES THE GRANT OF OPTIONS
Midland Exploration Inc. has granted incentive stock options to employees, directors and officers of Midland to acquire an aggregate of 870,000 common shares at 52 cents per share, for a period of 10 years. These incentive stock options have been granted in accordance with Midland's stock option plan. Considering the present grant, there are 7.51 million stock options outstanding.
About Midland Exploration Inc.
Midland targets the excellent mineral potential of Quebec to make the discovery of new world-class deposits of gold and critical metals. Midland is proud to count on reputable partners such as Rio Tinto Exploration Canada Inc., BHP Canada Inc., Centerra Gold Inc., Barrick Gold Inc., Agnico Eagle Mines Ltd., Wallbridge Mining Company Ltd, Fresnillo PLC, La Pulga Mining Corp., SOQUEM Inc., Nunavik Mineral Exploration Fund and Abcourt Mines Inc. Midland prefers to work in partnership and intends to quickly conclude additional agreements in regard to newly acquired properties. Management is currently reviewing other opportunities and projects to build up Midland's portfolio and generate shareholder value.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\MD\news_html\2026-02-12.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/MD/news_html/2026-02-12.html,,NONE,Stock options granted to employees and directors,,,2024-01-31,2024-04-02
stockwatch,MD,Midland Exploration Inc.,2026-02-12,INTERIM_MDA_EN,other,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6123614.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\MD\pdfs\MD&A\2026-02-12_MD_MD&A_INTERIM_MDA_EN.pdf,12,328,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/MD/2026-02-12_MD_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2024-01-31,2024-04-02
stockwatch,MD,Midland Exploration Inc.,2026-02-12,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,other,Other,,,,https://www.stockwatch.com/News/Sedardoc/6123611.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,MD,Midland Exploration Inc.,2026-01-26,CODE_OF_CONDUCT,other,Other,,,,https://www.stockwatch.com/News/Sedardoc/6108933.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,MD,Midland Exploration Inc.,2026-01-26,CODE_OF_CONDUCT,other,Other,,,,https://www.stockwatch.com/News/Sedardoc/6108935.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,MD,Midland Exploration Inc.,2026-01-15,NEWS_RELEASE_EN,other,NewsRelease,"Midland starts 1,600 m drilling program at Jouvex",https://www.stockwatch.com/News/Item/Z-C!MD-3774654/C/MD,3774654,https://www.stockwatch.com/News/Sedardoc/6101972.pdf,,0,0,no,,"2026-01-15 17:02 ET - News Release
Mr. Gino Roger reports
MIDLAND COMMENCES DRILLING ON ITS JOUVEX GOLD PROJECT NORTHWEST OF THE DOUAY DEPOSIT IN ABITIBI
Midland Exploration Inc. has started a 1,600-metre drilling program on its Jouvex gold property, wholly owned by Midland and located approximately 10 kilometres northwest of the Douay deposit.
Exploration work resumed on the Jouvex property in 2024 to 2025 with the execution of two drone-supported magnetic surveys, followed by an induced polarization (IP) survey totalling 30 line kilometres in the fall of 2025. These surveys were conducted in the south part of the property, on a new target with gold potential. This target is located near a major structure that runs just north of the Douay gold deposit, where indicated and inferred resources are estimated at 3,038,000 ounces of gold (2022 MRE, Maple Gold website). In January, 2026, this area, which has been largely neglected in the past, will be tested by Midland by diamond drilling.
2026 diamond drilling program on Jouvex
A helicopter-supported diamond drilling program totalling 1,600 metres is expected to begin in January, 2026. Five drill holes are planned to test magnetic anomalies and interpreted structures coinciding with IP anomalies. This area has never been drill tested; the nearest drill holes are located 350 metres to the northeast. Historical drill hole JOU-1-84 exhibited interesting alteration patterns, with silicification-carbonatization-sericitization, as well as felsic rocks favourable for gold mineralization (SIGEOM: GM42282). In 2026, the main target is one of the strongly positive magnetic anomalies associated with a chargeability zone. This association and signals may indicate the presence of disseminated sulphides, located between two zones of higher resistivity. This chargeability zone may correspond to the Casa-Berardi deformation zone as interpreted.
New exploration target identified on Jouvex
Following a recent reassessment by Midland of the potential on the Jouvex property, the southern part of the project is now the main area for Midland current exploration efforts. Based on a compilation of historical drilling data, the geology was modified by adding a band of felsic tuffs and volcanic rocks between Taibi sediments and Cartwright mafic volcanic rocks. These units, encountered in several historical drill holes, are not inventoried in SIGEOM and signal potential for VMS mineralization. In addition, drone-supported magnetic surveys conducted by Midland indicate the main magnetic fabric is truncated in the south part of the project. This interference, at the contact between felsic and mafic volcanic rocks, may be attributed to major structures, which are favourable emplacement sites for potential syenitic intrusions similar to Douay and a common metallotect for gold deposits in the Abitibi belt.
About Midland 
 Exploration Inc.
Midland targets the excellent mineral potential of Quebec to make the discovery of new world-class deposits of gold and critical metals. Midland is proud to count on reputable partners such as Rio Tinto Exploration Canada Inc., BHP Canada Inc., Centerra Gold Inc., Agnico Eagle Mines Ltd., Wallbridge Mining Company Ltd, Probe Gold Inc., Electric Elements Mining Corp., SOQUEM Inc., Nunavik Mineral Exploration Fund and Abcourt Mines Inc. Midland prefers to work in partnership and intends to quickly conclude additional agreements in regard to newly acquired properties. Management is currently reviewing other opportunities and projects to build up Midland's portfolio and generate shareholder value.
Qualified person and exploration director Richard D. St-Cyr, PGeo, prepared, reviewed and approved this press release and the Jouvex project data as Midland's qualified person (QP) within the meaning of National Instrument 43-101.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\MD\news_html\2026-01-15.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/MD/news_html/2026-01-15.html,,NONE,Drilling program commenced at Jouvex project,,,2024-01-31,2024-04-02
stockwatch,MD,Midland Exploration Inc.,2026-01-08,NEWS_RELEASE_EN,other,NewsRelease,"Midland, in Partnership with Rio Tinto Exploration Canada, Intersects New Lithium and Cesium Bearing Pegmatites During the 2025 Drilling Program on the Galinee Project",https://www.stockwatch.com/News/Item/Z-C!MD-3772282/C/MD,3772282,https://www.stockwatch.com/News/Sedardoc/6098015.pdf,,0,0,no,,"2026-01-08 07:30 ET - News Release
MONTREAL, Jan.  08, 2026  (GLOBE NEWSWIRE) -- Midland Exploration Inc. (
“Midland”
) (
TSX-V: MD)
, in partnership with Rio Tinto Exploration Canada Inc. (“
RTEC
”), is pleased to announce the results of the 2025 drilling campaign for lithium on the Galinée project. The Galinée project is located approximately 5 kilometres east of the Adina lithium deposit held by Winsome Resources (“Winsome”) and is subject to an option agreement signed with RTEC in June 2023 (
see press release by Midland dated June 14, 2023
) and amended in April 2024 (
see press release by Midland dated April 23, 2024)
.
Highlights
:
A total of twenty-three (23) additional drill holes completed in 2025:
1.14% Li
2
O over 30.59 metres, including 1.77% Li
2
O over 18.39 metres (TLIB0051);
0.53% Li
2
O over 22.90 metres, including 1.09% Li
2
O over 6.10 metres (TLIB0044);
1.08% Li
2
O over 17.10 metres (TLIB0034);
Identification of new cesium mineralization in 2024-2025 drill holes:
9.15% Cs
2
O over 6.40 metres (TLIB0006);
1.89% Cs
2
O over 12.10 metres (TLIB0044);
Identification of new gold mineralization:
8.8 g/t Au over 1.03 metres (TLIB0049);
3.3 g/t Au over 0.68 metres (TLIB0049);
High resolution (low level) drone magnetics covering the project is completed;
RTEC paid the remaining option agreement cash payments for a total of $487,500.
Galinée 2025 Drilling Program
The 2025 drilling program on Galinée consisted of fourteen (14) diamond drill holes and nine (9) reverse circulation (“RC”) drill holes totalling 4,105.09 metres, out of which 1,078.60 metres were RC drilling. All assay results have been received and the best lithium results are summarized in the table below.
HoleID
From (m)
To (m)
Interval (m)
Li
2
O
(%)
TLIB0030
27.6
43.9
16.3
0.73
TLIB0034
47.6
64.7
17.1
1.08
25.9
48.8
22.9
0.53
TLIB0044
Including
25.9
29.0
3.1
1.26
Including
32.0
38.1
6.1
1.09
TLIB0051
46.91
77.5
30.6
1.14
Including
46.91
65.3
18.4
1.77
* Composite intervals with pegmatites greater than 10 metres and 0.40% Li
2
O% cut-off grade
Evaluation of the 2024-2025 drilling analytical results have identified several new cesium mineralized intervals. Best results are summarized in the table below.
HoleID
From (m)
To (m)
Interval (m)
Cs
2
O
(%)
TLIB0006
188.6
195.0
6.4
9.15
TLIB0015
46.8
50.7
3.9
1.37
TLIB0030
34.8
43.9
9.1
0.52
TLIB0044
38.1
50.3
12.2
1.89
* Composite intervals with pegmatites greater than 3 metres and 0.30% Cs
2
O% cut-off grade
The objectives of the 2025 drilling campaign were to follow up on 2024 intersections that were mainly outside the core of the main Iceberg area and which remained open and required further testing, and also conduct step-outs throughout the property to test structural targets. A high-resolution magnetic drone survey was completed on the project and the data used for targeting. The drilling campaign mainly focused on four target areas relative to the Iceberg Showing, such as northeast, south, southeast, and finally to the far west of the Galinée project. Drill results from holes TLIB0030, TLIB0034, TLIB0044 and TLIB0051 suggest the presence of laterally extensive west-east lithium pegmatites south of the Iceberg Showing. Best results returned core length interval composites of 1.14% Li
2
O over 30.6 metres, including 1.77% Li
2
O over 18.4 metres in hole TLIB0051. Hole TLIB0024 returned 1.08% Li
2
O over 17.1 metres. The newly identified cesium mineralization returned four (4) intervals with a maximum of 9.15% Cs
2
O over 6.4 metres in hole TLIB0006.
Hole TLIB0049 did not intersect pegmatites, but is the first hole to traverse the amphibolite-paragneiss contact south of the project. This contact is sheared and silicified with quartz veining and returned 8.8 g/t Au over 1.03 metres and 3.3 g/t Au over 0.68 metres. A similar contact was observed at surface at the Elsa Showing (3.26 g/t Au over 2.4 metres) located 1.90 kilometres west-northwest of TLIB0049 (
see press release by Midland dated May 23, 2019
)
.
HoleID
Easting
(m)
Northing
(m)
Azimuth
(°)
Dip
(°)
Depth (m)
Core
Size
Type
TLIB0029
677559
5910103
14
-90
117.35
3¼""
RC
TLIB0030
677032
5909178
30
-60
201.00
HQ
Diamond drilling
TLIB0031
677796
5910021
18
-90
146.30
3¼""
RC
TLIB0032
677306
5909847
24
-70
249.00
HQ
Diamond drilling
TLIB0033
678104
5909699
27
-90
146.30
3¼""
RC
TLIB0034
677360
5909168
21
-70
177.00
HQ
Diamond drilling
TLIB0035
678534
5909754
20
-90
118.87
3¼""
RC
TLIB0036
677711
5909667
42
-70
46.39
HQ
Diamond drilling
TLIB0037
677711
5909667
41
-75
300.45
HQ
Diamond drilling
TLIB0038
673907
5909231
5
-90
120.40
3¼""
RC
TLIB0039
673867
5909119
6
-90
121.53
3¼""
RC
TLIB0040
678146
5909211
30
-60
267.00
HQ
Diamond drilling
TLIB0041
675828
5909833
14
-90
111.25
3¼""
RC
TLIB0042
677159
5909066
30
-60
216.00
HQ
Diamond drilling
TLIB0043
675733
5909012
6
-90
112.78
3¼""
RC
TLIB0044
674698
5909075
6
-90
83.82
3¼""
RC
TLIB0045
675648
5909109
6
-60
183.00
HQ
Diamond drilling
TLIB0046
677311
5908964
318
-60
240.00
HQ
Diamond drilling
TLIB0047
676157
5908731
318
-60
213.00
HQ
Diamond drilling
TLIB0048
679686
5907842
338
-60
207.00
HQ
Diamond drilling
TLIB0049
680349
5908372
228
-60
210.65
HQ
Diamond drilling
TLIB0050
680487
5908528
8
-60
252.00
HQ
Diamond drilling
TLIB0051
674399
5909071
8
-70
264.00
HQ
Diamond drilling
* TLIB0001-TLIB0028 in the press release by Midland dated December 19, 2024
* Coordinates in UTM zone 18, NAD83
Geological and structural observations suggest that two distinct styles of lithium mineralization occur on the Galinée project. The first style, in the Iceberg area, consists of 10 to 20 metres-thick stacked spodumene pegmatite system that is shallow dipping and oblique to the regional shear by about 30 degrees. The second style, south of Iceberg, generally consists of less than 10 metres-thick lithium pegmatites that are laterally extensive and oriented west-east, parallel to the regional shear. Both types of pegmatites are likely linked to a same intrusive event, but differ in their emplacement conditions. The laterally extensive pegmatites along the shear zone were emplaced during periods of high strain and limited dilation potential, resulting in thinner pegmatites. In the Iceberg area, transpression-related deformation created the appropriate dilational environment for tension gashes to form probably due to large blocks of granodiorite surrounding amphibolite. This local shearing and tension gashes, oblique to the main shear zone, could have emplaced the Iceberg stacked pegmatite system.
The Iceberg spodumene pegmatite bodies remain open along strike and to depth and more drilling will be necessary to more precisely determine their geometry and extension. Early metallurgical tests on select core sections using LIBS scanning to identify and quantitatively determine grain size and the lithium mineralogy is ongoing.
Galinée 2024 Drilling Program
The 2024 drilling program on Galinée consisted of twenty-one (21) diamond drill holes and seven (7) RC drill holes totalling 6,284.86 metres, out of which 819.92 metres were RC drilling. The objectives were to test the 2023 Iceberg Showing area with diamond drilling while using reverse circulation drilling to test conceptual, prospecting and geophysical targets. The drilling campaign mainly focused on the Iceberg showing and also the White Stripes, Surge, Snow Fox and White Lightning showings (
see press release by Midland dated October 24, 2024
). Surface geological mapping combined with drilling has identified a series of at least seven (7), meter to decametre scale, spodumene pegmatite bodies. Drill results from holes TLIB0014, TLIB0018, TLIB0022, TLIB0023, and TLIB0026 suggest extension of the Iceberg showing to the east, while hole TLIB0020, furthermore, suggests extensions towards the west. The highlight result thus far returned core length interval composites of 1.38% Li
2
O over 37.86 metres, including 1.88% Li
2
O over 21.35 metres, in hole TLIB0007. Hole TLIB0026 returned 1.03% Li
2
O over 32.87 metres and hole TLIB0018 returned up to 1.46% Li
2
O over 27.34 metres (
see press release by Midland dated December 19, 2024
). Correlations in sections suggest that the spodumene pegmatite bodies dip shallowly, typically less than 30 degrees, and are often observed as stacked sets in the drill holes.
About the Galinée Project
The Galinée project is located approximately 5 kilometres due east of the Adina deposit (consolidated mineral resources of 61.4 Mt at 1.14% Li
2
O Indicated and 16.5 Mt at 1.19% Li
2
O Inferred,
see press release by Winsome dated May 28, 2024
) held by Winsome. This deposit is located at the contact between amphibolites of the Trieste Formation to the south and felsic intrusives to the north and is marked by a major structure that likely controlled the emplacement of pegmatites at Adina. The same highly favourable contact zone is present on the property over more than 7 kilometres, and the Iceberg lithium showing was discovered along this contact (
see press release by Midland dated September 19, 2023
).
About the Option Agreement
RTEC notified Midland its intent to exclude the Mythril East, Corvette, Chisaayuu, Moria, Shire, Warp, Sulu, Picard and Wookie projects from the option agreement, thus returning these projects 100% to Midland. RTEC also paid the remaining option agreement cash payments for a total of $487,500.
Quality Control
RTEC sampling protocols include the insertion of blanks, duplicates, and standards as such: Internal blanks were inserted at the beginning of every drill hole, or sample batch, and were inserted every 30 samples throughout. Field duplicates of ¼ cut drill cores were also inserted every 30 samples (with the parent sample immediately preceding). At least 1 CRM standard was inserted within every intersected pegmatite interval. CRM materials used included OREAS 750, OREAS 751, OREAS 753 and OREAS 999 for mineralized samples; OREAS 520 and OREAS 524 for unmineralized materials. All samples were prepared by ALS Laboratories in Thunder Bay using a preparation package whereby the entire sample is crushed to 70% less than 2-millimetre mesh size using a Boyd crusher and splitter combination. A one-kilogram split of crushed material is pulverized to better than 85% passing 75 microns mesh size. ALS internally sends all pulps to ALS Geochemistry in Vancouver for analysis.
Pegmatite materials were analyzed by a multi-method analytical package: (1) ME-MS61L four acid digest and ICP-MS multicollector multi-element analysis, (2) ME-ICP06 lithium borate fusion whole rock analysis, and (3) ME-MS81 lithium borate fusion trace element analysis. All samples reporting >4500 ppm Li are reported by both a dilution method from the four-acid digest ME-MS61L and reanalyzed by Li-ICP82b sodium peroxide fusion and ICP-AES determination.
Cautionary Statements
The true thickness of mineralized intervals cannot be determined with the information currently available.
RC drilling can statistically return higher grades because of physical and mechanical processes involved in this type of drilling.
Lithium mineralization occurring at the deposits mentioned in this press release is not necessarily indicative of mineralization that may be intersected on projects held by Midland and mentioned in this press release.
About Midland
Midland targets the excellent mineral potential of Quebec to make the discovery of new world-class deposits of gold and critical metals. Midland is proud to count on reputable partners such as RTEC, BHP Canada Inc., Centerra Gold Inc., Barrick Gold Inc., Agnico Eagle Mines Limited, Wallbridge Mining Company Ltd, Probe Gold Inc., Electric Elements Mining Corp., SOQUEM Inc., Nunavik Mineral Exploration Fund, and Abcourt Mines Inc. Midland prefers to work in partnership and intends to quickly conclude additional agreements in regard to newly acquired properties. Management is currently reviewing other opportunities and projects to build up Midland’s portfolio and generate shareholder value.
Qualified Person and Chief Geologist Jean-François Larivière, P. Geo, Ph. D, prepared, reviewed and approved this press release and verified the Galinée project data as Midland’s qualified person (QP) within the meaning of National Instrument 43-101.
For further information, please consult Midland’s website or contact:
Gino Roger, President and Chief Executive Officer
Tel.: 450 420-5977
Fax: 450 420-5978
Email:
info@midlandexploration.com
Website:
https://www.midlandexploration.com/
Neither TSX Venture Exchange nor its Regulation Services Provider (as that term is defined in the policies of the TSX Venture Exchange) accepts responsibility for the adequacy or accuracy of this release.
Forward-Looking Statements
This news release contains forward-looking statements and forward-looking information (together, “forward-looking statements”) within the meaning of applicable securities laws. Forward-looking statements include statements relating to the Corporation’s expectations regarding the conclusion of additional agreements in regard to newly acquired properties, and other estimates and statements that describe Midland’s future plans, objectives or goals, including words to the effect that Midland or management expects a stated condition or result to occur. All statements, other than statements of historical facts, are forward-looking statements. Forward-looking statements involve risks, uncertainties and other factors that could cause actual results, performance, prospects and opportunities to differ materially from those expressed or implied by such forward-looking statements. Factors that could cause actual results to differ materially from these forward-looking statements include, without limitation, changes in general economic conditions and conditions in the financial markets, changes in demand and prices for minerals, failure to obtain the requisite permits and approvals from government bodies and third parties, regulatory and governmental policy changes (laws and policies) and those risks set out in Midland’s public documents, including in each management discussion and analysis, filed on SEDAR+ at www.sedarplus.com. Although Midland believes that the assumptions and factors used in preparing the forward-looking statements are reasonable, undue reliance should not be placed on these statements, which only apply as of the date of this news release, and no assurance can be given that such events will occur in the disclosed times frames or at all. Except where required by applicable law, Midland disclaims any intention or obligation to update or revise any forward-looking statement, whether as a result of new information, future events or otherwise.
A photo accompanying this announcement is available at:
https://www.globenewswire.com/NewsRoom/AttachmentNg/0d13ace2-954c-4fc7-8f17-d0e6bb572864
https://www.globenewswire.com/NewsRoom/AttachmentNg/09f78042-0e53-4932-86ba-57de7ad14ce1
https://www.globenewswire.com/NewsRoom/AttachmentNg/09e6a458-5244-4af2-82a7-d502c189de1c
https://www.globenewswire.com/NewsRoom/AttachmentNg/bec99129-a502-4c30-a3d0-71b3bd936213
https://www.globenewswire.com/NewsRoom/AttachmentNg/592526c0-1cb0-48bd-a1e3-f03dcf185827
https://www.globenewswire.com/NewsRoom/AttachmentNg/03f28c1a-458a-4413-9fb6-fc2b8681062f
https://www.globenewswire.com/NewsRoom/AttachmentNg/ba48f7b9-9981-4200-aff0-271ef783af8f
Figure 6
Galinée 2024 Drilling Program
Figure 2
JB (North) Lithium Occurrences
Figure 1
MD-RTEC Option for Lithium
Figure 3
Galinée Project
Figure 7
Iceberg Spodumene Showing
Figure 4
Galinée 2024 Drilling Program
Figure 5
Galinée 2025 Drilling Program
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\MD\news_html\2026-01-08.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/MD/news_html/2026-01-08.html,,NONE,2025 drilling results on Galinée project,,,2024-01-31,2024-04-02
stockwatch,MD,Midland Exploration Inc.,2026-01-06,FORM_OF_PROXY_EN,other,Other,,,,https://www.stockwatch.com/News/Sedardoc/6097179.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,MD,Midland Exploration Inc.,2026-01-06,OTHER,other,Other,,,,https://www.stockwatch.com/News/Sedardoc/6097181.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
