source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,DBG,Doubleview Gold Corp.,2025-11-21,ANNUAL_INFORMATION_FORM_EN,gold and precious metals,AIF,,,,https://www.stockwatch.com/News/Sedardoc/6063071.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\DBG\pdfs\AIF\2025-11-21_DBG_AIF.pdf,53,705,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/DBG/2025-11-21_DBG_AIF.pdf,,,,,,,,,2025-08-31,2025-11-21
stockwatch,DBG,Doubleview Gold Corp.,2026-03-02,MATERIAL_CHANGE_REPORT_EN,gold and precious metals,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6138225.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\DBG\pdfs\MaterialChange\2026-03-02_DBG_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,23,1440,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/DBG/2026-03-02_DBG_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Positive Preliminary Economic Assessment results,,,,,2025-08-31,2025-11-21
stockwatch,DBG,Doubleview Gold Corp.,2026-03-02,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Canadian Investment Regulatory Organization Trade Resumption - DBG,https://www.stockwatch.com/News/Item/Z-C!DBG-3791369/C/DBG,3791369,https://www.stockwatch.com/News/Sedardoc/6137648.pdf,,0,0,no,,"2026-03-02 11:55 ET - News Release
Canadian Investment Regulatory Organization Trade Resumption - DBG
Canada NewsWire
VANCOUVER, BC, March 2, 2026
VANCOUVER, BC,
March 2, 2026
/CNW/ - Trading resumes in:
Company:
Doubleview Gold Corp.
TSX-Venture Symbol:
DBG
All Issues:
Yes
Resumption (ET):
12:15 PM
CIRO can make a decision to impose a temporary suspension (halt) of trading in a security of a publicly-listed company. Trading halts are implemented to ensure a fair and orderly market. CIRO is the national self-regulatory organization which oversees all investment dealers and trading activity on debt and equity marketplaces in Canada.
SOURCE Canadian Investment Regulatory Organization (CIRO) – Halts/Resumptions
View original content:
http://www.newswire.ca/en/releases/archive/March2026/02/c5424.html
Contact:
For further information about CIRO's trading halt policy, please see Trading Halts & Timely Disclosure at www.ciro.ca under the Markets tab. Please note that CIRO staff cannot provide any information about a specific halt beyond what is contained in this halt notice. For general information about CIRO, contact CIRO's Complaints & Inquiries team by submitting a Secure Form located on our contact page at www.ciro.ca or dialing 1-877-442-4322 (Option 1). For company-related enquiries, please contact the company directly.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\DBG\news_html\2026-03-02.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/DBG/news_html/2026-03-02.html,,NONE,Trading resumption announcement,,,2025-08-31,2025-11-21
stockwatch,DBG,Doubleview Gold Corp.,2026-02-25,MATERIAL_CHANGE_REPORT_EN,gold and precious metals,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6132228.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\DBG\pdfs\MaterialChange\2026-02-25_DBG_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,7,1201,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/DBG/2026-02-25_DBG_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Updated mineral resource estimate,,,,,2025-08-31,2025-11-21
stockwatch,DBG,Doubleview Gold Corp.,2026-02-25,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Canadian Investment Regulatory Organization Trade Resumption - DBG,https://www.stockwatch.com/News/Item/Z-C!DBG-3789001/C/DBG,3789001,https://www.stockwatch.com/News/Sedardoc/6132147.pdf,,0,0,no,,"2026-02-25 09:52 ET - News Release
Canadian Investment Regulatory Organization Trade Resumption - DBG
Canada NewsWire
VANCOUVER, BC, Feb. 25, 2026
VANCOUVER, BC,
Feb. 25, 2026
/CNW/ - Trading resumes in:
Company:
Doubleview Gold Corp.
TSX-Venture Symbol:
DBG
All Issues:
Yes
Resumption (ET):
10:15 AM
CIRO can make a decision to impose a temporary suspension (halt) of trading in a security of a publicly-listed company. Trading halts are implemented to ensure a fair and orderly market. CIRO is the national self-regulatory organization which oversees all investment dealers and trading activity on debt and equity marketplaces in Canada.
SOURCE Canadian Investment Regulatory Organization (CIRO) – Halts/Resumptions
View original content:
http://www.newswire.ca/en/releases/archive/February2026/25/c9275.html
Contact:
For further information about CIRO's trading halt policy, please see Trading Halts & Timely Disclosure at www.ciro.ca under the Markets tab. Please note that CIRO staff cannot provide any information about a specific halt beyond what is contained in this halt notice. For general information about CIRO, contact CIRO's Complaints & Inquiries team by submitting a Secure Form located on our contact page at www.ciro.ca or dialing 1-877-442-4322 (Option 1). For company-related enquiries, please contact the company directly.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\DBG\news_html\2026-02-25.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/DBG/news_html/2026-02-25.html,,NONE,Trading resumption announcement for DBG,,,2025-08-31,2025-11-21
stockwatch,DBG,Doubleview Gold Corp.,2026-02-19,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,T: (604) 678-9587,,,https://www.stockwatch.com/News/Sedardoc/6128084.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\DBG\pdfs\NewsRelease\2026-02-19_DBG_NewsRelease_fallback.pdf,0,0,no,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/DBG/2026-02-19_DBG_NewsRelease_fallback.pdf,"  
 
 
 
 
Doubleview Gold Corp 
 
TSX.V: DBG 
OTC: DBLVF 
FSE: A1W038 
470 Granville St. Suite #822 
Vancouver, BC, V6C 1V5 
T:604.678.9587 
F:604.683.8260 
E:corporate@doubleview.ca 
W:www.doubleview.ca 
 
 
 
2026/02/19 
Doubleview Announces Grant of Stock Options 
 
Vancouver, British Columbia, February 19, 2026, Doubleview Gold Corp. (TSX.V: DBG / OTC: DBLVF / GERMANY: 
A1W038) (the Company or Doubleview) announces it has granted incentive stock options to certain officers, directors and 
consultants of the Company to acquire an aggregate of 2,200,000 common shares in the capital of the Company at an exercise 
price of $1.25 (the Options) in accordance with the Companys 10% rolling incentive stock option plan. The Options are 
exercisable for a three-year term expiring February 18, 2029, and will become fully vested immediately. 
About Doubleview Gold Corp 
Doubleview Gold Corp., a mineral resource exploration and development company, is based in Vancouver, British Columbia, 
Canada, and is publicly traded on the TSX-Venture Exchange [TSX-V: DBG], [OTCQB: DBLVF], [GER: A1W038], 
[Frankfurt: 1D4]. Doubleview identifies, acquires and finances precious and base metal exploration projects in North America, 
particularly in British Columbia. Doubleview increases shareholder value through acquisition and exploration of quality gold, 
copper and silver properties and the application of advanced state-of-the-art exploration methods. The Companys portfolio of 
strategic properties provides diversification and mitigates investment risk. 
 
On behalf of the Board of Directors, 
Farshad Shirvani, President & Chief Executive Officer 
 
For further information please contact: 
 
Doubleview Gold Corp 
Vancouver, BC Farshad Shirvani 
President & CEO 
T: (604) 678-9587 
E: corporate@doubleview.ca 
 
 
NEITHER TSX VENTURE EXCHANGE NOR ITS REGULATION SERVICES PROVIDER (AS THAT TERM IS 
DEFINED IN THE POLICIES OF THE TSX VENTURE EXCHANGE) ACCEPTS RESPONSIBILITY FOR THE 
ADEQUACY OR ACCURACY OF THIS RELEASE. 
 
Certain of the statements made and information contained herein may constitute forward-looking 
information. In particular references to the private placement and future work programs or expectations 
on the quality or results of such work programs are subject to risks associated with operations on the 
property, exploration activity generally, equipment limitations and availability, as well as other risks that 
we may not be currently aware of. Accordingly, readers are advised not to place undue reliance on forward-
looking information. Except as required under applicable securities legislation, the Company undertakes 
no obligation to publicly update or revise forward-looking information, whether as a result of new 
information, future events or otherwise. 
",,,,NONE,Grant of stock options to officers and directors,,,2025-08-31,2025-11-21
stockwatch,DBG,Doubleview Gold Corp.,2026-02-03,MATERIAL_CHANGE_REPORT_EN,gold and precious metals,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6117362.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\DBG\pdfs\MaterialChange\2026-02-03_DBG_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,4,393,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/DBG/2026-02-03_DBG_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,AGM results and director appointments,,,,,2025-08-31,2025-11-21
stockwatch,DBG,Doubleview Gold Corp.,2026-02-03,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Doubleview shareholders approve all matters at AGSM,https://www.stockwatch.com/News/Item/Z-C!DBG-3781143/C/DBG,3781143,https://www.stockwatch.com/News/Sedardoc/6117352.pdf,,0,0,no,,"2026-02-03 12:42 ET - News Release
Mr. Farshad Shirvani reports
DOUBLEVIEW GOLD CORP ANNOUNCES AGM RESULTS, FILING OF Q3 FINANCIALS AND RESTATEMENT OF Q2 FINANCIALS
Doubleview Gold Corp. has released the results of its annual general and special meeting of shareholders held on Jan. 23, 2026, and its shareholder-approved equity incentive plan. The company also announces the filing of its reviewed financial statement and management discussion and analysis for the nine-month period ended Nov. 30, 2025, and the restatement of the financial statements and management's discussion and analysis for the six-month period ended Aug. 31, 2025.
AGSM results
Shareholders approved all matters submitted for approval, including:
Election of directors
All nominees listed in the company's management information circular were elected as directors of the company. The following individuals were elected to the board of directors:
Farshad Shirvani;
Andrew H. Rees;
Jaime Rainbird;
Christopher Cherry (new director appointed to the board of directors).
Mr. Cherry has over 20 years of corporate accounting and audit experience, along with extensive corporate experience, having held senior level positions for several public mining companies including director, chief financial officer and secretary. Mr. Cherry is a CPA having obtained the chartered accountant designation in February, 2009, and the certified general accountant designation in 2004. In his former experience as an auditor, he held positions with KPMG and Davidson and Co. LLP in Vancouver, where he gained experience as an auditor for junior public companies and an IPO (initial public offering) specialist. Mr. Cherry has a long standing with Doubleview Gold and acting as chief financial officer of the company.
Appointment of auditor
Shareholders approved the appointment of the company's auditor for the ensuing year and authorized the board of directors to fix the auditor's remuneration.
Equity incentive plan
Shareholders approved the company's equity incentive plan as described in the management information circular.
Financial statements
The company would like to announce that it has filed its auditor reviewed financial statements and management's discussion and analysis for the six-month period ended Nov. 30, 2025. The company also announces it has restated its financial statements and management's discussion and analysis for the six-month period ended Aug. 31, 2025. Doubleview has restated, due to errors, in the current and comparative financial information and to ensure that all the disclosures requirements required under international financial reporting standards (IFRS) are properly presented in reviewed financial statements. The additional disclosures relating to related parties and subsequent events have been disclosed in the reviewed financial statements. The restatement and the associated adjustments are not because of any change to Doubleview's operations or business.
About Doubleview Gold Corp.
Doubleview Gold is mineral resource exploration and development company headquartered in Vancouver, B.C., Canada. It is publicly traded on the TSX Venture Exchange (TSX-V: DBG) (OTCQB: DBLVF) (WKN: LA1W038) and (Frankfurt Stock Exchange: 1D4). Doubleview focuses on identifying, acquiring, and financing precious and base metal exploration projects across North America, with a strong emphasis on British Columbia. The company enhances shareholder value through the acquisition and exploration of high-quality gold, copper, cobalt, scandium and silver projects -- collectively critical minerals utilizing cutting-edge exploration techniques.
Doubleview's success is deeply rooted in the unwavering support of its long-term shareholders, supporters and institutional investors. Their continuing commitment has been instrumental in advancing the company's strategic initiatives. Doubleview looks forward to further collaborative growth and development and continues to welcome active participation from its valued stakeholders as the company expands its portfolio and strengthens its position in the critical minerals sector.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\DBG\news_html\2026-02-03.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/DBG/news_html/2026-02-03.html,,NONE,AGM results and financial statements filed,,,2025-08-31,2025-11-21
stockwatch,DBG,Doubleview Gold Corp.,2026-01-29,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6114314.pdf,,0,0,no,,,,,,,,,,2025-08-31,2025-11-21
stockwatch,DBG,Doubleview Gold Corp.,2026-01-29,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6114315.pdf,,0,0,no,,,,,,,,,,2025-08-31,2025-11-21
