source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,LMS,Latin Metals Inc.,2026-03-02,MATERIAL_CHANGE_REPORT_EN,not applicable,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6137738.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LMS\pdfs\MaterialChange\2026-03-02_LMS_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,3,171,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LMS/2026-03-02_LMS_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Latin Metals spin-out completion,,,,,2024-01-31,2024-04-02
stockwatch,LMS,Latin Metals Inc.,2026-02-25,AUDITED_ANNUAL_FINANCIAL_STATEMENTS_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6132364.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LMS,Latin Metals Inc.,2026-02-25,52109FV1_CERTIFICATION_OF_ANNUAL_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6132372.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LMS,Latin Metals Inc.,2026-02-25,52109FV1_CERTIFICATION_OF_ANNUAL_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6132373.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LMS,Latin Metals Inc.,2026-02-25,AB_FORMF1,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6132368.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LMS,Latin Metals Inc.,2026-02-25,MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6132370.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LMS\pdfs\MD&A\2026-02-25_LMS_MD&A_MDA_EN.pdf,33,728,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LMS/2026-02-25_LMS_MD&A_MDA_EN.pdf,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LMS,Latin Metals Inc.,2026-02-25,NEWS_RELEASE_EN,not applicable,NewsRelease,"Latin Metals Inc. Invites Investors to Meet Management at PDAC 2026, the World's Premier Mining Convention",https://www.stockwatch.com/News/Item/Z-C!LMS-3789018/C/LMS,3789018,https://www.stockwatch.com/News/Sedardoc/6131971.pdf,,0,0,no,,"2026-02-25 10:51 ET - News Release
VANCOUVER, British Columbia, Feb.  25, 2026  (GLOBE NEWSWIRE) --
Latin Metals Inc.
(""
Latin Metals
"" or the ""
Company
"")
(TSXV: LMS)
(OTCQB: LMSQF)
is pleased to invite current and prospective investors to meet with management at the Prospectors & Developers Association of Canada (PDAC) Convention 2026, the foremost global mining and mineral exploration conference.
The PDAC Convention 2026 will be held at the Metro Toronto Convention Centre, South Building, located at 222 Bremner Blvd, Toronto, Ontario.
Latin Metals will be exhibiting at
Booth 2329
and welcomes shareholders, institutional investors, analysts, and industry participants to connect directly with management during the conference. The Company will also be featuring
Latin Explore Inc.
, its newly launched copper-gold exploration company.
Event Details
PDAC 2026 – Metro Toronto Convention Centre, South Building
222 Bremner Blvd, Toronto, Ontario
Sunday, March 1: 10:00 am to 5:00 pm
Monday, March 2: 10:00 am to 5:00 pm
Tuesday, March 3: 10:00 am to 5:00 pm
Wednesday, March 4: 9:00 am to 12:00 pm
Location: Investors Exchange Booth 2329
What Investors Can Expect
Investors visiting Booth 2329 can expect updates on:
Partner-funded diamond drilling currently underway
at the
Cerro Bayo Project
in Argentina, where option partner
Daura Gold Corp.
has commenced a ~1,500 metre Phase I drill program targeting 15 high-priority gold-silver targets (22 drill holes) defined through geochemical and IP geophysical surveys
Exploration progress across Latin Metals’ diversified gold, silver, and copper portfolio in Peru and Argentina
The Company’s disciplined prospect generator model, designed to minimize shareholder dilution while retaining exposure to exploration success
The successful completion of the Latin Explore spin-out, establishing a focused copper-gold exploration growth vehicle
2026 exploration catalysts and anticipated news flow
Cerro Bayo is located within the prolific Deseado Massif and represents one of several active projects advancing under partner-funded agreements. All drilling expenditures at Cerro Bayo are being funded by Daura Gold under the option agreement, consistent with Latin Metals’ strategy of leveraging partnerships to advance projects while preserving capital.
Why This Matters to Investors
Latin Metals enters PDAC 2026 with:
Active partner-funded drilling underway
A strengthened balance sheet following recent warrant exercises
Multiple projects advancing across Peru and Argentina
The successful launch of Latin Explore as a standalone copper-gold exploration company
The creation of Latin Explore enables parallel value creation — allowing Latin Metals to continue executing its diversified prospect generator strategy while providing shareholders with dedicated exposure to copper-gold exploration growth through a separate vehicle.
Management believes 2026 represents one of the most catalyst-rich periods in the Company’s recent history.
Management Commentary
“PDAC is one of the most important gatherings in the global mining industry, and we look forward to engaging directly with our shareholders and the broader investment community,” said Keith Henderson, President and Chief Executive Officer of Latin Metals. “With partner-funded drilling underway at Cerro Bayo, a strengthened treasury, and the successful launch of Latin Explore as a focused copper-gold exploration company, we believe 2026 represents one of the most catalyst-driven years for Latin Metals. We welcome investors to visit us at Booth 2329 to discuss the momentum building across our portfolio.”
We look forward to seeing you there.
For additional information about the PDAC Convention, visit:
https://pdac.ca/convention-2026
About Latin Metals
Latin Metals Inc. is a copper, gold and silver exploration company operating in Peru and Argentina under a prospect generator model, minimizing risk and dilution while maximizing discovery potential. The company secures option agreements with partners to fund exploration. This approach provides early-stage exposure to high-value mineral assets. Latin Metals is actively seeking new strategic partners to advance its portfolio.
Stay Connected
Follow Latin Metals on
YouTube
,
X
,
Facebook
,
LinkedIn
and
Instagram
to stay informed on our latest developments, exploration updates, and corporate news.
About Latin Explore
Latin Explore Inc. is a copper-gold exploration company focused on advancing high-quality projects in South America. The company currently holds 100%-owned copper exploration assets in Peru and is focused on exploration, drilling, and discovery.
Stay Connected with Latin Explore
Follow Latin Explore on
X
, and
LinkedIn
to stay informed on our latest developments, exploration updates, and corporate news.
Upcoming Events
Latin Metals is pleased to announce its participation in several Q1 2026 industry conferences, providing a platform to connect with investors, industry leaders, and potential partners:
PDAC
–
Toronto, March 1–4, 2026
121 London
–
London, UK, May 11-12, 2026
Deutsche Goldmesse
–
Frankfurt, Germany, May 15-16, 2026
These events offer valuable opportunities to share Latin Metals’ exploration progress in Argentina and Peru, highlight the advantages of its low-dilution prospect generator model, and explore strategic investment and partnership opportunities across its gold, copper, and silver-focused portfolio.
Qualified Person
Eduardo Leon, QP, is the Company's qualified person as defined by NI 43-101 and has reviewed the scientific and technical information that forms the basis for portions of this news release. He has approved the disclosure herein. Mr. Leon is not independent of the Company, as he is an employee of the Company and holds securities of the Company.
On Behalf of the Board of Directors of
LATIN METALS INC.
“
Keith Henderson
”
President & CEO
For further details on the Company, readers are referred to the Company's website (
www.latin-metals.com
) and its Canadian regulatory filings on SEDAR+ at
www.sedarplus.com
.
For further information, please contact:
Keith Henderson
Suite 870 – 320 Granville Street,
Vancouver, BC, V6C 1S9
Elyssia Patterson, VP Investor Relations
Email:
elyssia@latin-metals.com
Phone: 778-683-4324
Neither TSX Venture Exchange nor its Regulation Services Provider (as that term is defined in the policies of the TSX Venture Exchange) accepts responsibility for the adequacy or accuracy of this news release.
Cautionary Note Regarding Forward-Looking Statements
This news release contains forward-looking statements and forward-looking information (collectively, ""forward-looking statements"") within the meaning of applicable Canadian and U.S. securities legislation, including the United States Private Securities Litigation Reform Act of 1995. All statements, other than statements of historical fact, included herein including, without limitation, the anticipated content, commencement, timing and cost of exploration programs in respect of the Property and otherwise, anticipated exploration program results from exploration activities, and the Company's expectation that it will be able to enter into agreements to acquire interests in additional mineral properties, the discovery and delineation of mineral deposits/resources/reserves on the Properties, and the anticipated business plans and timing of future activities of the Company, are forward-looking statements. Although the Company believes that such statements are reasonable, it can give no assurance that such expectations will prove to be correct. Often, but not always, forward looking information can be identified by words such as ""pro forma"", ""plans"", ""expects"", ""may"", ""should"", ""budget"", ""scheduled"", ""estimates"", ""forecasts"", ""intends"", ""anticipates"", ""believes"", ""potential"" or variations of such words including negative variations thereof, and phrases that refer to certain actions, events or results that may, could, would, might or will occur or be taken or achieved. In making the forward-looking statements in this news release, the Company has applied several material assumptions, including without limitation, market fundamentals will result in sustained precious and base metals demand and prices, the receipt of any necessary permits, licenses and regulatory approvals in connection with the future development of the Company’s Argentine projects in a timely manner, the availability of financing on suitable terms for the development, construction and continued operation of the Company projects, and the Company’s ability to comply with environmental, health and safety laws.
Forward-looking statements involve known and unknown risks, uncertainties and other factors which may cause the actual results, performance or achievements of the Company to differ materially from any future results, performance or achievements expressed or implied by the forward-looking information. Such risks and other factors include, among others, operating and technical difficulties in connection with mineral exploration and development and mine development activities at the Properties, including the geological mapping, prospecting and sampling programs being proposed for the Properties (the ""Programs""), actual results of exploration activities, including the Programs, estimation or realization of mineral reserves and mineral resources, the timing and amount of estimated future production, costs of production, capital expenditures, the costs and timing of the development of new deposits, the availability of a sufficient supply of water and other materials, requirements for additional capital, future prices of precious metals and copper, changes in general economic conditions, changes in the financial markets and in the demand and market price for commodities, possible variations in ore grade or recovery rates, possible failures of plants, equipment or processes to operate as anticipated, accidents, labour disputes and other risks of the mining industry, delays or the inability of the Company to obtain any necessary permits, consents or authorizations required, any current or future property acquisitions, financing or other planned activities, changes in laws, regulations and policies affecting mining operations, hedging practices, currency fluctuations, title disputes or claims limitations on insurance coverage and the timing and possible outcome of pending litigation, environmental issues and liabilities, risks related to joint venture operations, and risks related to the integration of acquisitions, as well as those factors discussed under the heading as well as those factors discussed under the heading “Risk Factors” in the Company’s annual management’s discussion and analysis and other filings of the Company with the Canadian Securities Authorities, copies of which can be found under the Company’s profile on the SEDAR+ website at
www.sedarplus.ca
.
Readers are cautioned not to place undue reliance on forward looking statements. Except as otherwise required by law, the Company undertakes no obligation to update any of the forward-looking information in this news release or incorporated by reference herein.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LMS\news_html\2026-02-25.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LMS/news_html/2026-02-25.html,,NONE,Invitation to meet management at PDAC 2026,,,2024-01-31,2024-04-02
stockwatch,LMS,Latin Metals Inc.,2026-02-19,OTHER_SECURITYHOLDERS_DOCUMENTS_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6127675.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LMS,Latin Metals Inc.,2026-02-19,OTHER_SECURITYHOLDERS_DOCUMENTS_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6127676.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LMS,Latin Metals Inc.,2026-02-18,NEWS_RELEASE_EN,not applicable,NewsRelease,"Latin Metals, Latin Explore close plan of arrangement",https://www.stockwatch.com/News/Item/Z-C!LMS-3786468/C/LMS,3786468,https://www.stockwatch.com/News/Sedardoc/6126547.pdf,,0,0,no,,"2026-02-18 20:48 ET - News Release
Mr. Keith Henderson reports
LATIN METALS AND LATIN EXPLORE ANNOUNCE CLOSING OF SPIN-OUT ARRANGEMENT
Latin Metals Inc. and Latin Explore Inc. have updated the previously announced spinout transaction of Latin Metals' Para copper project and Auquis copper project into Latin Explore by way of a court-approved plan of arrangement under the provisions of the Business Corporations Act (British Columbia), which has closed, effective Feb. 18, 2026.
Arrangement
In accordance with the arrangement, Latin Metals shareholders will each receive, in exchange for each Latin Metals common share held immediately prior to the effective time, one new common share of Latin Metals and 0.07904222 of a Latin Explore common share. The final exchange ratio is based on 138,457,650 Latin Metals shares issued and outstanding, and 10,944,000 Latin Explore shares being distributed to Latin Metals shareholders.
At market close on Feb. 19, Latin Metals shares, which were exchanged on a one-for-one basis for new Latin Metals shares, will delist from the TSX Venture Exchange, and, at market open on Feb. 20, the new Latin Metals shares will list and begin trading with Cusip and ISIN 51830P103 and CA51830P1036, respectively. The Latin Metals ticker symbol will continue to be LMS.
Latin Explore is now a reporting issuer in British Columbia and Alberta, and has applied to list the Latin Explore shares (TSX Venture Exchange symbol: LXE) on the TSX-V with approval pending.
Concurrent financing and share exchange
A non-brokered private placement of 30 million subscription receipts was completed by 1559749 B.C. Ltd. (Finco) for aggregate gross proceeds of $3-million at a price of 10 cents per subscription receipt. Each subscription receipt was converted into a unit of Finco, with each Finco unit consisting of one common share in the capital of Finco and one-half of one common share purchase warrant of Finco. Each Finco warrant entitled the holder thereof to purchase one Finco share at a price of 20 cents per share at any time on or before 4 p.m. Vancouver time on Dec. 23, 2027. Finco paid finders' fees on a portion of the concurrent financing equal to up to 7 per cent of the total gross proceeds raised and non-transferable finders' warrants equal to up to 7 per cent of the total number of subscription receipts issued. Each finder's warrant was exercisable into one Finco share at an exercise price of 10 cents per Finco share for a period of 12 months from the date of issuance.
Subsequently, Latin Explore and Finco completed a share exchange whereby each Finco share was exchanged for one Latin Explore share, and each Finco warrant and finder's warrant were exchanged for a Latin Explore share purchase warrant entitling the holder thereof to receive one Latin Explore share on the schedule and terms established at the time of the respective issuances of such Finco warrants and finders' warrants. The net proceeds from the concurrent financing are intended to be used primarily by Latin Explore for its work programs and for general working capital purposes.
Latin Explore structure
Latin Explore has 43.68 million shares issued and outstanding, including 10,944,000 Latin Explore shares issued to Latin Metals shareholders (25 per cent), 30 million Latin Explore shares issued to the participants in the concurrent financing (69 per cent) and 2,736,000 Latin Explore shares issued to Latin Metals (6 per cent). A total of 15,749,000 warrants have been issued in connection with the concurrent financing, including 749,000 finders' warrants.
Latin Explore has granted 3.1 million common share stock options to certain directors, officers and consultants of Latin Explore. The options entitle the holder to purchase Latin Explore shares at a price of 10 cents per share for a period of 36 months from the grant date. The options were granted in accordance with Latin Explore's omnibus share incentive plan, subject to regulatory approval. Latin Explore has set options representing 7.0 per cent of the issued and outstanding stock.
Filing of technical report
An amended independent technical report, prepared in accordance with National Instrument 43-101 (Standards of Disclosure for Mineral Projects) in respect of the Para project, has been filed on SEDAR+. The technical report was prepared by Catherine Fitzgerald, MSc, PGeo, of SLR Consulting (Canada) Ltd., for Latin Metals and Latin Explore, and is entitled ""Amended NI 43-101 Technical Report for the Para Copper-Molybdenum Project, Lima Department, Peru,"" with an effective date of Dec. 12, 2025, and a signing date of Feb. 8, 2026. The amended technical report is available on Latin Metals' and Latin Explore's SEDAR+ profile and on the Latin Metals website. The Para project will be the qualifying property (within the meaning of TSX-V policies) for the Latin Explore listing application with the TSX-V.
Information regarding the exchange of securities
Registered shareholders -- to receive the New Latin Metals shares and Latin Explore shares, registered Latin Metals shareholders must complete, execute and deposit with Computershare Investor Services Inc., the depositary appointed in respect of the arrangement, the letter of transmittal previously mailed to the registered Latin Metals shareholders and their respective certificate(s)/direct registration system advice(s) representing their Latin Metals shares, and any other required documents and instruments, all in accordance with the instructions provided in the letter of transmittal. The letter of transmittal is also available on Latin Metals' website and under Latin Metals' SEDAR+ profile.
Non-registered shareholders -- non-registered Latin Metals shareholders whose Latin Metals shares are registered in the name of a broker, investment dealer, bank, or other intermediary or nominee should contact their intermediary for assistance in depositing their Latin Metals shares.
Further information on the arrangement can be found in Latin Metals' management information circular dated Dec. 12, 2025, filed on Latin Metals' website and on its SEDAR+ profile.
About Latin Metals Inc. and Latin Explore Inc.
Latin Metals is a copper, gold and silver exploration company operating in Peru and Argentina under a prospect generator model, minimizing risk and dilution while maximizing discovery potential. The company secures option agreements with partners to finance exploration. This approach provides early-stage exposure to high-value mineral assets. Latin Metals is actively seeking new strategic partners to advance its portfolio.
Latin Explore is a copper-gold exploration company focused on advancing high-quality projects in South America. The company currently holds 100-per-cent-owned copper exploration assets in Peru, and is focused on exploration, drilling and discovery.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LMS\news_html\2026-02-18.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LMS/news_html/2026-02-18.html,,NONE,Closing of spin-out arrangement with Latin Explore,,,2024-01-31,2024-04-02
