source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,BOL,Bold Ventures Inc.,2026-03-02,AB_FORMF1,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6138740.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,BOL,Bold Ventures Inc.,2026-03-02,ON_FORMF1,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6138742.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,BOL,Bold Ventures Inc.,2026-03-02,52109FV1_CERTIFICATION_OF_ANNUAL_FILINGS_CEO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6138727.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,BOL,Bold Ventures Inc.,2026-03-02,52109FV1_CERTIFICATION_OF_ANNUAL_FILINGS_CFO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6138730.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,BOL,Bold Ventures Inc.,2026-03-02,MDA_EN,metals and minerals - mining,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6138704.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BOL\pdfs\MD&A\2026-03-02_BOL_MD&A_MDA_EN.pdf,23,979,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BOL/2026-03-02_BOL_MD&A_MDA_EN.pdf,,,,,,,,,2023-12-31,2024-03-30
stockwatch,BOL,Bold Ventures Inc.,2026-03-02,AUDITED_ANNUAL_FINANCIAL_STATEMENTS_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6138681.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,BOL,Bold Ventures Inc.,2026-03-01,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,"Bold Ventures Signs Agreement to Acquire 6 Key Claims Contiguous to its Joutel Property, Quebec",https://www.stockwatch.com/News/Item/Z-C!BOL-3791015/C/BOL,3791015,https://www.stockwatch.com/News/Sedardoc/6137118.pdf,,0,0,no,,"2026-03-01 08:01 ET - News Release
Toronto, Ontario--(Newsfile Corp. - March 1, 2026) - Bold Ventures Inc. (TSXV: BOL) (the ""
Company
"" or ""
Bold
"") is pleased to announce that it has signed an agreement dated February 27, 2026 (the ""
Vending Agreement
"") with 2099840 Ontario Inc. o/a Emerald Geological Services (""
EGS
"") to acquire 6 staked mining claims (the ""
Additional Claims
"") contiguous to its Joutel Property, located 140 km northwest of Val d'Or, Quebec in consideration for the issuance of 750,000 common shares of the Company to EGS (the ""
Transaction
""). EGS is a non-arm's length party controlled by Bruce MacLachlan, President and COO of Bold, and Coleman Robertson, VP Exploration of Bold. The Additional Claims cover versatile time-domain electromagnetic (VTEM
TM
) geophysical anomalies from a 2012 survey carried out on the Joutel Property by Bold. Anomalous area 3B (see
Figure 1
) is associated with historical diamond drill hole intercepts of 0.83% Nickel over 3.7 metres including 1.27% nickel over 2.3 metres, as well as 0.51 g/t gold over 3.05 metres (see
Figure 2
). The Vending Agreement and Transaction are subject to the approval of the TSX Venture Exchange.
Bold CEO David Graham commented that ""we are pleased to have re-assembled our Joutel claims. Our 2012 VTEM survey outlined a number of anomalies that we believe are prospective for Nickel (Ni), Copper (Cu), Zinc (Zn), Gold (Au) and Silver (Ag). We are excited to explore these anomalies to generate what we anticipate will be high potential drill targets.""
Bruce MacLachlan, President and COO of Bold Ventures and President and CEO of EGS, stated: ""The proposed acquisition of the EGS claims is a major step forward for Bold's Joutel project, which will become a consolidated land package of 58 claims comprising 3217 hectares covering numerous geophysical anomalies associated with known base and precious metal mineralization. We anticipate a ground geophysical survey this winter to better define these geophysical anomalies in advance of drilling.""
The transaction is a related party transaction as EGS is a non-arm's length party controlled by Bruce MacLachlan and Coleman Robertson, two insiders of the Company. The related party transaction is exempt from the valuation and minority shareholder approval requirements of Multilateral Instrument 61-101 (""
MI 61-101
"") by virtue of the exemptions contained in sections 5.5(a) and 5.7(1) (a) of MI 61-101 in that the fair market value of the consideration for the securities of the Company to be issued to EGS does not exceed 25% of its market capitalization.
Figure 1: Joutel property claims on 2012 VTEM
TM
conductors.
To view an enhanced version of this graphic, please visit:
https://images.newsfilecorp.com/files/5762/285801_7b9b5a63046319eb_001full.jpg
Figure 2: Historical diamond drill hole intersections on EGS claims
To view an enhanced version of this graphic, please visit:
https://images.newsfilecorp.com/files/5762/285801_7b9b5a63046319eb_002full.jpg
About the Joutel Property
The Joutel claim group of Bold Ventures Inc. (""
Bold
"") is located approximately 140 km northwest of the city of Val d'Or, Québec, and 6 kilometres south-southeast of the historical mining town of Joutel, Québec, in Poirier and Dalet Townships (see
Figure 3
). The property currently consists of 52 staked claims.
The property area was previously worked by Bold in 2012, when Bold flew a versatile time domain electromagnetic (VTEM
TM
) survey over the area. Bold let the Additional Claims lapse in 2014 and the Additional Claims were acquired by EGS before Bruce MacLachlan and Coleman Robertson became insiders of Bold. In the northern part of the current property, the 2012 survey identified anomalous area 3B which is spatially associated with historical values in diamond drill core of 0.83% nickel over 3.7 metres including 1.27% nickel over 2.3 metres, as well as 0.51 g/t gold over 3.05 metres (see
Figure 1
and
Figure 2
). Historical holes also intersected anomalous copper and zinc. In the southern part of the property where anomalous areas 3C and 3D were identified by the airborne survey, there is one drill hole totaling 155 meters recorded in the Quebec drillhole database (
https://sigeom.mines.gouv.qc.ca
).
Known deposits within 11 kilometres of the northern property boundary include the past-producing Joutel gold mine, the Poirier base metal mine, the Joutel copper deposit, and the Explo-Zinc base metal deposit (see
Figure 3
). For more information refer to the
Joutel Property information page
on Bold's website.
Figure 3: Joutel property nearby deposits
To view an enhanced version of this graphic, please visit:
https://images.newsfilecorp.com/files/5762/285801_7b9b5a63046319eb_003full.jpg
The technical information in this news release was reviewed and approved by Coleman Robertson, B.Sc., P. Geo., the Company's V.P. Exploration and a qualified person (QP) for the purposes of NI 43-101.
Bold Ventures management believes our suite of Battery, Critical and Precious Metals exploration projects are an ideal combination of exploration potential meeting future demand
. Our target commodities are comprised of: Copper (
Cu
), Nickel (
Ni
), Lead (
Pb
), Zinc (
Zn
), Gold (
Au
), Silver (
Ag
), Platinum (
Pt
), Palladium (
Pd
) and Chromium (
Cr
). The Critical Metals list and a description of the Provincial and Federal electrification plans are posted on the Bold website
here
.
About Bold Ventures Inc.
The Company explores for Precious, Battery and Critical Metals in Canada. Bold is exploring properties located in active gold and battery metals camps in the Thunder Bay and Wawa regions of Ontario. Bold also holds significant assets located within and around the emerging multi-metals district dubbed the Ring of Fire region, located in the James Bay Lowlands of Northern Ontario.
For additional information about Bold Ventures and our projects please visit
boldventuresinc.com
or contact us at 416-864-1456 or email us at
info@boldventuresinc.com
.
""Bruce A MacLachlan""
Bruce MacLachlan
President and COO
""David B Graham""
David Graham
CEO
Direct line: (705) 266-0847
Email:
bruce@boldventuresinc.com
Neither TSX Venture Exchange nor its Regulation Services Provider (as that term is defined in the policies of the TSX Venture Exchange) accepts responsibility for the adequacy or accuracy of this release.
Cautionary Note Regarding Forward-Looking Statements: This Press Release contains forward-looking statements that involve risks and uncertainties, which may cause actual results to differ materially from the statements made. When used in this document, the words ""may"", ""would"", ""could"", ""will"", ""intend"", ""plan"", ""anticipate"", ""believe"", ""estimate"", ""expect"" and similar expressions are intended to identify forward-looking statements. Such statements reflect our current views with respect to future events and are subject to such risks and uncertainties. Many factors could cause our actual results to differ materially from the statements made, including those factors discussed in filings made by us with the Canadian securities regulatory authorities. Should one or more of these risks and uncertainties, such actual results of current exploration programs, the general risks associated with the mining industry, the price of gold and other metals, currency and interest rate fluctuations, increased competition and general economic and market factors, occur or should assumptions underlying the forward looking statements prove incorrect, actual results may vary materially from those described herein as intended, planned, anticipated, or expected. We do not intend and do not assume any obligation to update these forward-looking statements, except as required by law. Shareholders are cautioned not to put undue reliance on such forward-looking statements.
NOT FOR DISTRIBUTION TO U.S. NEWSWIRE SERVICES OR FOR DISSEMINATION
IN THE UNITED STATES
To view the source version of this press release, please visit
https://www.newsfilecorp.com/release/285801
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BOL\news_html\2026-03-01.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BOL/news_html/2026-03-01.html,,NONE,Agreement to acquire additional claims near Joutel,,,2023-12-31,2024-03-30
stockwatch,BOL,Bold Ventures Inc.,2026-01-30,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6115773.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,BOL,Bold Ventures Inc.,2026-01-25,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,CORRECTION FROM SOURCE: AME Roundup Attendees Can Visit Bold Ventures Inc. Exhibition Booth 1624 on January 28th and 29th,https://www.stockwatch.com/News/Item/Z-C!BOL-3777546/C/BOL,3777546,https://www.stockwatch.com/News/Sedardoc/6108345.pdf,,0,0,no,,"2026-01-25 12:01 ET - News Release
Toronto, Ontario--(Newsfile Corp. - January 25, 2026) - Bold Ventures Inc. (TSXV: BOL) (the ""Company"" or ""Bold"") will be exhibiting at the AME Roundup Conference from booth Number 1624 on January 28
th
and 29
th
rather than January 25
th
and 26
th
as previously reported in our
news release dated January 24, 2026
.
Conference attendees are invited to visit Bold's exhibition booth where they will find rock samples, photos and maps of our critical and precious metals exploration properties. Bold Management will be present to provide updates of our ongoing exploration efforts (see Bold
news release dated January 12, 2026
).
Additionally, today (January 25
th
) and tomorrow (January 26
th
) attendees at the Vancouver Resource Investment Conference may visit our booth number 512.
Bold Ventures management believes our suite of Battery, Critical and Precious Metals exploration projects are an ideal combination of exploration potential meeting future demand
. Our target commodities are comprised of: Copper (
Cu
), Nickel (
Ni
), Lead (
Pb
), Zinc (
Zn
), Gold (
Au
), Silver (
Ag
), Platinum (
Pt
), Palladium (
Pd
) and Chromium (
Cr
). The Critical Metals list and a description of the Provincial and Federal electrification plans are posted on the Bold website
here
.
About Bold Ventures Inc.
The Company explores for Precious, Battery and Critical Metals in Canada. Bold is exploring properties located in active gold and battery metals camps in the Thunder Bay and Wawa regions of Ontario. Bold also holds significant assets located within and around the emerging multi-metals district dubbed the Ring of Fire region, located in the James Bay Lowlands of Northern Ontario.
For additional information about Bold Ventures and our projects please visit
boldventuresinc.com
or contact us at 416-864-1456 or email us at
info@boldventuresinc.com
.
""Bruce A MacLachlan""
""David B Graham""
Bruce MacLachlan
David Graham
President and COO
CEO
Direct line: (705) 266-0847
Email:
bruce@boldventuresinc.com
Neither TSX Venture Exchange nor its Regulation Services Provider (as that term is defined in the policies of the TSX Venture Exchange) accepts responsibility for the adequacy or accuracy of this release.
Cautionary Note Regarding Forward-Looking Statements: This Press Release contains forward-looking statements that involve risks and uncertainties, which may cause actual results to differ materially from the statements made. When used in this document, the words ""may"", ""would"", ""could"", ""will"", ""intend"", ""plan"", ""anticipate"", ""believe"", ""estimate"", ""expect"" and similar expressions are intended to identify forward-looking statements. Such statements reflect our current views with respect to future events and are subject to such risks and uncertainties. Many factors could cause our actual results to differ materially from the statements made, including those factors discussed in filings made by us with the Canadian securities regulatory authorities. Should one or more of these risks and uncertainties, such actual results of current exploration programs, the general risks associated with the mining industry, the price of gold and other metals, currency and interest rate fluctuations, increased competition and general economic and market factors, occur or should assumptions underlying the forward looking statements prove incorrect, actual results may vary materially from those described herein as intended, planned, anticipated, or expected. We do not intend and do not assume any obligation to update these forward-looking statements, except as required by law. Shareholders are cautioned not to put undue reliance on such forward-looking statements.
NOT FOR DISTRIBUTION TO U.S. NEWSWIRE SERVICES OR FOR DISSEMINATION IN THE UNITED STATES
To view the source version of this press release, please visit
https://www.newsfilecorp.com/release/281536
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BOL\news_html\2026-01-25.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BOL/news_html/2026-01-25.html,,NONE,Exhibition details for AME Roundup Conference,,,2023-12-31,2024-03-30
stockwatch,BOL,Bold Ventures Inc.,2026-01-24,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Bold Ventures Announces that President Bruce MacLachlan will be Participating in Three Interviews at the Vancouver Resource Investment Conference,https://www.stockwatch.com/News/Item/Z-C!BOL-3777545/C/BOL,3777545,https://www.stockwatch.com/News/Sedardoc/6108312.pdf,,0,0,no,,"2026-01-24 14:21 ET - News Release
Toronto, Ontario--(Newsfile Corp. - January 24, 2026) - Bold Ventures Inc. (TSXV: BOL) (the ""Company"" or ""Bold"") is pleased to report that Bruce MacLachlan, President and COO of the Company, will be interviewed in Vancouver to familiarize the markets with up-to-date information on Bold's projects and current operations. The interviews will be held at the Vancouver Convention Center West Building during the Vancouver Resource Investment Conference (""VRIC""), where the Company will also have a booth (number 512).
Interviews will be conducted by: Investing News Network (INN) on Sunday, January 25
th
(11:20 a.m. PT, Meeting Room 113); Blue Sun Productions Inc. (for Business Television - BTV) on Sunday, January 25
th
(2:00 p.m. PT, Meeting Room 108); and by Red Cloud TV on Monday, January 26
th
(10:45 a.m. PT, Booth 1011).
Bruce MacLachlan, President and COO of Bold, stated: ""We are excited to update current and potential investors on recent developments at Bold's projects and our future plans. We also hope to engage with many of them at our VRIC booth (number 512) as well as our booth number 1624 at the AME Round Up Conference on January 25
th
and 26
th
."" The Company and Investing News Network and have an ongoing investor awareness campaign that runs through May of 2026 (see
Bold's News Release May 26, 2025
).
The  advertising and investor awareness campaign agreement with Blue Sun Productions Inc., through its Business Television BTV platform (""Blue Sun""), and Red Cloud Financial Services Inc., through its Red Cloud Media and TV platforms (""Red Cloud"") will include interviews during the VRIC and efforts to continue to build Bold's name recognition and corporate message via digital and social media platforms resulting in greater market awareness of Bold's high potential projects and management's experience and successful track record of discoveries.
The Company will pay $4,100 to Blue Sun and $2,000 to Red Cloud for the advertising services, which will conclude at the end of the VRIC. Both Blue Sun and Red Cloud are arm's length parties to the Company and neither Blue Sun nor Red Cloud has any interest, directly or indirectly, in the Company or its securities, or any right or intent to acquire such an interest.
For over two decades, BTV has profiled emerging publicly traded companies in all sectors with top industry analysts across Canada and the USA. Red Cloud Media is a growth-driven digital agency geared towards servicing clients and providing thought-provoking conversations from industry leaders and influencers across the mining sector.
Bold Ventures management believes our suite of Battery, Critical and Precious Metals exploration projects are an ideal combination of exploration potential meeting future demand
. Our target commodities are comprised of: Copper (
Cu
), Nickel (
Ni
), Lead (
Pb
), Zinc (
Zn
), Gold (
Au
), Silver (
Ag
), Platinum (
Pt
), Palladium (
Pd
) and Chromium (
Cr
). The Critical Metals list and a description of the Provincial and Federal electrification plans are posted on the Bold website
here
.
About Bold Ventures Inc.
The Company explores for Precious, Battery and Critical Metals in Canada. Bold is exploring properties located in active gold and battery metals camps in the Thunder Bay and Wawa regions of Ontario. Bold also holds significant assets located within and around the emerging multi-metals district dubbed the Ring of Fire region, located in the James Bay Lowlands of Northern Ontario.
For additional information about Bold Ventures and our projects please visit
boldventuresinc.com
or contact us at 416-864-1456 or email us at
info@boldventuresinc.com
.
""Bruce A MacLachlan""
""David B Graham""
Bruce MacLachlan
David Graham
President and COO
CEO
Direct line: (705) 266-0847
Email:
bruce@boldventuresinc.com
Neither TSX Venture Exchange nor its Regulation Services Provider (as that term is defined in the policies of the TSX Venture Exchange) accepts responsibility for the adequacy or accuracy of this release.
Cautionary Note Regarding Forward-Looking Statements: This Press Release contains forward-looking statements that involve risks and uncertainties, which may cause actual results to differ materially from the statements made. When used in this document, the words ""may"", ""would"", ""could"", ""will"", ""intend"", ""plan"", ""anticipate"", ""believe"", ""estimate"", ""expect"" and similar expressions are intended to identify forward-looking statements. Such statements reflect our current views with respect to future events and are subject to such risks and uncertainties. Many factors could cause our actual results to differ materially from the statements made, including those factors discussed in filings made by us with the Canadian securities regulatory authorities. Should one or more of these risks and uncertainties, such actual results of current exploration programs, the general risks associated with the mining industry, the price of gold and other metals, currency and interest rate fluctuations, increased competition and general economic and market factors, occur or should assumptions underlying the forward looking statements prove incorrect, actual results may vary materially from those described herein as intended, planned, anticipated, or expected. We do not intend and do not assume any obligation to update these forward-looking statements, except as required by law. Shareholders are cautioned not to put undue reliance on such forward-looking statements.
NOT FOR DISTRIBUTION TO U.S. NEWSWIRE SERVICES OR FOR DISSEMINATION IN THE UNITED STATES
To view the source version of this press release, please visit
https://www.newsfilecorp.com/release/281522
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BOL\news_html\2026-01-24.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BOL/news_html/2026-01-24.html,,NONE,Participation in Vancouver Resource Investment Conference,,,2023-12-31,2024-03-30
