source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,LCE,Century Lithium Corp.,2026-03-11,NEWS_RELEASE_EN,not applicable,NewsRelease,Century Lithium increases financing to $7-million,https://www.stockwatch.com/News/Item/Z-C!LCE-3795027/C/LCE,3795027,https://www.stockwatch.com/News/Sedardoc/6145007.pdf,,0,0,no,,"2026-03-11 22:28 ET - News Release
Mr. William Willoughby reports
CENTURY LITHIUM ANNOUNCES UPSIZE OF BROKERED LIFE FINANCING TO C$7,000,000
Century Lithium Corp., further to its news release dated March 10, 2026, as a result of strong investor demand, has increased the size of its previously announced brokered private placement from $5-million to $7-million, consisting of  14,893,617 units of the company at a price of 47 cents per unit. The offering will be conducted on a commercially reasonable best efforts basis by A.G.P. Canada Investments ULC, acting as sole agent and bookrunner for the offering, and A.G.P./Alliance Global Partners, acting as sole U.S. placement agent for the offering.
Each unit will consist of one common share in the capital of the company and one share purchase warrant. Each warrant will entitle the holder to acquire one additional share at a price of 65 cents for a period of five years from the closing of the offering.
The units will be offered by way of the listed issuer financing exemption under Part 5A of National Instrument 45-106, Prospectus Exemptions, as amended by Coordinated Blanket Order 45-935, Exemptions from Certain Conditions of the Listed Issuer Financing Exemption, in each of the provinces of Canada (except Quebec). Pursuant to NI 45-106 and the order, the units issued to Canadian residents under the offering will not be subject to resale restrictions. The company is relying on the exemptions in Part 5A of NI 45-106 and the order, and is qualified to distribute securities in reliance on the exemptions included therein.
The units may also be offered to persons in the United States pursuant to Rule 506(b) of Regulation D under the United States Securities Act of 1933, as amended, and similar exemptions under applicable U.S. state securities laws, as well as in offshore jurisdictions as agreed upon by the company and the agent pursuant to relevant prospectus or registration exemptions under any domestic securities laws, and may have resale restrictions in accordance with applicable laws.
In connection with the offering, the agent will receive a cash commission equal to 7.0 per cent of the gross proceeds of the offering and the company will issue to the agent non-transferable warrants representing 3.0 per cent of the aggregate number of units sold pursuant to the offering. Each broker warrant will entitle the holder to purchase one share of the company at a price of 65 cents for a period of five years from the closing of the offering.
The company intends to use the net proceeds raised from the offering to primarily carry out the next phase of technical and permitting work on the company's Angel Island lithium project in Esmeralda county, Nevada, to support continuing operations and to finance general working capital needs.
The offering is expected to close on or about March 16, 2026, or such other date that is within 45 days from the date of this news release, as the company and the agent may determine. The offering remains subject to certain conditions, including, but not limited to, the receipt of all necessary approvals and compliance with the policies of the TSX Venture Exchange.
There is an offering document related to the offering that will be made available under the company's profile on SEDAR+. The offering document will also be made available on the company's website. Prospective investors should read this offering document before making an investment decision.
About Century Lithium Corp.
Century Lithium is an advanced-stage lithium development company focused on its 100-per-cent-owned Angel Island lithium project in Esmeralda county, Nevada. Angel Island hosts one of the largest known sedimentary lithium deposits in the United States and is designed with an integrated, end-to-end process for the on-site production of battery-grade lithium carbonate to support the electric vehicle and battery storage markets.
The company has developed a patent-pending process that incorporates hydrochloric acid leaching combined with direct lithium extraction to produce battery-grade lithium carbonate. As part of the integrated chlor-alkali process, Angel Island is designed to produce sodium hydroxide as a co-product, with planned surplus sales expected to lower operating costs, reduce reliance on externally sourced reagents and minimize environmental impacts.
Century Lithium is currently advancing Angel Island through the permitting process.
Century Lithium trades on the TSX Venture Exchange under the symbol LCE, on the OTCQX under the symbol CYDVF and on the Frankfurt Stock Exchange under the symbol C1Z.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LCE\news_html\2026-03-11.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LCE/news_html/2026-03-11.html,,NONE,Financing increase for Angel Island project,,,2024-01-31,2024-04-02
stockwatch,LCE,Century Lithium Corp.,2026-03-11,OFFERING_DOCUMENT_AMENDED_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6144967.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LCE,Century Lithium Corp.,2026-03-10,NEWS_RELEASE_EN,not applicable,NewsRelease,"CENTURY LITHIUM ANNOUNCES BROKERED LIFE FINANCING OF UP TO C$5,000,000",https://www.stockwatch.com/News/Item/Z-C!LCE-3794480/C/LCE,3794480,https://www.stockwatch.com/News/Sedardoc/6144717.pdf,,0,0,no,,"2026-03-10 18:18 ET - News Release
CENTURY LITHIUM ANNOUNCES BROKERED LIFE FINANCING OF UP TO C$5,000,000
Canada NewsWire
VANCOUVER, BC, March 10, 2026
/THIS NEWS RELEASE IS NOT FOR DISSEMINATION IN THE UNITED STATES OR FOR DISTRIBUTION TO U.S. NEWSWIRE SERVICES/
VANCOUVER, BC
,
March 10, 2026
/CNW/ -
Century Lithium Corp.
(TSXV:
LCE
) (OTCQX:
CYDVF
) (Frankfurt:
C1Z
) (""
Century Lithium
"" or the ""
Company
"") is pleased to announce a brokered private placement for aggregate gross proceeds of up to C$5 million (the ""
Offering
""), consisting of 10,638,297 units of the Company (""
Units
"") at a price of $0.47 per Unit (the ""
Offering Price
""). The Offering will be conducted on a commercially reasonable ""best efforts"" basis by A.G.P. Canada Investments ULC, acting as sole agent and bookrunner (the ""
Agent
"") for the Offering and A.G.P./Alliance Global Partners acting as sole U.S. placement agent for the Offering.
Each Unit will consist of one common share in the capital of the Company (a ""
Share
"") and one Share purchase warrant (each whole warrant, a ""
Warrant
""). Each Warrant will entitle the holder to acquire one additional Share (a ""
Warrant Share
"") at a price of $0.65 for a period of five (5) years from the closing of the Offering.
The Units will be offered by way of the listed issuer financing exemption under Part 5A of National Instrument 45-106 –
Prospectus Exemptions
(""
NI 45-106
""), as amended by Coordinated Blanket Order 45-935 –
Exemptions from Certain Conditions of the Listed Issuer Financing Exemption
(the ""
Order
""), ineach of the provinces of Canada (except Québec). Pursuant to NI 45-106 and the Order, the Units issued to Canadian residents under the Offering will not be subject to resale restrictions. The Company is relying on the exemptions in Part 5A of NI 45-106 and the Order, and is qualified to distribute securities in reliance on the exemptions included therein.
The Units may also be offered to persons in the United States pursuant to Rule 506(b) of Regulation D under the United States Securities Act of 1933, as amended (the ""
U.S. Securities Act
"") and similar exemptions under applicable U.S. state securities laws, as well as in offshore jurisdictions as agreed upon by the Company and the Agent pursuant to relevant prospectus or registration exemptions under any domestic securities laws, and may have resale restrictions in accordance with applicable laws.
In connection with the Offering, the Agent will receive a cash commission equal to 7.0% of the gross proceeds of the Offering and the Company will issue to the Agent non-transferable warrants (""
Broker Warrants
"") representing 3.0% of the aggregate number of Units sold pursuant to the Offering. Each Broker Warrant will entitle the holder to purchase one Share of the Company at a price of $0.65 for a period of five (5) years from the closing of the Offering.
The Company intends to use the net proceeds raised from the Offering to primarily carry out the next phase of technical and permitting work on the Company's Angel Island lithium project in Esmeralda County, Nevada, to support ongoing operations and to fund general working capital needs.
The Offering is expected to close on or about March 16, 2026, or such other date that is within 45 days from the date of this news release, as the Company and the Agent may determine. The Offering remains subject to certain conditions, including, but not limited to, the receipt of all necessary approvals, and compliance with the policies of the TSX Venture Exchange (""
TSXV
"").
There is an offering document related to the Offering that will be made available under the Company's profile on SEDAR+ at
www.sedarplus.ca
. The offering document will also be made available on the Company's website at
www.centurylithium.com
. Prospective investors should read this offering document before making an investment decision.
This press release shall not constitute an offer to sell or the solicitation of an offer to buy securities in the United States, nor shall there be any sale of the securities in any jurisdiction in which such offer, solicitation or sale would be unlawful. The securities being offered have not been, nor will they be, registered under the U.S. Securities Act or under any U.S. state securities laws, and may not be offered or sold in the United States absent registration or an applicable exemption from the registration requirements of the U.S. Securities Act and applicable state securities laws.
ABOUT CENTURY LITHIUM CORP.
Century Lithium Corp. is an advanced-stage lithium development company focused on its 100%-owned Angel Island lithium project in Esmeralda County, Nevada. Angel Island hosts one of the largest known sedimentary lithium deposits in the United States and is designed with an integrated, end-to-end process for the on-site production of battery-grade lithium carbonate to support the electric vehicle and battery storage markets.
The Company has developed a patent-pending process that incorporates hydrochloric acid leaching combined with direct lithium extraction to produce battery-grade lithium carbonate. As part of the integrated chlor-alkali process, Angel Island is designed to produce sodium hydroxide as a co-product, with planned surplus sales expected to lower operating costs, reduce reliance on externally sourced reagents, and minimize environmental impacts.
Century Lithium is currently advancing Angel Island through the permitting process.
Century Lithium trades on the TSX Venture Exchange under the symbol ""LCE"" the OTCQX under the symbol ""CYDVF"", and on the Frankfurt Stock Exchange under the symbol ""C1Z"".
To learn more, please visit
centurylithium.com
.
ON BEHALF OF CENTURY LITHIUM CORP.
WILLIAM WILLOUGHBY, PhD., PE
President & Chief Executive Officer
Forward-Looking Statements
Certain information contained herein constitutes ""forward-looking information"" under Canadian securities legislation. Forward-looking information includes, but is not limited to: the Offering, completion of the Offering, the expected closing date of the Offering, the use of proceeds of the Offering, TSXV approvals and the Company's projects. Generally, forward-looking information can be identified by the use of forward-looking terminology such as ""anticipates"", ""anticipated"", ""expected"", ""intends"", ""will"" or variations of such words and phrases or statements that certain actions, events or results ""will"" occur. Forward-looking statements are based on the opinions and estimates of management as of the date such statements are made and they are from those expressed or implied by such forward-looking statements or forward-looking information subject to known and unknown risks, uncertainties and other factors that may cause the actual results to be materially different, including receipt of all necessary regulatory approvals and the timing thereof. Although management of the Company has attempted to identify important factors that could cause actual results to differ materially from those contained in forward-looking statements or forward-looking information, there may be other factors that cause results not to be as anticipated, estimated or intended. There can be no assurance that such statements will prove to be accurate, as actual results and future events could differ materially from those anticipated in such statements. Accordingly, readers should not place undue reliance on forward-looking statements and forward-looking information. The Company will not update any forward-looking statements or forward-looking information that are incorporated by reference herein, except as required by applicable securities laws.
NEITHER THE TSX VENTURE EXCHANGE NOR ITS REGULATION SERVICES PROVIDER ACCEPTS RESPONSIBILITY FOR THE ADEQUACY OR ACCURACY OF THE CONTENT OF THIS NEWS RELEASE.
SOURCE Century Lithium Corp.
View original content to download multimedia:
http://www.newswire.ca/en/releases/archive/March2026/10/c1358.html
Contact:
For further information, please contact: Spiros Cacos | Vice President, Investor Relations, Direct: +1 604 764 1851, Toll Free: 1 800 567 8181, scacos@centurylithium.com, centurylithium.com
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LCE\news_html\2026-03-10.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LCE/news_html/2026-03-10.html,,NONE,Brokered financing announcement for Angel Island project,,,2024-01-31,2024-04-02
stockwatch,LCE,Century Lithium Corp.,2026-03-10,OFFERING_DOCUMENT_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6144629.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LCE,Century Lithium Corp.,2026-03-10,MATERIAL_CHANGE_REPORT_EN,not applicable,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6144143.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LCE\pdfs\MaterialChange\2026-03-10_LCE_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,0,0,exists,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LCE/2026-03-10_LCE_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Feasibility study report filed,,,,,2024-01-31,2024-04-02
stockwatch,LCE,Century Lithium Corp.,2026-03-09,NEWS_RELEASE_EN,not applicable,NewsRelease,"CENTURY LITHIUM FILES TECHNICAL REPORT ON THE FEASIBILITY STUDY FOR THE ANGEL ISLAND LITHIUM PROJECT, NEVADA",https://www.stockwatch.com/News/Item/Z-C!LCE-3793901/C/LCE,3793901,https://www.stockwatch.com/News/Sedardoc/6143277.pdf,,0,0,no,,"2026-03-09 13:45 ET - News Release
CENTURY LITHIUM FILES TECHNICAL REPORT ON THE FEASIBILITY STUDY FOR THE ANGEL ISLAND LITHIUM PROJECT, NEVADA
PR Newswire
VANCOUVER, BC, March 9, 2026
VANCOUVER, BC
,
March 9, 2026
/PRNewswire/ -
Century Lithium Corp.
(TSXV:
LCE
) (OTCQX:
CYDVF
) (Frankfurt:
C1Z
) (""Century Lithium"" or ""the Company"") is pleased to announce the filing of the report for the Company's 100%-owned Angel Island Lithium Project (""Angel Island"", a.k.a. ""Clayton Valley""), ""
UPDATED NI 43-101 TECHNICAL REPORT ON THE FEASIBILITY STUDY OF THE CLAYTON VALLEY LITHIUM PROJECT Esmeralda County, Nevada, USA"",
with effective date January 3, 2026 (""Feasibility Study"" or ""Report""), to support the disclosure in the Company's
news release
dated February 23, 2026. The Report was prepared in accordance with National Instrument 43-101 (NI 43-101) by Mineral Property Development (""MPDI""), Global Resource Engineering, Ltd. (""GRE"") and SRK Incorporated (""SRK"").
All currency amounts in this news release are presented in US dollars.
The Feasibility Study incorporates the results of continued metallurgical testing, engineering optimization, refinement of the mine plan, and updated capital and operating cost estimates for Angel Island. Using a base case price of $24,000/tonne (""t"") of lithium carbonate, Angel Island's estimated after-tax cash flow has a 27.4% Internal Rate of Return (""IRR"") and a $4.01 billion Net Present Value (""NPV"") at an 8% discount rate.
Feasibility Study Highlights
After-tax NPV (8% discount rate) of $4.01 billion
based on price assumptions of $24,000/t for lithium carbonate and $750/dry metric tonne for sodium hydroxide
After-tax IRR of 27.4%
Integrated patent-pending processing flowsheet
, incorporating hydrochloric acid leaching, Direct Lithium Extraction (""DLE""), chlor-alkali processing, and on-site production of battery-grade lithium carbonate, validated through four years of pilot plant operations in Nevada
Large, long-life US-based lithium development project
, with Proven and Probable Reserves supporting a mine life exceeding 60 years
Economic analysis based on a 40-year production schedule, with a life-of-mine average production of approximately 26,500 tonnes per annum (""tpa"") of battery-grade lithium carbonate
Phase 1 throughput of 7,500 tonnes per day (""tpd""), expanding to 15,000 tpd in Year 5 (Phase 2)
Capital and Operating Costs
Phase 1 estimated capital cost of $997 million
Phase 2 estimated expansion capital of $660 million
Average estimated operating cost of $22.45/t of mill feed
, equivalent to
$4,389 per tonne of lithium carbonate
Project revenues from surplus sodium hydroxide equivalent to $5,393/t of lithium carbonate produced
. When treated as a co-product credit, this would result in a net operating cost below zero
Mineral Resource and Reserve
Measured and Indicated Mineral Resources
of 1.138 billion t at 966 parts per million (""ppm"") lithium, containing 5.852 million t lithium carbonate equivalent (""LCE"")
Proven and Probable Mineral Reserves
of 287.65 million t at 1,149 ppm lithium, containing 1.759 million t LCE
Qualified Person
The technical information contained in this news release was reviewed and approved by Richard W. Jolk, P.E., an independent Qualified Person as defined under National Instrument 43-101.
ABOUT CENTURY LITHIUM CORP.
Century Lithium Corp. is an advanced-stage lithium development company focused on its 100%-owned Angel Island lithium project in Esmeralda County, Nevada. Angel Island hosts one of the largest known sedimentary lithium deposits in the United States and is designed with an integrated, end-to-end process for the on-site production of battery-grade lithium carbonate to support the electric vehicle and battery storage markets.
The Company has developed a patent-pending process that incorporates hydrochloric acid leaching combined with direct lithium extraction to produce battery-grade lithium carbonate. As part of the integrated chlor-alkali process, Angel Island is designed to produce sodium hydroxide as a co-product, with planned surplus sales expected to lower operating costs, reduce reliance on externally sourced reagents, and minimize environmental impacts.
Century Lithium is currently advancing Angel Island through the permitting process.
Century Lithium trades on the TSX Venture Exchange under the symbol ""LCE"" the OTCQX under the symbol ""CYDVF"", and on the Frankfurt Stock Exchange under the symbol ""C1Z"".
To learn more, please visit
centurylithium.com
.
ON BEHALF OF CENTURY LITHIUM CORP.
WILLIAM WILLOUGHBY, PhD., PE
President & Chief Executive Officer
NEITHER THE TSX VENTURE EXCHANGE NOR ITS REGULATION SERVICES PROVIDER ACCEPTS RESPONSIBILITY FOR THE ADEQUACY OR ACCURACY OF THE CONTENT OF THIS NEWS RELEASE.
Cautionary Note Regarding Forward-Looking Statements
This release contains certain forward-looking statements within the meaning of applicable Canadian securities legislation. In certain cases, forward-looking statements can be identified by the use of words such as ""plans"", ""expects"" or ""does not anticipate"", or ""believes"", or variations of such words and phrases or statements that certain actions, events or results ""may"", ""could"", ""would"", ""might"" or ""will be taken"", ""occur"" or ""be achieved"" and similar expressions suggesting future outcomes or statements regarding an outlook.
Forward-looking statements relate to any matters that are not historical facts and statements of our beliefs, intentions and expectations about developments, results and events which will or may occur in the future, without limitation, statements with respect to the potential development and value of the Project and benefits associated therewith, statements with respect to the expected project economics for the Project, such as estimates of life of mine, lithium prices, production and recoveries, capital and operating costs, IRR, NPV and cash flows, any projections outlined in the Feasibility Study in respect of the Project, the permitting status of the Project and the Company's future development plans.
These and other forward-looking statements and information are subject to various known and unknown risks and uncertainties, many of which are beyond the ability of the Company to control or predict, that may cause their actual results, performance or achievements to be materially different from those expressed or implied thereby, and are developed based on assumptions about such risks, uncertainties and other factors set out herein.
These risks include those described under the heading ""Risk Factors"" in the Company's most recent annual information form and its other public filings, copies of which can be found under the Company's profile at
www.sedarplus.com
. The Company expressly disclaims any obligation to update-forward-looking information except as required by applicable law. No forward-looking statement can be guaranteed, and actual future results may vary materially. Accordingly, readers are advised not to place reliance on forward-looking statements or information. Furthermore, Mineral Resources that are not Mineral Reserves do not have demonstrated economic viability.
View original content to download multimedia:
https://www.prnewswire.com/news-releases/century-lithium-files-technical-report-on-the-feasibility-study-for-the-angel-island-lithium-project-nevada-302708431.html
SOURCE Century Lithium Corp.
Contact:
For further information, please contact: Spiros Cacos | Vice President, Investor Relations, Direct: +1 604 764 1851, Toll Free: 1 800 567 8181, scacos@centurylithium.com, centurylithium.com
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LCE\news_html\2026-03-09.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LCE/news_html/2026-03-09.html,,CHANGED,Updated MRE at Angel Island: 1.138 billion t at 966 ppm Li,Angel Island,,2024-01-31,2024-04-02
stockwatch,LCE,Century Lithium Corp.,2026-03-09,CERTIFICATE_OF_QUALIFIED_PERSON_NI_43101_EN,not applicable,NI43-101,,,,https://www.stockwatch.com/News/Sedardoc/6143248.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LCE,Century Lithium Corp.,2026-03-09,CERTIFICATE_OF_QUALIFIED_PERSON_NI_43101_EN,not applicable,NI43-101,,,,https://www.stockwatch.com/News/Sedardoc/6143249.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LCE,Century Lithium Corp.,2026-03-09,CERTIFICATE_OF_QUALIFIED_PERSON_NI_43101_EN,not applicable,NI43-101,,,,https://www.stockwatch.com/News/Sedardoc/6143250.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LCE,Century Lithium Corp.,2026-03-09,CERTIFICATE_OF_QUALIFIED_PERSON_NI_43101_EN,not applicable,NI43-101,,,,https://www.stockwatch.com/News/Sedardoc/6143251.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
