source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,SAU,St. Augustine Gold and Copper Limited,2025-03-31,ANNUAL_INFORMATION_FORM_EN,not applicable,AIF,,,,https://www.stockwatch.com/News/Sedardoc/5879803.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SAU\pdfs\AIF\2025-03-31_SAU_AIF.pdf,42,791,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SAU/2025-03-31_SAU_AIF.pdf,,,,,,,,,2024-12-31,2025-03-31
stockwatch,SAU,St. Augustine Gold and Copper Limited,2025-12-11,MATERIAL_CHANGE_REPORT_EN,not applicable,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6082902.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SAU\pdfs\MaterialChange\2025-12-11_SAU_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,2,331,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SAU/2025-12-11_SAU_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Private placement completion announced,,,,,2024-12-31,2025-03-31
stockwatch,SAU,St. Augustine Gold and Copper Limited,2025-12-11,NEWS_RELEASE_EN,not applicable,NewsRelease,St. Augustine closes $1.2-million private placement,https://www.stockwatch.com/News/Item/Z-C!SAU-3764799/C/SAU,3764799,https://www.stockwatch.com/News/Sedardoc/6082899.pdf,,0,0,no,,"2025-12-11 15:20 ET - News Release
Mr. Nicolaos Paraskevas reports
ST. AUGUSTINE ANNOUNCES CLOSING OF PRIVATE PLACEMENT
St. Augustine Gold and Copper Ltd.  has closed the previously announced private placement of $1,204,500 from the sale of 16.5 million units, with each unit comprising one common share and two warrants, with each warrant entitling the holder to subscribe for one additional common share at 11 cents for a period of five years, assuming a number of development milestones are met during that period.
Pursuant to the rules of the Toronto Stock Exchange, non-interested shareholders approved this private placement at a special shareholder meeting held on Sept. 12, 2025. The sole subscriber to this private placement was an entity controlled by Nicolaos Paraskevas, a director and officer of the company. As such, this transaction is a related party transaction under Multilateral Instrument 61-101. As the dollar value of the transaction is less than 25 per cent of the market capitalization of the company, the company relied on exemptions from the valuation requirements under that policy.
About St. Augustine Gold and Copper Ltd.
St. Augustine is a TSX-listed mining company focused on the development of the King-king copper-gold project. The project is one of the largest undeveloped copper-gold deposits in the world and is listed as a top-three priority mining project by the Philippine government.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SAU\news_html\2025-12-11.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SAU/news_html/2025-12-11.html,,NONE,Closed private placement financing,,,2024-12-31,2025-03-31
stockwatch,SAU,St. Augustine Gold and Copper Limited,2025-11-24,NEWS_RELEASE_EN,not applicable,NewsRelease,St. Augustine appoints two financial advisers,https://www.stockwatch.com/News/Item/Z-C!SAU-3756819/C/SAU,3756819,https://www.stockwatch.com/News/Sedardoc/6063775.pdf,,0,0,no,,"2025-11-24 03:24 ET - News Release
Mr. Nicolaos Paraskevas reports
ST. AUGUSTINE ANNOUNCES THE APPOINTMENT OF BMO CAPITAL MARKETS AND MACQUARIE CAPITAL AS FINANCIAL ADVISORS FOR ADVANCEMENT OF THE KINGKING COPPER-GOLD PROJECT
St. Augustine Gold and Copper Ltd. has appointed BMO Capital Markets and Macquarie Capital as financial advisers in relation to financing and strategic alternatives for the advancement of the Kingking copper-gold project in the Philippines.
Following the release of the Kingking project National Instrument 43-101 prefeasibility study report on July 31, 2025, and the recent engagement of Stantec and IMC to complete a definitive feasibility study, the board of directors has approved the engagement of BMO Capital Markets and Macquarie Capital to support the company's objective to advance the Kingking project toward production.
As previously disclosed, the Kingking prefeasibility study demonstrates highly robust economics, including a $4.2-billion (U.S.) net present value (7 per cent), a 34.2-per-cent internal rate of return and a 1.9-year payback (at $2,150 (U.S.) per ounce gold and $4.30 (U.S.) per pound copper), supporting the board of directors' recommendation and actions to move toward project development.
The company will pursue a financing strategy to support the project development schedule targeting first production of concentrate in 2030, with the support of BMO Capital Markets and Macquarie Capital.
The engagement of the advisers marks a new milestone in the company's commitment to progress the Kingking project toward development in accordance with global industry standards and regulatory requirements.
""Appointing these experienced advisers and consultants reflects our board's commitment to advancing the Kingking project responsibly, transparently and in line with best practices,"" said Nicolaos Paraskevas, executive director. ""We look forward to working with BMO Capital Markets, Macquarie Capital, Stantec and IMC to unlock the value of this strategic copper-gold asset for our stakeholders.""
The Kingking copper-gold project is one of the largest undeveloped copper-gold deposits in Southeast Asia and has been declared a project of national significance under Executive Order No. 79 (Philippines). The project is being advanced in compliance with both Philippine mining regulations and international reporting standards.
About St. Augustine Gold and Copper Ltd.
St. Augustine is a Toronto Stock Exchange-listed mining company focused on the development of the Kingking copper-gold project. The project is one of the largest undeveloped copper-gold deposits in the world  and is listed as a top-three priority mining project by the Philippine government.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SAU\news_html\2025-11-24.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SAU/news_html/2025-11-24.html,,NONE,Appointment of financial advisers for Kingking project,,,2024-12-31,2025-03-31
stockwatch,SAU,St. Augustine Gold and Copper Limited,2025-11-21,NEWS_RELEASE_EN,not applicable,NewsRelease,ST. AUGUSTINE ANNOUNCES THE APPOINTMENT OF A NEW BOARD MEMBER,,,https://www.stockwatch.com/News/Sedardoc/6061903.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SAU\pdfs\NewsRelease\2025-11-21_SAU_NewsRelease_fallback.pdf,0,0,no,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SAU/2025-11-21_SAU_NewsRelease_fallback.pdf," 
 
 
 
 
 
ST. AUGUSTINE ANNOUNCES THE APPOINTMENT OF A NEW BOARD MEMBER 
 
Davao City, Philippines  November 18, 2025,  St. Augustine Gold and Copper Limited (TSX:SAU)                  
(St. Augustine or the Company) is pleased to announce the appointment of Atty. Teodulo Butch San 
Juan as Independent Director effective 17 November 2025.  
Atty. San Juan is a seasoned legal practitioner with extensive experience in corporate governance, natural 
resources law, regulatory compliance, and public policy. He has served in various senior roles in both 
government and the private sector, bringing with him significant expertise relevant to the Companys mining 
and development activities. 
The Board welcomes Atty. San Juan and is confident that his insights will contribute meaningfully to the 
Companys ongoing development initiatives and its commitment to responsible and transparent governance. 
 
About St. Augustine 
 
St. Augustine (SAU.T) is a TSX-listed mining company focused on the development of the Kingking Copper-
Gold Project. The Project is one of the largest undeveloped copper-gold deposits in the world  and is listed 
as a top three-priority mining project by the Philippine government. 
 
CAUTIONARY NOTE REGARDING FORWARD-LOOKING STATEMENTS 
 
This announcement includes certain forward-looking statements within the meaning of Canadian securities 
legislation. All statements, other than statements of historical fact included herein are forward looking 
statements. Forward-looking statements involve various risks and uncertainties and are based on certain 
factors and assumptions. While we consider these assumptions to be reasonable based on currently 
available information, they may prove to be incorrect. There can be no assurance that such statements will 
prove to be accurate, and actual results and future events could differ materially from those anticipated in 
such statements. Forward-looking information is also subject to certain factors, including risks and 
uncertainties, that could cause actual results to differ materially from the Companys current expectations, 
including changes in market conditions, governmental or regulatory developments and general economic 
conditions. Other risks and uncertainties related to the Company are disclosed under the heading Risk 
Factors in the Companys Annual Information Form dated March 31, 2025 and filed with Canadian securities 
regulatory authorities on the SEDAR+ website at www.sedarplus.ca. Forward-looking information contained 
in this announcement is based on our current estimates, expectations and projections, which we believe are 
reasonable as of the current date. You should not place undue importance on forward-looking information 
and should not rely on this information as of any other date. While we may elect to, we are under no 
obligation and do not undertake to update this information at any particular time except as required by 
applicable securities law. 
 
 
For more information: 
 
Nicolaos Paraskevas 
Investor and Public Relations Contact
 
 
ST. AUGUSTINE CORPORATE 
HEADQUARTERS 
+632 77288491 
5F Pryce Tower. J.P. Laurel 
E:info@kingking.ph 
Davao City 
 
 
",,,,NONE,Appointment of new board member,,,2024-12-31,2025-03-31
stockwatch,SAU,St. Augustine Gold and Copper Limited,2025-11-12,52109F2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6054191.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-31
stockwatch,SAU,St. Augustine Gold and Copper Limited,2025-11-12,52109F2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6054192.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-31
stockwatch,SAU,St. Augustine Gold and Copper Limited,2025-11-12,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6054182.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-31
stockwatch,SAU,St. Augustine Gold and Copper Limited,2025-11-12,INTERIM_MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6054186.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SAU\pdfs\MD&A\2025-11-12_SAU_MD&A_INTERIM_MDA_EN.pdf,27,1757,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SAU/2025-11-12_SAU_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2024-12-31,2025-03-31
stockwatch,SAU,St. Augustine Gold and Copper Limited,2025-10-10,NEWS_RELEASE_EN,not applicable,NewsRelease,"St. Augustine hires Stantec, IMC for DFS on Kingking",https://www.stockwatch.com/News/Item/Z-C!SAU-3740303/C/SAU,3740303,https://www.stockwatch.com/News/Sedardoc/6031454.pdf,,0,0,no,,"2025-10-10 13:05 ET - News Release
Mr. Nicolaos Paraskevas reports
ST. AUGUSTINE GOLD AND COPPER LIMITED ADVANCES KINGKING PROJECT TO DEFINITIVE FEASIBILITY STUDY AND ENGAGES CONSULTING ENGINEERING FIRMS
St. Augustine Gold and Copper Ltd. has engaged Stantec Consulting Ltd. and Independent Mining Consultants Inc. (IMC) to complete a definitive feasibility study (DFS) for the Kingking copper-gold project in Pantukan, Davao de Oro, Philippines. This follows the highly positive results of the prefeasibility study (PFS) released on July 31, 2025, which delineated the project's world-class economic potential and supports an expedited path to production.
Robust prefeasibility economics
The July, 2025, PFS highlights the Kingking project's exceptional financial metrics (based on $4.30/pound copper and $2,150/ounce gold), positioning it as one of the largest undeveloped copper-gold deposits globally:
Posttax NPV (net present value) (7 per cent): $4.18-billion;
Posttax IRR (internal rate of return): 34.2 per cent;
Payback period: 1.9 years;
Initial capital estimate: $2.37-billion;
After-tax benefit-cost ratio: 1.8;
Reserve estimate: 960 million tonnes, including 849 million tonnes of proven and probable milling reserves and 111 million tonnes of proven and probable leaching reserves;
Proven and probable mineral reserves of 5.40 million pounds of contained copper and 9.77 million ounces of contained gold.
The PFS outlines a 31-year mine life with an additional seven years of low grade or stockpile milling. Processing will support a 100,000-tonne-per-day mine delivery schedule supported by 60,000 tpd milling and 40,000 tpd heap leach. Average annual production in the first five years is projected at 129,000 tonnes of payable copper (cathode and concentrate) and 333,000 ounces of payable gold (concentrate and Dore). The total consolidated net cash cost of 73 cents per pound of copper during the first five years further enhances the project economics.
Advancing to definitive feasibility study
Following the PFS results, the St. Augustine board of directors has approved advancement to definitive feasibility on an accelerated timeline for production. Stantec, as the lead engineering firm, will oversee the DFS, ensuring compliance with National Instrument 43-101 and the Philippine Mining Act of 1995 (RA 7942). IMC will focus on mine planning, resource estimation and modelling, working in close co-ordination with Stantec. The planned completion of the DFS is Q4 2026. The DFS will optimize key recommendations from the PFS, including:
Implementation of chloride leach to enhance copper recovery from low-grade sulphide stockpiles early in mine life;
Improved crushing/grinding circuit efficiency for levelized throughput leveraging total plant capacity;
Increased throughput to potentially reduce the mine life to approximately 21 to 25 years;
Process flowsheet evaluation to increase gold and copper recoveries.
Stantec will also develop the project execution plan, the EPCM bid package, and long-lead-time materials and equipment list and procurement plan. The DFS will be managed by Stantec's Brisbane, Perth, and Chandler, Ariz., offices, with IMC operating from Tucson, Ariz.
Strategic outlook
""The Kingking project's outstanding economics, as demonstrated in the PFS, provide a strong foundation for advancing to the DFS phase,"" said Andy Russell, project director for the Kingking project. ""With Stantec's and IMC's expertise, along with the excellent St. Augustine management team, we are well positioned to optimize the project and move toward production on an expedited schedule, delivering significant value to our shareholders and stakeholders in the Philippines,"" noted Mike Regino, St. Augustine chief operating officer.
About St. Augustine Gold and Copper Ltd.
St. Augustine Gold and Copper is focused on the development of the Kingking copper-gold project, a major copper-gold deposit in the Philippines. The company is committed to the ICMM standards for sustainable development and creating value for its stakeholders through responsible mining practices.
National Instrument 43-101 compliance
The following qualified person under National Instrument 43-101 has reviewed and approved of the scientific, technical and economic information contained in this news release: James Moore, PE, of Met Engineering.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SAU\news_html\2025-10-10.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SAU/news_html/2025-10-10.html,,NONE,Advancing Kingking project to definitive feasibility study,,,2024-12-31,2025-03-31
